"학구ID",학구명,학구분류,시도코드,시군구코드,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,공간객체ID,데이터기준일자
Z000103193,대곡초통학구역,0,42,720,7800000,강원도교육청,7881000,강원도홍천교육지원청,2016-08-12,2016-08-12,535953,2021-03-25
Z000103097,옥계초통학구역,0,42,150,7800000,강원도교육청,7831000,강원도강릉교육지원청,2016-08-12,2016-08-12,535954,2021-03-25
Z000103950,운곡초통학구역,0,44,790,8140000,충청남도교육청,8251000,충청남도청양교육지원청,2016-08-12,2016-08-12,535955,2021-03-25
Z000103119,북평초통학구역,0,42,170,7800000,강원도교육청,7841000,강원도동해교육지원청,2016-08-12,2018-10-11,535956,2021-03-25
Z000102605,마지초통학구역,0,41,480,7530000,경기도교육청,7681000,경기도파주교육지원청,2016-08-12,2016-08-12,535957,2021-03-25
Z000102611,삼성초통학구역,0,41,480,7530000,경기도교육청,7681000,경기도파주교육지원청,2016-08-12,2018-08-23,535958,2021-03-25
Z000103073,흥양초통학구역,0,42,130,7800000,강원도교육청,7821000,강원도원주교육지원청,2016-08-12,2016-08-12,535959,2021-03-25
Z000103953,청남초통학구역,0,44,790,8140000,충청남도교육청,8251000,충청남도청양교육지원청,2016-08-12,2016-08-12,535960,2021-03-25
Z000103056,소초초통학구역,0,42,130,7800000,강원도교육청,7821000,강원도원주교육지원청,2016-08-12,2016-08-12,535961,2021-03-25
Z000105444,월송초통학구역,0,47,930,8750000,경상북도교육청,8971000,경상북도울진교육지원청,2016-08-12,2016-08-12,535896,2021-03-25
Z000103068,태봉초통학구역,0,42,130,7800000,강원도교육청,7821000,강원도원주교육지원청,2016-08-12,2016-08-12,535897,2021-03-25
Z000102362,도장초통학구역,0,41,410,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2016-08-12,2016-08-12,535898,2021-03-25
Z000105301,금성초통학구역,0,47,730,8750000,경상북도교육청,8871000,경상북도의성교육지원청,2016-08-12,2016-08-12,535899,2021-03-25
Z000105322,파천초통학구역,0,47,750,8750000,경상북도교육청,8881000,경상북도청송교육지원청,2016-08-12,2016-08-12,535900,2021-03-25
Z000105344,금천초통학구역,0,47,820,8750000,경상북도교육청,8911000,경상북도청도교육지원청,2016-08-12,2018-03-06,535901,2021-03-25
Z000105347,동산초통학구역,0,47,820,8750000,경상북도교육청,8911000,경상북도청도교육지원청,2016-08-12,2016-08-12,535902,2021-03-25
Z000105226,은척초무릉분교장통학구역,0,47,250,8750000,경상북도교육청,8831000,경상북도상주교육지원청,2016-08-12,2016-08-12,535903,2021-03-25
Z000101575,대전둔천초통학구역,0,30,170,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2016-08-12,2016-08-12,535904,2021-03-25
Z000101531,대전판암초통학구역,0,30,110,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2016-08-12,2016-08-12,535905,2021-03-25
Z000105315,춘산초통학구역,0,47,730,8750000,경상북도교육청,8871000,경상북도의성교육지원청,2016-08-12,2016-08-12,535906,2021-03-25
Z000105320,진보초통학구역,0,47,750,8750000,경상북도교육청,8881000,경상북도청송교육지원청,2016-08-12,2016-08-12,535907,2021-03-25
Z000104969,신흥초통학구역,0,47,111,8750000,경상북도교육청,8761000,경상북도포항교육지원청,2016-08-12,2018-09-05,535908,2021-03-25
Z000103218,화계초대룡분교장통학구역,0,42,720,7800000,강원도교육청,7881000,강원도홍천교육지원청,2016-08-12,2016-08-12,535909,2021-03-25
Z000101771,서평초통학구역,0,41,113,7530000,경기도교육청,7541000,경기도수원교육지원청,2016-08-12,2016-08-12,535910,2021-03-25
Z000101832,효동초통학구역,0,41,117,7530000,경기도교육청,7541000,경기도수원교육지원청,2016-08-12,2016-08-12,535911,2021-03-25
Z000102807,고기초통학구역,0,41,465,7530000,경기도교육청,7751000,경기도용인교육지원청,2016-08-12,2016-08-12,535912,2021-03-25
Z000101478,대전가양초통학구역,0,30,110,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2016-08-12,2016-08-12,535913,2021-03-25
Z000105380,관호초통학구역,0,47,850,8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2016-08-12,2016-08-12,535914,2021-03-25
Z000103042,매지초통학구역,0,42,130,7800000,강원도교육청,7821000,강원도원주교육지원청,2016-08-12,2016-08-12,535915,2021-03-25
Z000150092,대전노은초대전수정초공동통학구역,1,30,200,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2016-08-12,2016-08-12,535916,2021-03-25
Z000105131,구평초통학구역,0,47,190,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2016-08-12,2016-08-12,535917,2021-03-25
Z000105074,봉계초통학구역,0,47,150,8750000,경상북도교육청,8781000,경상북도김천교육지원청,2016-08-12,2016-08-12,535918,2021-03-25
Z000105032,신라초통학구역,0,47,130,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2016-08-12,2016-08-12,535919,2021-03-25
Z000101583,대전봉명초통학구역,0,30,200,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2016-08-12,2016-08-12,535920,2021-03-25
Z000105011,감포초통학구역,0,47,130,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2016-08-12,2016-08-12,535921,2021-03-25
Z000103104,정동초통학구역,0,42,150,7800000,강원도교육청,7831000,강원도강릉교육지원청,2016-08-12,2016-08-12,535922,2021-03-25
Z000102350,군포양정초통학구역,0,41,410,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2016-08-12,2016-08-12,535923,2021-03-25
Z000104979,인덕초통학구역,0,47,111,8750000,경상북도교육청,8761000,경상북도포항교육지원청,2016-08-12,2016-08-12,535924,2021-03-25
Z000150088,구즉초대전송강초공동통학구역,1,30,200,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2016-08-12,2016-08-12,535925,2021-03-25
Z000101576,대전만년초통학구역,0,30,170,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2016-08-12,2016-08-12,535926,2021-03-25
Z000104977,유강초통학구역,0,47,111,8750000,경상북도교육청,8761000,경상북도포항교육지원청,2016-08-12,2016-08-12,535927,2021-03-25
Z000104970,양포초통학구역,0,47,111,8750000,경상북도교육청,8761000,경상북도포항교육지원청,2016-08-12,2016-08-12,535928,2021-03-25
Z000105085,지례초통학구역,0,47,150,8750000,경상북도교육청,8781000,경상북도김천교육지원청,2016-08-12,2016-08-12,535929,2021-03-25
Z000105114,월곡초통학구역,0,47,170,8750000,경상북도교육청,8791000,경상북도안동교육지원청,2016-08-12,2016-08-12,535930,2021-03-25
Z000106090,늘봄초통학구역,0,36,110,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2016-08-12,2016-08-12,535931,2021-03-25
Z000103071,호저초통학구역,0,42,130,7800000,강원도교육청,7821000,강원도원주교육지원청,2016-08-12,2016-08-12,535932,2021-03-25
Z000102000,부원초통학구역,0,41,190,7530000,경기도교육청,7581000,경기도부천교육지원청,2016-08-12,2017-03-09,535933,2021-03-25
Z000103065,중앙초통학구역,0,42,130,7800000,강원도교육청,7821000,강원도원주교육지원청,2016-08-12,2016-08-12,535934,2021-03-25
Z000105390,숭산초통학구역,0,47,850,8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2016-08-12,2016-08-12,535935,2021-03-25
Z000105401,감천초통학구역,0,47,900,8750000,경상북도교육청,8951000,경상북도예천교육지원청,2016-08-12,2016-08-12,535936,2021-03-25
Z000104971,양학초통학구역,0,47,113,8750000,경상북도교육청,8761000,경상북도포항교육지원청,2016-08-12,2016-08-12,535937,2021-03-25
Z000105039,연안초통학구역,0,47,130,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2016-08-12,2016-08-12,535938,2021-03-25
Z000105235,화령초통학구역,0,47,250,8750000,경상북도교육청,8831000,경상북도상주교육지원청,2016-08-12,2016-08-12,535939,2021-03-25
Z000105310,의성남부초통학구역,0,47,730,8750000,경상북도교육청,8871000,경상북도의성교육지원청,2016-08-12,2016-08-12,535940,2021-03-25
Z000105266,남성초통학구역,0,47,290,8750000,경상북도교육청,8851000,경상북도경산교육지원청,2016-08-12,2016-08-12,535941,2021-03-25
Z000105304,단촌초통학구역,0,47,730,8750000,경상북도교육청,8871000,경상북도의성교육지원청,2016-08-12,2016-08-12,535942,2021-03-25
Z000105360,쌍림초통학구역,0,47,830,8750000,경상북도교육청,8921000,경상북도고령교육지원청,2016-08-12,2016-08-12,535943,2021-03-25
Z000105364,가천초통학구역,0,47,840,8750000,경상북도교육청,8931000,경상북도성주교육지원청,2016-08-12,2018-03-07,535944,2021-03-25
Z000105373,수륜초통학구역,0,47,840,8750000,경상북도교육청,8931000,경상북도성주교육지원청,2016-08-12,2016-08-12,535945,2021-03-25
Z000150155,고양백석초금계초공동통학구역,1,41,285,7530000,경기도교육청,7621000,경기도고양교육지원청,2016-08-12,2016-08-12,535946,2021-03-25
Z000103063,일산초통학구역,0,42,130,7800000,강원도교육청,7821000,강원도원주교육지원청,2016-08-12,2016-08-12,535947,2021-03-25
Z000103012,소양초통학구역,0,42,110,7800000,강원도교육청,7811000,강원도춘천교육지원청,2016-08-12,2017-12-08,535948,2021-03-25
Z000102754,개군초통학구역,0,41,830,7530000,경기도교육청,7731000,경기도양평교육지원청,2016-08-12,2016-08-12,535949,2021-03-25
Z000105137,도봉초통학구역,0,47,190,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2016-08-12,2016-08-12,535950,2021-03-25
Z000101489,대전동광초통학구역,0,30,110,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2016-08-12,2016-08-12,535951,2021-03-25
Z000103177,신동초통학구역,0,42,230,7800000,강원도교육청,7871000,강원도삼척교육지원청,2016-08-12,2016-08-12,535952,2021-03-25
Z000102406,내양초통학구역,0,41,310,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2016-08-12,2016-08-12,535878,2021-03-25
Z000102372,왕곡초통학구역,0,41,430,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2016-08-12,2016-08-12,535879,2021-03-25
Z000105236,화북초용화분교장통학구역,0,47,250,8750000,경상북도교육청,8831000,경상북도상주교육지원청,2016-08-12,2016-08-12,535880,2021-03-25
Z000101567,대전느리울초통학구역,0,30,170,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2016-08-12,2016-08-12,535881,2021-03-25
Z000105399,지천초통학구역,0,47,850,8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2016-08-12,2016-08-12,535882,2021-03-25
Z000103312,봉오초통학구역,0,42,790,7800000,강원도교육청,7941000,강원도화천교육지원청,2016-08-12,2016-08-12,535883,2021-03-25
Z000103007,상천초통학구역,0,42,110,7800000,강원도교육청,7811000,강원도춘천교육지원청,2016-08-12,2016-08-12,535884,2021-03-25
Z000102993,금병초통학구역,0,42,110,7800000,강원도교육청,7811000,강원도춘천교육지원청,2016-08-12,2016-12-12,535885,2021-03-25
