,소분류,DONG,자치구,사업체수
0,1101055,부암동,종로구,599
1,1101056,평창동,종로구,761
2,1101057,무악동,종로구,647
3,1101058,교남동,종로구,413
4,1101060,가회동,종로구,765
5,1101061,종로1.2.3.4가동,종로구,15472
6,1101063,종로5.6가동,종로구,7238
7,1101064,이화동,종로구,1191
8,1101067,창신1동,종로구,2179
9,1101068,창신2동,종로구,864
10,1101069,창신3동,종로구,281
11,1101070,숭인1동,종로구,493
12,1101071,숭인2동,종로구,1747
13,1101072,청운효자동,종로구,128
14,1101073,혜화동,종로구,1695
15,1102052,소공동,중구,3849
16,1102054,회현동,중구,8566
17,1102055,명동,중구,6965
18,1102057,필동,중구,2886
19,1102058,장충동,중구,819
20,1102059,광희동,중구,8472
21,1102060,을지로동,중구,8812
22,1102065,신당5동,중구,1193
23,1102067,황학동,중구,1947
24,1102068,중림동,중구,116
25,1102069,신당동,중구,11459
26,1102070,다산동,중구,1424
27,1102071,약수동,중구,833
28,1102072,청구동,중구,881
29,1102073,동화동,중구,105
30,1103051,후암동,용산구,928
31,1103052,용산2가동,용산구,1
32,1103053,남영동,용산구,1619
33,1103057,원효로2동,용산구,958
34,1103058,효창동,용산구,418
35,1103059,용문동,용산구,6
36,1103063,이촌1동,용산구,812
37,1103064,이촌2동,용산구,347
38,1103065,이태원1동,용산구,1538
39,1103066,이태원2동,용산구,7
40,1103069,서빙고동,용산구,414
41,1103070,보광동,용산구,8
42,1103071,청파동,용산구,1685
43,1103072,원효로1동,용산구,1758
44,1103073,한강로동,용산구,4899
45,1103074,한남동,용산구,287
46,1104052,왕십리2동,성동구,824
47,1104054,마장동,성동구,37
48,1104055,사근동,성동구,172
49,1104056,행당1동,성동구,1388
50,1104057,행당2동,성동구,627
51,1104058,응봉동,성동구,369
52,1104059,금호1가동,성동구,567
53,1104062,금호4가동,성동구,657
54,1104065,성수1가1동,성동구,1792
55,1104066,성수1가2동,성동구,2877
56,1104067,성수2가1동,성동구,2526
57,1104068,성수2가3동,성동구,55
58,1104069,송정동,성동구,711
59,1104070,용답동,성동구,1864
60,1104071,왕십리도선동,성동구,2176
61,1104072,금호2.3가동,성동구,113
62,1104073,옥수동,성동구,868
63,1105053,화양동,광진구,2447
64,1105054,군자동,광진구,1593
65,1105055,중곡1동,광진구,1588
66,1105056,중곡2동,광진구,1674
67,1105057,중곡3동,광진구,11
68,1105058,중곡4동,광진구,1524
69,1105059,능동,광진구,2
70,1105060,구의1동,광진구,17
71,1105061,구의2동,광진구,19
72,1105062,구의3동,광진구,2695
73,1105063,광장동,광진구,1398
74,1105064,자양1동,광진구,17
75,1105065,자양2동,광진구,1433
76,1105066,자양3동,광진구,1324
77,1105067,자양4동,광진구,1817
78,1106071,회기동,동대문구,134
79,1106072,휘경1동,동대문구,929
80,1106073,휘경2동,동대문구,1221
81,1106080,청량리동,동대문구,1614
82,1106081,용신동,동대문구,5195
83,1106082,제기동,동대문구,4632
84,1106083,전농1동,동대문구,2262
85,1106084,전농2동,동대문구,9
86,1106086,답십리2동,동대문구,2187
87,1106087,장안1동,동대문구,49
88,1106088,장안2동,동대문구,371
89,1106089,이문1동,동대문구,1191
90,1106090,이문2동,동대문구,688
91,1106091,답십리1동,동대문구,1971
92,1107052,면목2동,중랑구,262
93,1107054,면목4동,중랑구,1172
94,1107055,면목5동,중랑구,8
95,1107057,면목7동,중랑구,1477
96,1107059,상봉1동,중랑구,1171
97,1107060,상봉2동,중랑구,2159
98,1107061,중화1동,중랑구,189
99,1107062,중화2동,중랑구,2111
100,1107064,묵1동,중랑구,1555
101,1107065,묵2동,중랑구,1811
102,1107068,망우3동,중랑구,1132
103,1107069,신내1동,중랑구,217
104,1107070,신내2동,중랑구,11
105,1107071,면목본동,중랑구,2572
106,1107072,면목3.8동,중랑구,2123
107,1107073,망우본동,중랑구,3827
108,1108058,돈암1동,성북구,386
109,1108059,돈암2동,성북구,421
110,1108060,안암동,성북구,1431
111,1108061,보문동,성북구,1294
112,1108062,정릉1동,성북구,757
113,1108063,정릉2동,성북구,4
114,1108064,정릉3동,성북구,717
115,1108065,정릉4동,성북구,929
116,1108066,길음1동,성북구,108
117,1108068,길음2동,성북구,995
118,1108071,월곡1동,성북구,1361
119,1108072,월곡2동,성북구,1558
120,1108076,장위1동,성북구,911
121,1108077,장위2동,성북구,16
122,1108078,장위3동,성북구,597
123,1108081,성북동,성북구,1174
124,1108082,삼선동,성북구,1834
125,1108083,동선동,성북구,237
126,1108084,종암동,성북구,234
127,1108085,석관동,성북구,2163
128,1109060,번1동,강북구,1895
129,1109061,번2동,강북구,6
130,1109062,번3동,강북구,869
131,1109063,수유1동,강북구,1473
132,1109064,수유2동,강북구,12
133,1109065,수유3동,강북구,2542
134,1109069,삼양동,강북구,159
135,1109070,미아동,강북구,17
136,1109071,송중동,강북구,2117
137,1109072,송천동,강북구,241
138,1109073,삼각산동,강북구,782
139,1109074,우이동,강북구,116
140,1109075,인수동,강북구,15
141,1110051,쌍문1동,도봉구,913
142,1110052,쌍문2동,도봉구,12
143,1110053,쌍문3동,도봉구,966
144,1110054,쌍문4동,도봉구,611
145,1110055,방학1동,도봉구,23
146,1110056,방학2동,도봉구,1219
147,1110057,방학3동,도봉구,898
148,1110059,창1동,도봉구,1538
149,1110060,창2동,도봉구,14
150,1110061,창3동,도봉구,915
151,1110062,창4동,도봉구,1319
152,1110063,창5동,도봉구,2157
153,1110064,도봉1동,도봉구,1626
154,1110065,도봉2동,도봉구,1426
155,1111051,월계1동,노원구,1466
156,1111052,월계2동,노원구,9
157,1111053,월계3동,노원구,996
158,1111056,공릉2동,노원구,1955
159,1111058,하계1동,노원구,188
160,1111059,하계2동,노원구,414
161,1111060,중계본동,노원구,15
162,1111061,중계1동,노원구,1
163,1111064,중계4동,노원구,159
164,1111065,상계1동,노원구,3183
165,1111066,상계2동,노원구,2668
166,1111069,상계5동,노원구,1567
167,1111072,상계8동,노원구,484
168,1111073,상계9동,노원구,698
169,1111074,상계10동,노원구,515
170,1111076,상계3.4동,노원구,1196
171,1111077,상계6.7동,노원구,1921
172,1111078,중계2.3동,노원구,1382
173,1111079,공릉1동,노원구,2841
174,1112051,녹번동,은평구,1962
175,1112052,불광1동,은평구,1627
176,1112055,갈현1동,은평구,1498
177,1112056,갈현2동,은평구,1579
178,1112057,구산동,은평구,1216
179,1112058,대조동,은평구,24
180,1112059,응암1동,은평구,1661
181,1112060,응암2동,은평구,7
182,1112065,신사1동,은평구,1347
183,1112066,신사2동,은평구,14
184,1112067,증산동,은평구,945
185,1112068,수색동,은평구,514
186,1112071,진관동,은평구,1894
187,1112072,불광2동,은평구,1295
188,1112073,응암3동,은평구,1768
189,1112074,역촌동,은평구,2534
190,1113052,천연동,서대문구,915
191,1113062,홍제1동,서대문구,1154
192,1113064,홍제3동,서대문구,1157
193,1113065,홍제2동,서대문구,594
194,1113066,홍은1동,서대문구,999
195,1113068,홍은2동,서대문구,1219
196,1113069,남가좌1동,서대문구,691
197,1113070,남가좌2동,서대문구,13
198,1113071,북가좌1동,서대문구,681
199,1113072,북가좌2동,서대문구,2443
200,1113073,충현동,서대문구,1817
201,1113074,북아현동,서대문구,862
202,1113075,신촌동,서대문구,31
203,1113076,연희동,서대문구,2352
204,1114059,용강동,마포구,2566
205,1114060,대흥동,마포구,1571
206,1114061,염리동,마포구,726
207,1114063,신수동,마포구,19
208,1114066,서교동,마포구,9552
209,1114068,합정동,마포구,2397
210,1114069,망원1동,마포구,1899
211,1114070,망원2동,마포구,1348
212,1114071,연남동,마포구,1915
213,1114072,성산1동,마포구,1534
214,1114073,성산2동,마포구,1757
215,1114074,상암동,마포구,2531
216,1114075,도화동,마포구,282
217,1114076,서강동,마포구,1828
