"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
2016,합계,"8,241",84.88,22.66
2016,종로구,275,2.67,21.2
2016,중구,114,1.88,18.82
2016,용산구,280,3.14,22.06
2016,성동구,408,3.02,23.07
2016,광진구,324,3.39,28.44
2016,동대문구,327,3.14,22.07
2016,중랑구,331,2.84,25.85
2016,성북구,627,4.01,22.41
2016,강북구,227,1.97,20.79
2016,도봉구,257,2.34,18.91
2016,노원구,292,3.69,23.63
2016,은평구,352,3.33,20.92
2016,서대문구,311,2.72,17.11
2016,마포구,420,4.06,28.23
2016,양천구,403,3.6,27.12
2016,강서구,382,4.51,24.46
2016,구로구,294,3.16,21.59
2016,금천구,185,2.1,19.85
2016,영등포구,389,4.42,23.43
2016,동작구,248,2.73,17.14
2016,관악구,322,3.03,25.41
2016,서초구,390,5.5,26.04
2016,강남구,434,5.66,23.46
2016,송파구,363,4.7,20.31
2016,강동구,286,3.26,23.5
