"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,광진구,-,-,-
2000,광진구,-,-,-
2001,광진구,-,-,-
2002,광진구,-,-,-
2003,광진구,-,-,-
2004,광진구,323,3.37,28.27
2005,광진구,324,3.37,28.3
2006,광진구,324,3.38,28.38
2007,광진구,324,3.38,28.4
2008,광진구,324,3.39,28.41
2009,광진구,324,3.39,28.41
2010,광진구,324,3.39,28.44
2011,광진구,324,3.39,28.44
2012,광진구,324,3.39,28.44
2013,광진구,324,3.39,28.44
2014,광진구,324,3.39,28.44
2015,광진구,324,3.39,28.44
2016,광진구,324,3.39,28.44
2017,광진구,324,3.39,28.45
2018,광진구,324,3.4,28.5
2019,광진구,325,3.44,28.83
