"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,금천구,-,-,-
2000,금천구,-,-,-
2001,금천구,-,-,-
2002,금천구,-,-,-
2003,금천구,-,-,-
2004,금천구,178,1.93,18.19
2005,금천구,179,1.93,18.22
2006,금천구,179,1.91,18.07
2007,금천구,179,1.91,18.1
2008,금천구,179,1.92,18.16
2009,금천구,179,1.92,18.16
2010,금천구,180,1.94,18.29
2011,금천구,180,1.94,18.3
2012,금천구,180,1.94,18.3
2013,금천구,180,1.94,18.31
2014,금천구,180,1.94,18.32
2015,금천구,180,1.94,18.32
2016,금천구,185,2.1,19.85
2017,금천구,188,2.16,19.85
2018,금천구,188,2.16,19.85
2019,금천구,189,2.2,20.22
