"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,서대문구,-,-,-
2000,서대문구,-,-,-
2001,서대문구,-,-,-
2002,서대문구,-,-,-
2003,서대문구,-,-,-
2004,서대문구,305,2.64,16.57
2005,서대문구,306,2.65,16.63
2006,서대문구,308,2.66,16.71
2007,서대문구,308,2.66,16.7
2008,서대문구,309,2.67,16.76
2009,서대문구,309,2.67,16.77
2010,서대문구,309,2.67,16.77
2011,서대문구,309,2.67,16.78
2012,서대문구,309,2.67,16.78
2013,서대문구,309,2.67,16.79
2014,서대문구,309,2.67,16.79
2015,서대문구,308,2.67,16.76
2016,서대문구,311,2.72,17.11
2017,서대문구,311,2.72,17.11
2018,서대문구,311,2.74,17.25
2019,서대문구,311,2.74,17.25
