"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,강남구,"414,035",…,"345,958",…,"68,077",…,800,…,"7,900",…,"7,900",…,-,-,"405,335",…,"337,258",…,"68,077",…
1994,강남구,"414,535",…,"347,561",…,"66,974",…,800,…,"7,900",…,"7,900",…,-,-,"405,835",…,"338,861",…,"66,974",…
1995,강남구,"415,109",…,"348,135",…,"66,974",…,800,…,"7,900",…,"7,900",…,-,-,"406,409",…,"339,435",…,"66,974",…
1996,강남구,"415,409",…,"349,235",…,"66,174",…,800,…,"7,900",…,"7,900",…,-,-,"406,709",…,"340,535",…,"66,174",…
1997,강남구,"419,585",0,"353,496",0,"66,089",0,800,0,"7,900",0,"7,900",0,0,0,"410,885",0,"344,796",0,"66,089",0
1998,강남구,"420,240",0,"354,151",0,"66,089",0,800,0,"7,900",0,"7,900",0,0,0,"411,540",0,"345,451",0,"66,089",0
1999,강남구,"420,240",0,"354,151",0,"66,089",0,800,0,"90,450",0,"90,450",0,0,0,"328,990",0,"262,901",0,"66,089",0
2000,강남구,"420,387","5,410,880","420,092","5,406,840",295,"4,040",800,"17,600","7,900","380,640","7,900","380,640",0,0,"411,687","5,012,640","411,392","5,008,600",295,"4,040"
2001,강남구,"422,189","5,443,381","422,189","5,443,381",0,0,800,"17,600","7,900","380,640","7,900","380,640",0,0,"413,489","5,045,141","413,489","5,045,141",0,0
2002,강남구,"422,189","5,443,381","422,189","5,443,381",0,0,800,"17,600","7,900","380,640","7,900","380,640",0,0,"413,489","5,045,141","413,489","5,045,141",0,0
2003,강남구,"422,189","5,446,181","422,189","5,446,181",0,0,800,"17,600","7,900","380,640","7,900","380,640",0,0,"413,489","5,047,941","413,489","5,047,941",0,0
2004,강남구,"422,189","5,446,181","422,189","5,446,181",-,-,800,"17,600","7,900","380,640","7,900","380,640",-,-,"413,489","5,047,941","413,489","5,047,941",-,-
2005,강남구,"422,189","5,446,181","422,189","5,446,181",-,-,800,"17,600","7,900","380,640","7,900","380,640",-,-,"413,489","5,047,941","413,489","5,047,941",-,-
2006,강남구,"422,189","5,446,181","422,189","5,446,181",-,-,800,"17,600","7,900","380,640","7,900","380,640",-,-,"413,489","5,047,941","413,489","5,047,941",-,-
2007,강남구,"422,699","5,456,381","422,699","5,456,381",…,…,800,"17,600","7,900","380,640","7,900","380,640",-,-,"413,999","5,058,141","413,999","5,058,141",…,…
2008,강남구,"422,699","5,462,561","422,699","5,462,561",-,-,800,"17,600","7,900","380,640","7,900","380,640",-,-,"413,999","5,064,321","413,999","5,064,321",-,-
2009,강남구,"422,849","5,489,761","422,849","5,489,761",-,-,800,"17,600","7,900","380,640","7,900","380,640",-,-,"414,149","5,091,521","414,149","5,091,521",-,-
2010,강남구,"423,124","5,498,011","423,124","5,498,011",-,-,800,"17,600","7,900","380,640","7,900","380,640",-,-,"414,424","5,099,771","414,424","5,099,771",-,-
2011,강남구,"423,124","5,498,011","423,124","5,498,011",-,-,800,"17,600","7,900","380,640","7,900","380,640",-,-,"414,424","5,099,771","414,424","5,099,771",-,-
2012,강남구,"432,553","5,633,856","432,553","5,633,856",-,-,800,"17,600","7,900","380,640","7,900","380,640",-,-,"423,853","5,235,616","423,853","5,235,616",-,-
2013,강남구,"432,553","5,633,856","432,553","5,633,856",-,-,800,"17,600","7,900","380,640","7,900","380,640",-,-,"423,853","5,235,616","423,853","5,235,616",-,-
2014,강남구,"432,553","5,633,856","432,553","5,633,856",-,-,800,"17,600","7,900","380,640","7,900","380,640",-,-,"423,853","5,235,616","423,853","5,235,616",-,-
2015,강남구,"433,889","5,656,568","433,889","5,656,568",-,-,800,"17,600","7,900","380,640","7,900","380,640",-,-,"425,189","5,258,328","425,189","5,258,328",-,-
2016,강남구,"434,029","5,658,248","434,029","5,658,248",-,-,800,"17,600","7,900","380,640","7,900","380,640",-,-,"425,329","5,260,008","425,329","5,260,008",-,-
2017,강남구,"434,649","5,669,904","434,649","5,669,904",-,-,620,"11,656","7,900","380,640","7,900","380,640",-,-,"426,129","5,277,608","426,129","5,277,608",-,-
2018,강남구,"434,999","5,673,004","434,999","5,673,004",-,-,620,"11,656","7,900","380,640","7,900","380,640",-,-,"426,479","5,280,708","426,479","5,280,708",-,-
2019,강남구,"434,999","5,698,444","434,999","5,698,444",-,-,620,"11,656","7,900","380,640","7,900","380,640",-,-,"426,479","5,306,148","426,479","5,306,148",-,-
