"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,강서구,"318,983",…,"257,620",…,"61,363",…,-,…,"15,050",…,"15,050",…,-,-,"303,933",…,"242,570",…,"61,363",…
1994,강서구,"339,998",…,"278,635",…,"61,363",…,-,…,"15,050",…,"15,050",…,-,-,"324,948",…,"263,585",…,"61,363",…
1995,강서구,"349,772",…,"288,409",…,"61,363",…,-,…,"15,050",…,"15,050",…,-,-,"334,722",…,"273,359",…,"61,363",…
1996,강서구,"353,714",…,"292,231",…,"61,483",…,-,…,"15,050",…,"15,050",…,-,-,"338,664",…,"277,181",…,"61,483",…
1997,강서구,"355,805",0,"294,396",0,"61,409",0,0,0,"15,050",0,"15,050",0,0,0,"340,755",0,"279,346",0,"61,409",0
1998,강서구,"357,357",0,"295,948",0,"61,409",0,0,0,"15,050",0,"15,050",0,0,0,"342,307",0,"280,898",0,"61,409",0
1999,강서구,"359,189",0,"297,780",0,"61,409",0,0,0,"51,620",0,"51,620",0,0,0,"307,569",0,"246,160",0,"61,409",0
2000,강서구,"362,071","4,150,973","300,662","3,669,578","61,409","481,395",0,0,"15,050","465,292","15,050","465,292",0,0,"347,021","3,685,681","285,612","3,204,286","61,409","481,395"
2001,강서구,"365,899","4,212,019","359,779","4,187,009","6,120","25,010","3,000","90,000","15,050","465,292","15,050","465,292",0,0,"347,849","3,656,727","341,729","3,631,717","6,120","25,010"
2002,강서구,"367,400","4,243,257","361,280","4,218,247","6,120","25,010","3,000","90,000","15,050","465,292","15,050","465,292",0,0,"349,350","3,687,965","343,230","3,662,955","6,120","25,010"
2003,강서구,"368,066","4,254,317","362,656","4,232,147","5,410","22,170","3,000","90,000","15,050","465,292","15,050","465,292",0,0,"350,016","3,699,025","344,606","3,676,855","5,410","22,170"
2004,강서구,"368,699","4,260,013","363,714","4,239,588","4,985","20,425","3,000","90,000","15,050","465,292","15,050","465,292",-,-,"350,649","3,704,721","345,664","3,684,296","4,985","20,425"
2005,강서구,"369,509","4,273,333","364,524","4,252,908","4,985","20,425","3,000","90,000","15,050","465,292","15,050","465,292",-,-,"351,459","3,718,041","346,474","3,697,616","4,985","20,425"
2006,강서구,"370,268","4,278,987","368,323","4,271,057","1,945","7,930","3,000","90,000","15,050","465,292","15,050","465,292",-,-,"352,218","3,723,695","350,273","3,715,765","1,945","7,930"
2007,강서구,"370,730","4,282,683","368,785","4,274,753",…,…,"3,000","90,000","15,050","465,292","15,050","465,292",-,-,"352,680","3,727,391","350,735","3,719,461",…,…
2008,강서구,"377,107","4,419,296","377,107","4,419,296",-,-,"3,000","90,000","15,050","465,292","15,050","465,292",-,-,"359,057","3,864,004","359,057","3,864,004",-,-
2009,강서구,"377,616","4,422,114","377,616","4,422,114",-,-,"3,000","90,000","15,050","465,292","15,050","465,292",-,-,"359,566","3,866,822","359,566","3,866,822",-,-
2010,강서구,"377,616","4,422,114","377,616","4,422,114",-,-,"3,000","90,000","15,050","465,292","15,050","465,292",-,-,"359,566","3,866,822","359,566","3,866,822",-,-
2011,강서구,"377,616","4,422,114","377,616","4,422,114",-,-,"3,000","90,000","15,050","465,292","15,050","465,292",-,-,"359,566","3,866,822","359,566","3,866,822",-,-
2012,강서구,"377,616","4,422,114","377,616","4,422,114",-,-,"3,000","90,000","15,050","465,292","15,050","465,292",-,-,"359,566","3,866,822","359,566","3,866,822",-,-
2013,강서구,"377,616","4,422,114","377,616","4,422,114",-,-,"3,000","90,000","15,050","465,292","15,050","465,292",-,-,"359,566","3,866,822","359,566","3,866,822",-,-
2014,강서구,"377,616","4,422,114","377,616","4,422,114",-,-,"3,000","90,000","15,050","465,292","15,050","465,292",-,-,"359,566","3,866,822","359,566","3,866,822",-,-
2015,강서구,"377,684","4,422,658","377,684","4,422,658",-,-,"3,000","90,000","15,050","465,292","15,050","465,292",-,-,"359,634","3,867,366","359,634","3,867,366",-,-
2016,강서구,"382,174","4,506,298","382,174","4,506,298",-,-,"3,000","90,000","15,050","465,292","15,050","465,292",-,-,"364,124","3,951,006","364,124","3,951,006",-,-
2017,강서구,"385,164","4,596,298","385,164","4,596,298",-,-,"2,990","90,000","15,050","465,292","15,050","465,292",-,-,"367,124","4,041,006","367,124","4,041,006",-,-
2018,강서구,"385,177","4,596,428","385,177","4,596,428",-,-,"2,990","90,000","15,050","465,292","15,050","465,292",-,-,"367,137","4,041,136","367,137","4,041,136",-,-
2019,강서구,"410,852","5,032,589","410,852","5,032,589",-,-,"2,990","90,000","15,050","465,292","15,050","465,292",-,-,"392,812","4,477,297","392,812","4,477,297",-,-
