"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,노원구,"237,669",…,"162,008",…,"75,661",…,-,…,-,…,-,…,-,-,"237,669",…,"162,008",…,"75,661",…
1994,노원구,"242,542",…,"167,181",…,"75,361",…,-,…,-,…,-,…,-,-,"242,542",…,"167,181",…,"75,361",…
1995,노원구,"249,464",…,"174,103",…,"75,361",…,-,…,-,…,-,…,-,-,"249,464",…,"174,103",…,"75,361",…
1996,노원구,"258,466",…,"183,105",…,"75,361",…,-,…,-,…,-,…,-,-,"258,466",…,"183,105",…,"75,361",…
1997,노원구,"262,707",0,"187,346",0,"75,361",0,0,0,0,0,0,0,0,0,"262,707",0,"187,346",0,"75,361",0
1998,노원구,"273,599",0,"198,238",0,"75,361",0,0,0,0,0,0,0,0,0,"273,599",0,"198,238",0,"75,361",0
1999,노원구,"274,134",0,"201,494",0,"72,640",0,0,0,"45,140",0,"45,140",0,0,0,"228,994",0,"156,354",0,"72,640",0
2000,노원구,"280,052","3,447,991","207,412","3,243,067","72,640","204,924",0,0,0,0,0,0,0,0,"280,052","3,447,991","207,412","3,243,067","72,640","204,924"
2001,노원구,"282,557","3,472,517","282,327","3,470,677",230,"1,840",0,0,0,0,0,0,0,0,"282,557","3,472,517","282,327","3,470,677",230,"1,840"
2002,노원구,"285,786","3,526,836","285,556","3,524,996",230,"1,840",0,0,0,0,0,0,0,0,"285,786","3,526,836","285,556","3,524,996",230,"1,840"
2003,노원구,"285,786","3,528,965","285,556","3,527,125",230,"1,840",0,0,0,0,0,0,0,0,"285,786","3,528,965","285,556","3,527,125",230,"1,840"
2004,노원구,"286,966","3,537,409","286,736","3,535,569",230,"1,840",-,-,-,-,-,-,-,-,"286,966","3,537,409","286,736","3,535,569",230,"1,840"
2005,노원구,"287,268","3,540,133","287,038","3,538,293",230,"1,840",-,-,-,-,-,-,-,-,"287,268","3,540,133","287,038","3,538,293",230,"1,840"
2006,노원구,"291,128","3,683,204","291,128","3,683,204",-,-,"3,660","137,250",-,-,-,-,-,-,"287,468","3,545,954","287,468","3,545,954",-,-
2007,노원구,"291,192","3,683,844","291,192","3,683,844",…,…,"3,660","137,250",-,-,-,-,-,-,"287,532","3,546,594","287,532","3,546,594",…,…
2008,노원구,"291,348","3,685,404","291,348","3,685,404",-,-,"3,660","137,250",-,-,-,-,-,-,"287,688","3,548,154","287,688","3,548,154",-,-
2009,노원구,"291,348","3,685,404","291,348","3,685,404",-,-,"3,660","137,250",-,-,-,-,-,-,"287,688","3,548,154","287,688","3,548,154",-,-
2010,노원구,"291,393","3,685,646","291,393","3,685,646",-,-,"3,660","137,250",-,-,-,-,-,-,"287,733","3,548,396","287,733","3,548,396",-,-
2011,노원구,"291,393","3,685,646","291,393","3,685,646",-,-,"3,660","137,250",-,-,-,-,-,-,"287,733","3,548,396","287,733","3,548,396",-,-
2012,노원구,"291,404","3,685,690","291,404","3,685,690",-,-,"3,660","137,250",-,-,-,-,-,-,"287,744","3,548,440","287,744","3,548,440",-,-
2013,노원구,"291,404","3,685,690","291,404","3,685,690",-,-,"3,660","137,250",-,-,-,-,-,-,"287,744","3,548,440","287,744","3,548,440",-,-
2014,노원구,"291,467","3,686,398","291,467","3,686,398",-,-,"3,660","137,250",-,-,-,-,-,-,"287,807","3,549,148","287,807","3,549,148",-,-
2015,노원구,"291,467","3,686,398","291,467","3,686,398",-,-,"3,660","137,250",-,-,-,-,-,-,"287,807","3,549,148","287,807","3,549,148",-,-
2016,노원구,"291,817","3,690,773","291,817","3,690,773",-,-,"3,660","137,250",-,-,-,-,-,-,"288,157","3,553,523","288,157","3,553,523",-,-
2017,노원구,"295,417","3,828,023","295,417","3,828,023",-,-,"3,600","137,250",-,-,-,-,-,-,"291,817","3,690,773","291,817","3,690,773",-,-
2018,노원구,"296,067","3,833,496","296,067","3,833,496",-,-,"3,600","137,250",-,-,-,-,-,-,"292,467","3,696,246","292,467","3,696,246",-,-
2019,노원구,"296,067","3,833,496","296,067","3,833,496",-,-,"3,600","137,250",-,-,-,-,-,-,"292,467","3,696,246","292,467","3,696,246",-,-
