"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,마포구,"373,667",…,"369,730",…,"3,937",…,-,…,"11,750",…,"11,750",…,-,-,"361,917",…,"357,980",…,"3,937",…
1994,마포구,"377,275",…,"373,338",…,"3,937",…,-,…,"11,750",…,"11,750",…,-,-,"365,525",…,"361,588",…,"3,937",…
1995,마포구,"381,030",…,"377,093",…,"3,937",…,-,…,"11,750",…,"11,750",…,-,-,"369,280",…,"365,343",…,"3,937",…
1996,마포구,"382,726",…,"378,789",…,"3,937",…,-,…,"11,750",…,"11,750",…,-,-,"370,976",…,"367,039",…,"3,937",…
1997,마포구,"389,100",0,"385,163",0,"3,937",0,0,0,"11,750",0,"11,750",0,0,0,"377,350",0,"373,413",0,"3,937",0
1998,마포구,"391,013",0,"387,076",0,"3,937",0,0,0,"11,750",0,"11,750",0,0,0,"379,263",0,"375,326",0,"3,937",0
1999,마포구,"392,837",0,"388,900",0,"3,937",0,0,0,"37,870",0,"37,870",0,0,0,"354,967",0,"351,030",0,"3,937",0
2000,마포구,"395,020","3,473,497","391,083","3,441,997","3,937","31,500",0,0,"11,750","385,400","11,750","385,400",0,0,"383,270","3,088,097","379,333","3,056,597","3,937","31,500"
2001,마포구,"397,360","3,517,185","397,360","3,517,185",0,0,0,0,"11,750","385,400","11,750","385,400",0,0,"385,610","3,131,785","385,610","3,131,785",0,0
2002,마포구,"410,480","3,842,767","410,480","3,842,767",0,0,0,0,"11,750","385,400","11,750","385,400",0,0,"398,730","3,457,367","398,730","3,457,367",0,0
2003,마포구,"410,480","3,852,541","410,480","3,852,541",0,0,0,0,"11,750","385,400","11,750","385,400",0,0,"398,730","3,467,141","398,730","3,467,141",0,0
2004,마포구,"410,906","3,859,816","410,906","3,859,816",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"399,156","3,474,416","399,156","3,474,416",-,-
2005,마포구,"417,798","4,015,527","417,798","4,015,527",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"406,048","3,630,127","406,048","3,630,127",-,-
2006,마포구,"418,296","4,018,179","418,296","4,018,179",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"406,546","3,632,779","406,546","3,632,779",-,-
2007,마포구,"418,296","4,018,179","418,296","4,018,179",…,…,-,-,"11,750","385,400","11,750","385,400",-,-,"406,546","3,632,779","406,546","3,632,779",…,…
2008,마포구,"418,899","4,022,461","418,899","4,022,461",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"407,149","3,637,061","407,149","3,637,061",-,-
2009,마포구,"418,899","4,026,882","418,899","4,026,882",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"407,149","3,641,482","407,149","3,641,482",-,-
2010,마포구,"418,899","4,026,882","418,899","4,026,882",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"407,149","3,641,482","407,149","3,641,482",-,-
2011,마포구,"419,924","4,038,533","419,924","4,038,533",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"408,174","3,653,133","408,174","3,653,133",-,-
2012,마포구,"419,924","4,041,836","419,924","4,041,836",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"408,174","3,656,436","408,174","3,656,436",-,-
2013,마포구,"420,058","4,042,908","420,058","4,042,908",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"408,308","3,657,508","408,308","3,657,508",-,-
2014,마포구,"420,163","4,044,568","420,163","4,044,568",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"408,413","3,659,168","408,413","3,659,168",-,-
2015,마포구,"420,230","4,055,748","420,230","4,055,748",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"408,480","3,670,348","408,480","3,670,348",-,-
2016,마포구,"420,406","4,059,428","420,406","4,059,428",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"408,656","3,674,028","408,656","3,674,028",-,-
2017,마포구,"420,428","4,059,660","420,428","4,059,660",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"408,678","3,674,260","408,678","3,674,260",-,-
2018,마포구,"420,428","4,059,660","420,428","4,059,660",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"408,678","3,674,260","408,678","3,674,260",-,-
2019,마포구,"421,328","4,080,043","421,328","4,080,043",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"409,578","3,694,643","409,578","3,694,643",-,-
