"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,서초구,"327,839",…,"322,699",…,"5,140",…,"11,200",…,"4,200",…,"4,200",…,-,-,"312,439",…,"307,299",…,"5,140",…
1994,서초구,"333,464",…,"328,324",…,"5,140",…,"11,200",…,"4,200",…,"4,200",…,-,-,"318,064",…,"312,924",…,"5,140",…
1995,서초구,"336,604",…,"331,464",…,"5,140",…,"16,360",…,"4,200",…,"4,200",…,-,-,"316,044",…,"310,904",…,"5,140",…
1996,서초구,"341,229",…,"336,089",…,"5,140",…,"16,360",…,"4,200",…,"4,200",…,-,-,"320,669",…,"315,529",…,"5,140",…
1997,서초구,"341,941",0,"336,801",0,"5,140",0,"16,360",0,"4,200",0,"4,200",0,0,0,"321,381",0,"316,241",0,"5,140",0
1998,서초구,"344,747",0,"339,607",0,"5,140",0,"16,360",0,"4,200",0,"4,200",0,0,0,"324,187",0,"319,047",0,"5,140",0
1999,서초구,"345,767",0,"340,627",0,"5,140",0,"16,360",0,"57,660",0,"57,660",0,0,0,"271,747",0,"266,607",0,"5,140",0
2000,서초구,"345,767","4,903,896","341,197","4,876,240","4,570","27,656","16,360","477,140","4,200","202,360","4,200","202,360",0,0,"325,207","4,224,396","320,637","4,196,740","4,570","27,656"
2001,서초구,"345,957","4,904,656","345,957","4,904,656",0,0,"16,360","477,140","4,200","202,360","4,200","202,360",0,0,"325,397","4,225,156","325,397","4,225,156",0,0
2002,서초구,"345,957","4,904,656","345,957","4,904,656",0,0,"9,526","255,592","4,200","202,360","4,200","202,360",0,0,"332,231","4,446,704","332,231","4,446,704",0,0
2003,서초구,"346,099","4,905,508","346,099","4,905,508",0,0,"10,270","361,020","4,200","202,360","4,200","202,360",0,0,"331,629","4,342,128","331,629","4,342,128",0,0
2004,서초구,"347,135","4,913,796","347,135","4,913,796",-,-,"10,270","361,020","4,200","202,360","4,200","202,360",-,-,"332,665","4,350,416","332,665","4,350,416",-,-
2005,서초구,"347,135","4,916,348","347,135","4,916,348",-,-,"10,270","361,020","4,200","202,360","4,200","202,360",-,-,"332,665","4,352,968","332,665","4,352,968",-,-
2006,서초구,"347,135","4,917,988","347,135","4,917,988",-,-,"10,270","361,020","4,200","202,360","4,200","202,360",-,-,"332,665","4,354,608","332,665","4,354,608",-,-
2007,서초구,"347,135","4,917,988","347,135","4,917,988",…,…,"10,270","361,020","4,200","202,360","4,200","202,360",-,-,"332,665","4,354,608","332,665","4,354,608",…,…
2008,서초구,"347,135","4,917,988","347,135","4,917,988",-,-,"10,270","361,020","4,200","202,360","4,200","202,360",-,-,"332,665","4,354,608","332,665","4,354,608",-,-
2009,서초구,"347,135","4,917,988","347,135","4,917,988",-,-,"10,270","361,020","4,200","202,360","4,200","202,360",-,-,"332,665","4,354,608","332,665","4,354,608",-,-
2010,서초구,"377,425","4,960,778","377,425","4,960,778",-,-,"10,270","361,020","4,200","202,360","4,200","202,360",-,-,"362,955","4,397,398","362,955","4,397,398",-,-
2011,서초구,"377,425","4,960,778","377,425","4,960,778",-,-,"10,270","361,020","4,200","202,360","4,200","202,360",-,-,"362,955","4,397,398","362,955","4,397,398",-,-
2012,서초구,"377,425","4,960,778","377,425","4,960,778",-,-,"10,270","361,020","4,200","202,360","4,200","202,360",-,-,"362,955","4,397,398","362,955","4,397,398",-,-
2013,서초구,"379,115","5,139,090","379,115","5,139,090",-,-,"10,270","361,020","4,200","202,360","4,200","202,360",-,-,"364,645","4,575,710","364,645","4,575,710",-,-
2014,서초구,"384,954","5,230,022","384,954","5,230,022",-,-,"10,270","361,020","4,200","202,360","4,200","202,360",-,-,"370,484","4,666,642","370,484","4,666,642",-,-
2015,서초구,"384,954","5,230,022","384,954","5,230,022",-,-,"10,270","361,020","4,200","202,360","4,200","202,360",-,-,"370,484","4,666,642","370,484","4,666,642",-,-
2016,서초구,"389,579","5,499,595","389,579","5,499,595",-,-,"10,270","361,020","4,200","202,360","4,200","202,360",-,-,"375,109","4,936,215","375,109","4,936,215",-,-
2017,서초구,"394,789","5,729,263","394,789","5,729,263",-,-,"5,210","225,510","4,200","202,360","4,200","202,360",-,-,"385,379","5,301,393","385,379","5,301,393",-,-
2018,서초구,"394,580","5,728,307","394,580","5,728,307",-,-,"5,210","225,510","4,200","202,360","4,200","202,360",-,-,"385,170","5,300,437","385,170","5,300,437",-,-
2019,서초구,"396,500","5,789,862","396,500","5,789,862",-,-,"5,210","225,510","4,200","202,360","4,200","202,360",-,-,"387,090","5,361,992","387,090","5,361,992",-,-
