Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
2004,합계,230,"8,452","54,675",82,"4,594","49,452",112,"35,092","571,291",101,"79,208","1,385,287",30,0,"146,251",32,"22,124","307,508",26,"15,412","156,545","152,711",0,0,,,,,,,,,,,,,,,,,,
2004,건설안전관리본부,0,0,0,0,0,0,84,"29,528","498,224",91,"76,830","1,366,611",0,0,0,30,"21,674","302,953",26,"15,412","156,545","24,518",0,0,,,,,,,,,,,,,,,,,,
2004,종로구,7,275,"1,865",4,320,"3,791",1,209,"1,762",0,0,0,6,0,"15,596",0,0,0,0,0,0,"4,925",0,0,,,,,,,,,,,,,,,,,,
2004,중구,5,145,"1,113",14,873,"9,092",1,109,858,0,0,0,15,0,"63,550",0,0,0,0,0,0,"5,098",0,0,,,,,,,,,,,,,,,,,,
2004,용산구,22,800,"4,815",3,95,562,5,"1,082","29,584",1,256,"4,096",0,0,0,0,0,0,0,0,0,"5,711",0,0,,,,,,,,,,,,,,,,,,
2004,성동구,3,73,532,5,120,852,1,55,828,0,0,0,0,0,0,0,0,0,0,0,0,"4,672",0,0,,,,,,,,,,,,,,,,,,
2004,광진구,6,161,"1,199",3,238,"1,467",1,192,"1,337",1,51,439,0,0,0,0,0,0,0,0,0,"4,189",0,0,,,,,,,,,,,,,,,,,,
2004,동대문구,13,545,"3,405",1,20,374,4,"1,121","11,362",2,"1,448","8,755",1,0,777,0,0,0,0,0,0,"4,125",0,0,,,,,,,,,,,,,,,,,,
2004,중랑구,12,319,"2,244",2,154,393,1,300,"3,088",0,0,0,0,0,0,0,0,0,0,0,0,"3,550",0,0,,,,,,,,,,,,,,,,,,
2004,성북구,7,341,"1,714",4,116,"1,487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,630",0,0,,,,,,,,,,,,,,,,,,
2004,강북구,7,145,"1,121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,938",0,0,,,,,,,,,,,,,,,,,,
2004,도봉구,1,30,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,511",0,0,,,,,,,,,,,,,,,,,,
2004,노원구,10,502,"3,309",6,222,"2,371",3,681,"4,766",0,0,0,0,0,0,0,0,0,0,0,0,"6,763",0,0,,,,,,,,,,,,,,,,,,
2004,은평구,1,22,194,0,0,0,0,0,0,0,0,0,0,0,0,1,340,"3,400",0,0,0,"5,236",0,0,,,,,,,,,,,,,,,,,,
2004,서대문구,13,395,"2,603",4,146,"1,654",0,0,0,2,64,557,0,0,0,0,0,0,0,0,0,"4,137",0,0,,,,,,,,,,,,,,,,,,
2004,마포구,3,71,546,3,107,"1,657",2,178,"1,629",1,70,994,0,0,0,0,0,0,0,0,0,"5,422",0,0,,,,,,,,,,,,,,,,,,
2004,양천구,16,812,"4,910",1,29,171,1,185,"1,591",1,150,"1,163",0,0,0,0,0,0,0,0,0,"5,489",0,0,,,,,,,,,,,,,,,,,,
2004,강서구,7,194,"1,349",3,244,"2,520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,220",0,0,,,,,,,,,,,,,,,,,,
2004,구로구,11,438,"3,083",0,0,0,3,528,"4,197",0,0,0,0,0,0,0,0,0,0,0,0,"4,400",0,0,,,,,,,,,,,,,,,,,,
2004,금천구,6,335,"1,630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,764",0,0,,,,,,,,,,,,,,,,,,
2004,영등포구,10,311,"2,016",3,89,"1,327",0,0,0,0,0,0,3,0,"14,639",0,0,0,0,0,0,"6,543",0,0,,,,,,,,,,,,,,,,,,
2004,동작구,15,599,"3,809",4,137,"1,584",3,420,"4,622",2,339,"2,673",0,0,0,0,0,0,0,0,0,"3,226",0,0,,,,,,,,,,,,,,,,,,
2004,관악구,10,436,"3,628",1,34,596,0,0,0,0,0,0,0,0,0,1,110,"1,155",0,0,0,"3,738",0,0,,,,,,,,,,,,,,,,,,
2004,서초구,10,335,"2,014",5,228,"2,171",0,0,0,0,0,0,3,0,"31,144",0,0,0,0,0,0,"8,695",0,0,,,,,,,,,,,,,,,,,,
2004,강남구,9,346,"2,049",8,879,"9,849",0,0,0,0,0,0,1,0,"12,099",0,0,0,0,0,0,"9,415",0,0,,,,,,,,,,,,,,,,,,
2004,송파구,17,586,"3,753",7,511,"6,934",2,506,"7,443",0,0,0,1,0,"8,446",0,0,0,0,0,0,"6,969",0,0,,,,,,,,,,,,,,,,,,
2004,강동구,9,237,"1,573",1,34,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,827",0,0,,,,,,,,,,,,,,,,,,
