Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,강북구,10,207,"1,565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,971",0,0,,,,,,,,,,,,,,,,,,
1998,강북구,10,207,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,015",0,0,,,,,,,,,,,,,,,,,,
1999,강북구,10,207,"1,566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,184",0,0,,,,,,,,,,,,,,,,,,
2000,강북구,10,207,"1,566",-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,201",0,0,,,,,,,,,,,,,,,,,,
2001,강북구,10,207,"1,566",0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,"2,333",0,0,,,,,,,,,,,,,,,,,,
2002,강북구,10,207,"1,566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,401",0,0,,,,,,,,,,,,,,,,,,
2003,강북구,9,190,"1,446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,670",0,0,,,,,,,,,,,,,,,,,,
2004,강북구,7,145,"1,121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,938",0,0,,,,,,,,,,,,,,,,,,
2005,강북구,6,127,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,195",0,0,,,,,,,,,,,,,,,,,,
2006,강북구,6,127,486,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,311",-,-,,,,,,,,,,,,,,,,,,
2007,강북구,5,166,"1,242",-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,"3,413",,,5,"4,583","39,200",,,,,,,,,,,,,,,
2008,강북구,3,68,698,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,"3,427",,,5,"4,583","39,200",,,,,,,,,,,,,,,
2009,강북구,3,68,698,-,-,-,-,-,-,,,,,,,-,-,-,,,,"3,472",,,,,,-,-,-,-,-,-,5,"4,583","39,200.0",-,-,-,-,-,-
2010,강북구,3,68,698,-,-,-,-,-,-,,,,,,,1,"1,065","15,975.0",,,,"4,191",,,,,,-,-,-,-,-,-,5,"4,583","39,200.0",-,-,-,-,-,-
2011,강북구,3,68,698,-,-,-,-,-,-,,,,,,,1,815,"12,225.0",,,,"4,330",,,,,,-,-,-,-,-,-,5,"4,583","39,200.0",-,-,-,-,-,-
2012,강북구,3,68,698,-,-,-,-,-,-,,,,,,,1,815,"12,225.0",,,,"4,303",,,,,,-,-,-,-,-,-,5,"4,583","39,200.0",-,-,-,-,-,-
2013,강북구,2,50,321,-,-,-,-,-,-,,,,,,,1,815,"12,225",,,,"4,336",,,,,,-,-,-,-,-,-,5,"4,583","35,938",-,-,-,-,-,-
2014,강북구,2,50,321,-,-,-,-,-,-,,,,,,,1,815,"12,225",,,,"4,352",,,,,,-,-,-,-,-,-,5,"4,583","35,938",-,-,-,-,-,-
2015,강북구,1,22,108,-,-,-,-,-,-,,,,,,,1,815,"12,225",,,,"4,360",,,,,,-,-,-,-,-,-,5,"4,583","35,938",-,-,-,-,-,-
2016,강북구,1,22,108,-,-,-,-,-,-,,,,,,,1,815,"12,225",,,,"4,440",,,,,,-,-,-,-,-,-,5,"4,583","35,938",-,-,-,-,-,-
2017,강북구,1,22,108,-,-,-,-,-,-,,,,,,,1,815,"12,225",,,,"4,445",,,,,,-,-,-,-,-,-,5,"4,583","35,938",-,-,-,-,-,-
2018,강북구,1,22,108,-,-,-,-,-,-,,,,,,,1,815,"12,225",,,,"4,525",,,,,,-,-,-,-,-,-,5,"4,583","35,938",-,-,-,-,-,-
2019,강북구,1,22,108,-,-,-,-,-,-,,,,,,,1,815,"12,225",,,,"4,339",,,,,,-,-,-,-,-,-,5,"4,583","35,938",-,-,-,-,-,-
