Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,강서구,9,272,"1,793",2,201,878,2,669,"4,392",0,0,0,0,0,0,1,857,"8,570",0,0,0,"4,833",0,0,,,,,,,,,,,,,,,,,,
1998,강서구,9,272,985,2,85,355,2,669,"4,392",0,0,0,0,0,0,1,857,"8,570",0,0,0,"4,700",0,0,,,,,,,,,,,,,,,,,,
1999,강서구,9,272,"1,802",2,245,"2,246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,231",0,0,,,,,,,,,,,,,,,,,,
2000,강서구,9,272,"1,793",2,201,"2,028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,215",0,0,,,,,,,,,,,,,,,,,,
2001,강서구,9,272,"1,803",2,201,"2,028",0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,"4,282",0,0,,,,,,,,,,,,,,,,,,
2002,강서구,8,230,"1,512",2,85,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,501",0,0,,,,,,,,,,,,,,,,,,
2003,강서구,8,230,"1,512",2,85,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,833",0,0,,,,,,,,,,,,,,,,,,
2004,강서구,7,194,"1,349",3,244,"2,520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,220",0,0,,,,,,,,,,,,,,,,,,
2005,강서구,7,202,"1,358",3,244,"2,520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,735",0,0,,,,,,,,,,,,,,,,,,
2006,강서구,7,202,"1,358",3,244,"2,520",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,979",-,-,,,,,,,,,,,,,,,,,,
2007,강서구,7,202,"1,358",3,244,"2,490",-,-,-,-,-,-,,,,-,-,-,-,-,-,"6,302",,,-,-,-,,,,,,,,,,,,,,,
2008,강서구,7,202,"1,358",3,244,"2,490",-,-,-,-,-,-,,,,-,-,-,-,-,-,"6,817",,,-,-,-,,,,,,,,,,,,,,,
2009,강서구,7,336,"1,882.0",3,244,"2,490.0",-,-,-,,,,,,,-,-,-,,,,"6,557",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,강서구,3,219,"1,112.0",3,244,"2,490.0",-,-,-,,,,,,,-,-,-,,,,"6,483",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,강서구,3,219,"1,112.0",3,244,"2,490.0",-,-,-,,,,,,,-,-,-,,,,"6,453",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,강서구,4,272,"1,388.0",3,244,"2,490.0",-,-,-,,,,,,,-,-,-,,,,"6,499",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,강서구,4,273,"1,388",3,244,"2,491",-,-,-,,,,,,,-,-,-,,,,"6,871",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,강서구,4,273,"1,388",3,244,"2,491",-,-,-,,,,,,,-,-,-,,,,"6,520",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,강서구,4,306,"1,426",3,244,"2,491",-,-,-,,,,,,,-,-,-,,,,"6,540",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016,강서구,4,306,"1,426",3,244,"2,491",-,-,-,,,,,,,-,-,-,,,,"6,569",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,강서구,4,306,"1,426",2,201,"2,028",-,-,-,,,,,,,-,-,-,,,,"6,691",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,강서구,4,306,"1,426",2,201,"2,028",-,-,-,,,,,,,-,-,-,,,,"6,682",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,강서구,4,306,"1,426",2,201,"2,028",-,-,-,,,,,,,-,-,-,,,,"8,919",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
