Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,동대문구,12,475,"3,192",1,122,374,3,908,"33,277",0,0,0,1,32,743,0,0,0,0,0,0,"3,444",0,0,,,,,,,,,,,,,,,,,,
1998,동대문구,13,497,"1,963",1,20,118,4,"1,398","11,156",0,0,0,1,32,743,0,0,0,0,0,0,"3,889",0,0,,,,,,,,,,,,,,,,,,
1999,동대문구,13,497,"3,376",1,20,374,2,860,"15,854",0,0,0,1,32,743,0,0,0,0,0,0,"3,501",0,0,,,,,,,,,,,,,,,,,,
2000,동대문구,12,472,"3,161",1,20,374,4,"1,121","11,362",0,0,0,0,0,0,0,0,0,0,0,0,"3,728",0,0,,,,,,,,,,,,,,,,,,
2001,동대문구,12,472,"3,161",1,20,374,4,"1,121","11,362",2,"1,457","8,641",-,-,-,0,0,0,0,0,0,"3,802",0,0,,,,,,,,,,,,,,,,,,
2002,동대문구,12,472,"3,161",1,122,374,4,"1,121","11,362",2,"1,457","8,641",1,0,777,0,0,0,0,0,0,"3,843",0,0,,,,,,,,,,,,,,,,,,
2003,동대문구,12,472,"3,161",1,122,374,4,"1,121","11,362",2,"1,488","8,775",1,0,777,0,0,0,0,0,0,"3,993",0,0,,,,,,,,,,,,,,,,,,
2004,동대문구,13,545,"3,405",1,20,374,4,"1,121","11,362",2,"1,448","8,755",1,0,777,0,0,0,0,0,0,"4,125",0,0,,,,,,,,,,,,,,,,,,
2005,동대문구,12,566,"2,259",1,122,374,5,"1,158","11,769",2,"1,448","8,775",1,0,777,0,0,0,0,0,0,"4,677",0,0,,,,,,,,,,,,,,,,,,
2006,동대문구,11,545,"2,175",1,122,374,5,"1,158","11,769",2,"1,448","8,775",1,-,777,-,-,-,-,-,-,"4,920",-,-,,,,,,,,,,,,,,,,,,
2007,동대문구,11,545,"3,146",1,20,374,5,"1,468","11,769",2,"1,448","8,775",,,,-,-,-,-,-,-,"5,590",,,2,"1,171","4,294",,,,,,,,,,,,,,,
2008,동대문구,11,545,"3,146",1,20,374,6,"1,691","14,222",2,"1,448","8,775",,,,-,-,-,-,-,-,"6,362",,,2,"1,171","3,606",,,,,,,,,,,,,,,
2009,동대문구,12,569,"3,599.0",1,20,374,7,"1,691","14,222.0",,,,,,,-,-,-,,,,"6,324",,,,,,2,"1,448","8,775.0",-,-,-,2,"1,171","3,606.0",-,-,-,-,-,-
2010,동대문구,11,348,"2,475.0",1,20,374,7,"1,691","14,222.0",,,,,,,-,-,-,,,,"7,140",,,,,,2,"1,448","8,775.0",-,-,-,2,"1,171","3,606.0",-,-,-,-,-,-
2011,동대문구,12,414,"2,775.0",2,87,609,7,"1,691","14,222.0",,,,,,,-,-,-,,,,"7,151",,,,,,4,"2,219","22,653.0",-,-,-,2,"1,171","3,606.0",-,-,-,-,-,-
2012,동대문구,12,414,"2,775.0",2,87,609,7,"1,690","14,222.0",,,,,,,-,-,-,,,,"7,289",,,,,,4,"2,218","22,653.0",-,-,-,2,"1,171","3,606.0",-,-,-,-,-,-
2013,동대문구,10,372,"2,396",2,87,610,7,"1,919","15,180",,,,,,,-,-,-,,,,"7,377",,,,,,4,"2,219","22,653",-,-,-,2,"1,171","3,606",-,-,-,-,-,-
2014,동대문구,9,350,"2,230",2,87,610,7,"1,919","15,180",,,,,,,-,-,-,,,,"7,738",,,,,,4,"2,219","22,653",-,-,-,2,"1,171","3,606",-,-,-,-,-,-
2015,동대문구,7,300,"1,815",2,87,610,7,"1,919","15,180",,,,,,,-,-,-,,,,"7,890",,,,,,4,"2,219","22,653",-,-,-,2,"1,171","3,606",-,-,-,-,-,-
2016,동대문구,7,300,"1,815",2,87,610,7,"1,919","15,180",,,,,,,-,-,-,,,,"8,019",,,,,,4,"2,219","22,653",-,-,-,2,"1,171","3,606",-,-,-,-,-,-
2017,동대문구,8,337,"1,948",2,87,610,7,"1,919","15,180",,,,,,,-,-,-,,,,"8,096",,,,,,4,"2,219","22,653",-,-,-,2,"1,171","3,606",-,-,-,-,-,-
2018,동대문구,8,337,"1,948",2,87,610,7,"1,919","15,180",,,,,,,-,-,-,,,,"8,149",,,,,,4,"2,219","22,653",-,-,-,2,"1,171","3,606",-,-,-,-,-,-
2019,동대문구,8,337,"1,948",2,87,610,7,"1,919","15,180",,,,,,,-,-,-,,,,"8,211",,,,,,4,"2,219","22,653",-,-,-,2,"1,171","3,606",-,-,-,-,-,-
