"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,합계,"10,925,464","10,919,976",99.9,"6,190,000","5,034,065",461,"1,760,705"
1993,종로구,"222,423","222,423",100,…,…,0...,"42,976"
1993,중구,"167,383","167,383",100,…,…,0...,"34,434"
1993,용산구,"276,439","276,439",100,…,…,0...,"43,348"
1993,성동구,"767,976","767,976",100,…,…,0...,"101,999"
1993,광진구,-,-,-,…,…,0...,-
1993,동대문구,"459,000","459,000",100,…,…,0...,"67,791"
1993,중랑구,"460,157","460,157",100,…,…,0...,"54,278"
1993,성북구,"514,240","514,240",100,…,…,0...,"75,615"
1993,강북구,-,-,-,…,…,0...,-
1993,도봉구,"780,472","779,842",99.9,…,…,0...,"126,156"
1993,노원구,"588,188","588,094",99.9,…,…,0...,"125,268"
1993,은평구,"512,196","512,196",100,…,…,0...,"78,780"
1993,서대문구,"381,905","381,905",100,…,…,0...,"62,118"
1993,마포구,"422,406","422,406",100,…,…,0...,"73,767"
1993,양천구,"499,848","499,570",99.9,…,…,0...,"85,091"
1993,강서구,"474,434","472,241",99.5,…,…,0...,"80,862"
1993,구로구,"724,230","724,230",100,…,…,0...,"88,870"
1993,금천구,-,-,-,…,…,0...,-
1993,영등포구,"445,221","445,221",100,…,…,0...,"58,962"
1993,동작구,"440,361","440,361",100,…,…,0...,"65,469"
1993,관악구,"590,442","590,442",100,…,…,0...,"80,416"
1993,서초구,"410,719","409,799",99.8,…,…,0...,"80,931"
1993,강남구,"566,379","566,217",99.9,…,…,0...,"126,642"
1993,송파구,"685,260","685,260",100,…,…,0...,"123,202"
1993,강동구,"535,785","534,574",99.8,…,…,0...,"83,730"
