Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,금천구,"13,370,000","5,860,000",-,-,-,"5,740,403","1,511,840","3,383,887","844,677","119,597","180,000","130,000","50,000",-,-,"4,510,000","4,510,000","2,820,000",-,-,"2,820,000",,,
2004,금천구,"13,370,100","5,860,100",-,-,-,"5,740,503","1,511,840","3,383,987","844,677","119,597","180,000","130,000","50,000",-,-,"4,510,000","4,510,000","2,820,000",-,-,"2,820,000",,,
2005,금천구,"13,753,295","6,243,295",-,-,-,"5,813,605","373,064","4,044,051","1,396,491","429,690","180,000","130,000","50,000",-,-,"4,510,000","4,510,000","2,820,000",-,-,"2,820,000",,,
2006,금천구,"13,370,000","5,976,996",-,-,-,"5,762,113","1,511,642","3,362,088","888,383","214,883","176,338","130,000","46,338",-,-,"4,396,666","4,396,666","2,820,000",-,-,"2,820,000",,,
2007,금천구,"13,370,000","5,976,996",-,-,-,"5,762,113","1,511,642","3,362,088","888,383","214,883","176,338","130,000","46,338",-,-,"4,396,666","4,396,666","2,820,000",-,-,"2,820,000",,,
2008,금천구,"13,370,000","5,976,996",-,-,-,"5,762,113","1,511,642","3,362,088","888,383","214,883","176,338","130,000","46,338",-,-,"4,396,666","4,396,666","2,820,000",-,-,"2,820,000",,,
2009,금천구,"13,370,000","5,976,996",-,-,-,"5,762,113","1,511,642","3,362,088","888,383","214,883","176,338","130,000","46,338",-,-,"4,396,666","4,396,666","2,820,000",-,-,"2,820,000",,,
2010,금천구,"13,370,000","5,976,996",-,-,-,"5,762,113","1,510,091","3,365,369","886,653","214,883","176,338","130,000","46,338",-,-,"4,396,666","4,396,666","2,820,000",-,-,"2,820,000",,,
2011,금천구,"13,370,000","5,976,996",-,-,-,"5,762,757","1,524,430","3,351,674","886,653","214,239","176,338","130,000","46,338",-,-,"4,396,666","4,396,666","2,820,000",-,-,"2,820,000",,,
2012,금천구,"13,370,000","5,976,996",-,-,-,"5,762,757","1,524,430","3,351,674","886,653","214,239","176,338","130,000","46,338",-,-,"4,396,666","4,396,666","2,820,000",-,-,"2,820,000",,,
2013,금천구,"13,370,000","6,097,205",-,-,-,"5,830,785","1,524,430","3,351,674","954,681","266,420","176,338","130,000","46,338",-,-,"4,276,457","4,276,457","2,820,000",-,-,"2,820,000",,,
2014,금천구,"13,370,000","6,097,205",-,-,-,"5,830,785","1,522,876","3,354,958","952,951","266,420","176,338","130,000","46,338",-,-,"4,276,457","4,276,457","2,820,000",-,-,"2,820,000",,,
2015,금천구,"13,012,685","5,845,488",,-,-,,"1,477,478","925,236","945,520","272,999","149,622","102,906","46,716",-,-,"4,121,945","4,121,945","2,895,630",-,-,"2,895,630",-,"5,572,489","2,224,255"
2016,금천구,"13,012,685","5,845,488",,-,-,,"1,462,147","817,214","991,206","273,643","149,622","102,906","46,716",-,-,"4,121,945","4,121,945","2,895,630",-,-,"2,895,630",-,"5,571,845","2,301,279"
2017,금천구,"13,012,685","5,845,488",,-,-,,"1,407,087","719,842","992,935","273,643","149,622","102,906","46,716",-,-,"4,121,945","4,121,945","2,895,630",-,-,"2,895,630",-,"5,571,845","2,451,981"
2018,금천구,"13,012,685","5,845,488",,-,-,,"1,407,087","719,842","992,935","273,643","149,622","102,906","46,716",-,-,"4,121,945","4,121,945","2,895,630",-,-,"2,895,630",-,"5,571,845","2,451,981"
2019,금천구,"13,012,685","5,845,488",,-,-,,"1,407,087","719,842","992,935","273,643","149,622","102,906","46,716",-,-,"4,121,945","4,121,945","2,895,630",-,-,"2,895,630",-,"5,571,845","2,451,981"
