Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,마포구,"23,870,000","11,490,000",-,-,-,"11,040,000","938,880","7,338,163","2,762,957","450,000","570,000","420,000","100,000","50,000",-,-,-,"11,810,000",-,-,"11,810,000",,,
2004,마포구,"23,870,000","11,511,823",-,-,-,"11,018,833","868,826","7,417,147","2,732,859","492,990","570,000","420,000","100,000","50,000",-,-,-,"11,788,177",-,-,"11,788,177",,,
2005,마포구,"23,870,000","11,682,345",-,-,-,"11,189,355","938,880","7,330,860","2,919,614","492,990","570,000","420,000","100,000","50,000",-,-,-,"11,617,655",-,-,"11,617,655",,,
2006,마포구,"23,870,000","12,110,432",-,-,-,"11,494,588","916,245","7,501,223","3,077,120","615,844","552,500","420,000","78,500","54,000",-,-,-,"11,207,068",-,-,"11,207,068",,,
2007,마포구,"23,870,000","12,089,782",-,-,-,"11,452,291","916,586","7,465,436","3,070,269","637,491","562,476","392,696","78,500","54,000","37,280",-,-,"11,217,742",-,-,"11,217,742",,,
2008,마포구,"23,870,000","12,086,905",-,-,-,"11,439,867","916,586","7,465,341","3,057,940","647,038","565,354","395,574","78,500","54,000","37,280",-,-,"11,217,741",-,-,"11,217,741",,,
2009,마포구,"23,870,000","12,086,904",-,-,-,"11,439,866","918,504","7,428,560","3,092,802","647,038","565,354","395,574","78,500","54,000","37,280",-,-,"11,217,742",-,-,"11,217,742",,,
2010,마포구,"23,870,000","12,123,683",-,-,-,"11,455,206","918,504","7,368,163","3,168,539","668,477","565,620","395,858","78,500","54,000","37,262",-,-,"11,180,697",-,-,"11,180,697",,,
2011,마포구,"23,870,000","12,123,683",-,-,-,"11,454,112","918,504","7,369,616","3,165,992","669,570","565,620","395,858","78,500","54,000","37,262",-,-,"11,180,698",-,-,"11,180,698",,,
2012,마포구,"23,870,000","12,123,683",-,-,-,"11,454,112","918,504","7,369,616","3,165,992","669,570","565,620","395,858","78,500","54,000","37,262",-,-,"11,180,698",-,-,"11,180,698",,,
2013,마포구,"23,869,998","12,124,514",-,-,-,"11,445,817","917,182","7,362,643","3,165,993","678,698","565,619","395,857","78,500","54,000","37,262",-,-,"11,179,865",-,-,"11,179,865",,,
2014,마포구,"23,870,000","12,125,356",-,-,-,"11,433,696","916,281","7,352,341","3,165,074","691,660","564,778","395,858","77,658","54,000","37,262",-,-,"11,179,866",-,-,"11,179,866",,,
2015,마포구,"23,890,251","13,399,356",,-,-,,"1,003,364","3,017,823","3,765,339","783,672","932,448","753,951","84,673","56,562","37,262",-,-,"9,558,447",-,-,"9,558,447",-,"12,615,684","4,829,158"
2016,마포구,"23,890,251","13,399,356",,-,-,,"1,003,364","3,017,823","3,738,189","810,822","932,448","753,951","84,673","56,562","37,262",-,-,"9,558,447",-,-,"9,558,447",-,"12,588,534","4,829,158"
2017,마포구,"23,890,251","13,391,616",,-,-,,"1,003,364","3,017,823","3,733,917","810,565","940,188","757,236","89,128","56,562","37,262",-,-,"9,558,447",-,-,"9,558,447",-,"12,581,051","4,825,947"
2018,마포구,"23,890,251","13,391,126",,-,-,,"1,003,364","3,034,620","3,733,917","810,075","940,188","757,236","89,128","56,562","37,262",-,-,"9,558,937",-,-,"9,558,937",-,"12,581,051","4,809,150"
2019,마포구,"23,890,251","13,391,126",,-,-,,"1,003,364","3,034,620","3,733,917","810,075","940,188","757,236","89,128","56,562","37,262",-,-,"9,558,937",-,-,"9,558,937",-,"12,581,051","4,809,150"
