Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,성동구,"16,840,000","8,926,661",-,-,-,"8,482,686","1,988,234","4,766,792","1,727,660","443,975","117,091","107,091",-,"10,000",-,"3,220,000","3,220,000","4,576,248",-,"56,248","4,520,000",,,
2004,성동구,"16,844,654","8,911,715",-,-,-,"8,467,740","1,980,733","4,468,847","2,018,160","443,975","218,841","208,841",-,"10,000",-,"3,220,000","3,220,000","4,494,098",-,-,"4,494,098",,,
2005,성동구,"16,637,035","8,622,283",-,-,-,"8,155,222","1,928,571","4,494,814","1,731,837","467,061","218,841","208,841",-,"10,000",-,"3,220,000","3,220,000","4,575,911",-,"56,248","4,519,663",,,
2006,성동구,"16,840,000","8,842,498",-,-,-,"8,366,067","1,777,625","4,438,603","2,149,839","476,431","283,741","208,841",-,"74,900",-,"3,220,000","3,220,000","4,493,761",-,"56,248","4,437,513",,,
2007,성동구,"16,840,000","8,842,498",-,-,-,"8,366,067","1,609,019","4,482,168","2,274,880","476,431","283,741","208,841",-,"74,900",-,"3,220,000","3,220,000","4,493,761",-,"56,248","4,437,513",,,
2008,성동구,"16,840,000","8,841,365",-,-,-,"8,342,353","1,609,019","4,409,422","2,323,912","499,012","283,741","208,841",-,"74,900",-,"3,220,000","3,220,000","4,494,894",-,"56,248","4,438,646",,,
2009,성동구,"16,840,000","8,841,365",-,-,-,"8,342,353","1,602,759","4,368,547","2,371,047","499,012","283,741","208,841",-,"74,900",-,"3,220,000","3,220,000","4,494,894",-,"56,248","4,438,646",,,
2010,성동구,"16,840,000","8,841,365",-,-,-,"8,342,353","1,602,759","4,332,224","2,407,370","499,012","283,741","208,841",-,"74,900",-,"3,220,000","3,220,000","4,494,894",-,"56,248","4,438,646",,,
2011,성동구,"16,840,000","8,843,170",-,-,-,"8,340,227","1,587,185","4,080,373","2,672,669","502,943","283,741","208,841",-,"74,900",-,"3,220,000","3,220,000","4,493,089",-,"56,248","4,436,841",,,
2012,성동구,"16,840,000","8,843,170",-,-,-,"8,340,227","1,587,185","4,080,373","2,672,669","502,943","283,741","208,841",-,"74,900",-,"3,220,000","3,220,000","4,493,089",-,"56,248","4,436,841",,,
2013,성동구,"16,840,000","8,843,170",-,-,-,"8,340,227","1,587,185","4,045,669","2,707,373","502,943","283,741","208,841",-,"74,900",-,"3,220,000","3,220,000","4,493,089",-,"56,248","4,436,841",,,
2014,성동구,"16,840,000","8,843,170",-,-,-,"8,340,227","1,572,871","4,059,983","2,707,373","502,943","283,741","208,841",-,"74,900",-,"3,220,000","3,220,000","4,493,089",-,"56,248","4,436,841",,,
2015,성동구,"16,804,426","9,947,641",,-,-,,"2,409,729","1,169,673","2,969,945","259,258","473,145","397,688","3,052","72,405",-,"2,051,234","2,051,234","4,332,406",-,-,"4,332,406",-,"9,688,383","3,139,036"
2016,성동구,"16,804,426","9,947,641",,-,-,,"2,409,729","1,169,673","2,968,861","260,342","473,145","397,688","3,052","72,405",-,"2,051,234","2,051,234","4,332,406",-,-,"4,332,406",-,"9,687,299","3,139,036"
2017,성동구,"16,804,426","9,947,641",,-,-,,"2,387,584","1,218,721","2,969,522","260,342","473,145","397,688","3,052","72,405",-,"2,051,234","2,051,234","4,332,406",-,-,"4,332,406",-,"9,687,299","3,111,472"
2018,성동구,"16,804,426","9,947,641",,-,-,,"2,387,584","1,217,059","2,967,059","264,372","473,145","397,688","3,052","72,405",-,"2,051,234","2,051,234","4,332,406",-,-,"4,332,406",-,"9,683,269","3,111,567"
2019,성동구,"16,804,426","9,947,641",,-,-,,"2,387,584","1,217,059","2,967,059","264,372","473,145","397,688","3,052","72,405",-,"2,051,234","2,051,234","4,332,406",-,-,"4,332,406",-,"9,683,269","3,111,567"
