Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,양천구,"17,410,000","11,863,929",-,-,-,"11,517,549","21,949","11,433,590","62,010","346,380","608,020","560,000","48,020",-,-,"250,000","250,000","4,688,051",-,-,"4,688,051",,,
2004,양천구,"17,410,000","11,863,929",-,-,-,"11,517,549","1,303,033","5,410,493","4,804,024","346,380","608,020","560,000","48,020",-,-,"250,000","250,000","4,688,051",-,-,"4,688,051",,,
2005,양천구,"17,410,000","11,863,929",-,-,-,"11,517,549","1,317,831","5,143,740","5,055,978","346,380","608,020","560,000","48,020",-,-,"250,000","250,000","4,688,051",-,-,"4,688,051",,,
2006,양천구,"17,410,000","12,174,733",-,-,-,"11,813,182","1,317,831","5,424,887","5,070,464","361,551","608,020","560,000","48,020",-,-,"250,000","250,000","4,377,247",-,-,"4,377,247",,,
2007,양천구,"17,410,000","12,174,733",-,-,-,"11,813,182","1,310,791","5,406,946","5,095,445","361,551","608,020","560,000","48,020",-,-,"250,000","250,000","4,377,247",-,-,"4,377,247",,,
2008,양천구,"17,410,000","12,318,976",-,-,-,"11,959,736","1,314,015","5,420,462","5,225,259","359,240","608,020","560,000","48,020",-,-,"73,561","73,561","4,409,443",-,-,"4,409,443",,,
2009,양천구,"17,410,000","12,318,976",-,-,-,"11,960,432","1,290,064","5,445,109","5,225,259","358,544","608,020","560,000","48,020",-,-,"73,561","73,561","4,409,443",-,-,"4,409,443",,,
2010,양천구,"17,410,000","12,303,891",-,-,-,"11,960,432","1,290,064","5,445,109","5,225,259","343,459","623,105","560,000","63,105",-,-,"73,561","73,561","4,409,443",-,-,"4,409,443",,,
2011,양천구,"17,410,000","12,303,891",-,-,-,"11,953,663","1,290,064","5,438,306","5,225,293","350,229","623,105","560,000","63,105",-,-,"73,561","73,561","4,409,443",-,-,"4,409,443",,,
2012,양천구,"17,410,000","12,357,333",-,-,-,"12,001,430","1,222,777","5,551,942","5,226,711","355,903","623,188","560,000","63,188",-,-,"73,561","73,561","4,355,918",-,-,"4,355,918",,,
2013,양천구,"17,410,001","12,703,616",-,-,-,"12,318,288","1,222,778","5,819,987","5,275,523","385,328","623,188","560,000","63,188",-,-,"73,561","73,561","4,009,636",-,-,"4,009,636",,,
2014,양천구,"17,410,000","12,731,777",-,-,-,"12,346,449","1,223,217","5,847,709","5,275,523","385,328","623,188","560,000","63,188",-,-,"73,561","73,561","3,981,474",-,-,"3,981,474",,,
2015,양천구,"17,469,613","12,536,636",,-,-,,"1,312,531","2,308,405","4,947,586","334,623","796,830","733,026","63,804",-,-,"92,872","92,872","4,043,275",-,-,"4,043,275",-,"12,202,013","3,633,491"
2016,양천구,"17,469,613","12,536,636",,-,-,,"1,312,531","2,308,405","4,947,586","334,623","796,830","733,026","63,804",-,-,"92,872","92,872","4,043,275",-,-,"4,043,275",-,"12,202,013","3,633,491"
2017,양천구,"17,469,613","12,536,636",,-,-,,"1,336,705","2,294,991","4,947,586","335,320","796,830","733,026","63,804",-,-,"92,872","92,872","4,043,275",-,-,"4,043,275",-,"12,201,316","3,622,034"
2018,양천구,"17,469,613","12,536,636",,-,-,,"1,336,705","2,294,991","4,947,586","335,320","796,830","733,026","63,804",-,-,"92,872","92,872","4,043,275",-,-,"4,043,275",-,"12,201,316","3,622,034"
2019,양천구,"17,469,613","12,536,636",,-,-,,"1,336,705","2,294,991","4,947,586","335,320","796,830","733,026","63,804",-,-,"92,872","92,872","4,043,275",-,-,"4,043,275",-,"12,201,316","3,622,034"
