Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,영등포구,"24,560,000","6,243,295",-,-,-,"5,813,605","373,064","4,064,046","1,376,496","429,690","2,439,820","2,389,820","50,000",-,-,"9,386,885","9,386,885","6,490,000",-,-,"6,490,000",,,
2004,영등포구,"24,560,000","6,243,295",-,-,-,"5,813,605","373,064","4,064,046","1,376,496","429,690","2,439,820","2,389,820","50,000",-,-,"9,386,885","9,386,885","6,490,000",-,-,"6,490,000",,,
2005,영등포구,"24,176,705","5,860,000",-,-,-,"5,740,403","1,511,840","3,363,892","864,672","119,597","2,439,820","2,389,820","50,000",-,-,"9,386,885","9,386,885","6,490,000",-,-,"6,490,000",,,
2006,영등포구,"24,560,000","6,244,745",-,-,-,"5,815,055","373,064","4,045,501","1,396,490","429,690","2,438,370","2,389,820","48,550",-,-,"9,386,885","9,386,885","6,490,000",-,-,"6,490,000",,,
2007,영등포구,"24,560,000","6,244,745",-,-,-,"5,815,055","372,789","3,981,505","1,460,761","429,690","2,438,370","2,389,820","48,550",-,-,"9,386,885","9,386,885","6,490,000",-,-,"6,490,000",,,
2008,영등포구,"24,560,000","6,249,421",-,-,-,"5,819,731","372,789","3,986,181","1,460,761","429,690","2,441,960","2,393,410","48,550",-,-,"9,099,955","9,099,955","6,768,664",-,-,"6,768,664",,,
2009,영등포구,"24,560,000","6,244,379",-,-,-,"5,819,731","372,789","3,986,181","1,460,761","424,648","2,447,002","2,398,452","48,550",-,-,"9,099,955","9,099,955","6,768,664",-,-,"6,768,664",,,
2010,영등포구,"24,560,000","6,244,379",-,-,-,"5,819,731","372,789","3,986,181","1,460,761","424,648","2,447,002","2,398,452","48,550",-,-,"9,099,955","9,099,955","6,768,664",-,-,"6,768,664",,,
2011,영등포구,"24,560,000","6,243,685",-,-,-,"5,819,731","372,789","3,993,249","1,453,693","423,954","2,447,696","2,399,146","48,550",-,-,"9,099,955","9,099,955","6,768,664",-,-,"6,768,664",,,
2012,영등포구,"24,560,000","6,243,685",-,-,-,"5,819,731","372,789","3,993,249","1,453,693","423,954","2,447,696","2,399,146","48,550",-,-,"9,099,955","9,099,955","6,768,664",-,-,"6,768,664",,,
2013,영등포구,"24,560,000","6,243,685",-,-,-,"5,819,731","372,789","3,998,619","1,448,323","423,954","2,447,696","2,399,146","48,550",-,-,"9,099,955","9,099,955","6,768,664",-,-,"6,768,664",,,
2014,영등포구,"24,560,000","6,243,685",-,-,-,"5,821,190","384,704","3,991,449","1,445,037","422,495","2,447,696","2,399,146","48,550",-,-,"9,099,955","9,099,955","6,768,664",-,-,"6,768,664",,,
2015,영등포구,"24,354,829","7,975,826",,-,-,,"526,257","1,864,198","1,710,329","886,708","2,645,273","2,597,140","48,133",-,-,"5,024,926","5,024,926","8,708,804",-,-,"8,708,804",-,"7,089,118","2,988,334"
2016,영등포구,"24,354,829","8,013,839",,-,-,,"526,257","1,864,023","1,710,329","924,721","2,607,260","2,559,127","48,133",-,-,"5,024,926","5,024,926","8,708,804",-,-,"8,708,804",-,"7,089,118","2,988,509"
2017,영등포구,"24,354,829","8,013,839",,-,-,,"526,257","1,774,313","1,708,455","924,721","2,607,260","2,559,127","48,133",-,-,"5,024,926","5,024,926","8,708,804",-,-,"8,708,804",-,"7,089,118","3,080,093"
2018,영등포구,"24,354,829","8,013,840",,-,-,,"526,257","1,717,513","1,708,455","945,773","2,607,260","2,559,127","48,133",-,-,"5,024,926","5,024,926","8,708,804",-,-,"8,708,804",-,"7,068,067","3,115,842"
2019,영등포구,"24,354,829","8,013,839",,-,-,,"526,257","1,717,513","1,707,774","946,453","2,607,260","2,559,127","48,133",-,-,"5,024,926","5,024,926","8,708,804",-,-,"8,708,804",-,"7,067,386","3,115,842"
