"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1995,합계,"605,777,719.2","18,641,644.0","22,812,268.8","180,964.0","1,350.0","159,631,659.4","210,568,302.8","4,171,785.6","20,318,930.9","68,470,499.2","6,113,640.5","53,080,216.1","3,973,694.4","5,072,662.7","1,187,260.2","1,314,026.2","6,886,052.3","714,564.3","283,247.8","1,097,434.4","1,297,327.6","2,022,668.8","17,937,519.2",-,-,-,-,-
1995,종로구,"23,915,630.2","981,935.6",-,-,-,"9,497,759.2","8,337,828.8",-,"857,073.5","2,174,890.3",496.9,"278,657.2","10,946.9","182,178.2",-,74,"206,366.3",-,-,"78,253.0","1,180,227.3","18,797.0","110,146.0",-,-,-,-,-
1995,중구,"9,971,610.1",-,-,-,-,"1,451,739.0","5,418,524.6",-,"366,430.4","1,947,709.4","127,092.3","47,152.1",-,"48,231.9",-,"32,510.4","288,671.7","97,351.6",-,"114,879.5","8,057.7",-,"23,259.5",-,-,-,-,-
1995,용산구,"21,868,604.1","87,410.1",-,-,-,"1,900,517.7","9,908,854.6",-,"504,563.7","2,189,522.5","1,322,513.0","4,781,354.4","155,829.1","107,327.1","45,563.5",-,"13,264.3",-,-,"41,814.9","1,958.6","44,404.0","763,706.6",-,-,-,-,-
1995,성동구,"16,842,613.2","388,548.3","180,814.0",-,-,"587,182.8","6,490,505.5","551,870.8","804,296.8","2,113,541.4","286,154.2","3,809,609.3","358,019.8","109,954.5","103,486.2","287,172.0","51,188.4",-,"272,353.0","33,263.5",175,"67,455.0","347,022.7",-,-,-,-,-
1995,광진구,"17,047,854.9","100,015.0","56,270.0",-,-,"2,978,718.1","7,040,744.1","40,219.0","1,000,040.5","2,272,348.7","4,989.7","2,461,335.2","171,833.5","70,862.7","30,552.3","171,365.5","581,492.8",-,-,"7,401.3",-,"15,932.0","43,734.5",-,-,-,-,-
1995,동대문구,"14,200,122.0","131,276.9","57,107.0",-,-,"1,322,183.0","7,937,658.5",-,"945,804.3","2,417,371.6","434,076.4","483,200.0","155,369.7","132,852.5","4,569.0","1,920.0","81,968.2",-,-,"65,306.5",-,"12,708.0","16,750.4",-,-,-,-,-
1995,중랑구,"18,523,728.4","1,138,589.0","829,453.0","146,123.0",-,"5,119,713.1","6,206,993.3",-,"451,458.6","2,265,041.8","218,085.6","891,945.7","180,093.7","246,923.2","74,081.3",-,"35,938.1",-,-,"23,410.0",-,"620,935.0","74,944.0",-,-,-,-,-
1995,성북구,"24,548,932.0","137,954.0","110,354.0",-,-,"8,965,770.9","10,269,113.2",-,"1,478,643.9","2,451,265.4","159,859.0","534,998.5","33,616.0","182,262.0","1,619.0",486,"26,490.0",-,-,"80,850.7","2,409.0","54,221.0","59,019.4",-,-,-,-,-
1995,강북구,"23,606,196.6","163,810.0","59,213.0",-,-,"13,625,061.0","6,775,335.0","4,320.9","370,438.2","1,751,485.0",-,"376,604.0",-,"122,668.8","2,598.0","22,819.0","57,747.5",-,"9,554.0","66,636.1",-,"86,802.0","111,104.1",-,-,-,-,-
1995,도봉구,"20,862,851.0","411,590.0","429,749.9","23,860.0",-,"10,150,398.2","6,007,229.0","284,918.3","535,067.8","1,828,894.2","198,430.8","585,201.9","18,349.7","208,067.9",417,572.1,"93,356.8",-,-,"11,070.4",-,"3,490.0","72,187.0",-,-,-,-,-
1995,노원구,"35,490,340.9","1,366,062.0","1,111,299.0",-,-,"17,995,763.1","7,597,515.7","3,087.7","1,950,314.9","1,980,761.3","633,071.5","1,204,554.9","137,911.8","195,886.8","45,210.0",800,"387,654.4",-,-,"17,350.7",-,"10,693.0","852,404.1",-,-,-,-,-
1995,은평구,"29,705,706.4","866,493.1","735,022.5","2,899.0",-,"13,896,736.0","9,277,478.7",-,"482,850.8","2,516,500.0","172,538.0","521,669.8","1,307.0","333,360.6","3,115.5","28,164.0","36,660.2","5,104.0",-,"73,945.1","1,081.0","269,671.0","481,110.1",-,-,-,-,-
1995,서대문구,"17,596,892.6","165,114.7","9,751.0",-,-,"4,781,747.0","7,542,189.8",-,"2,072,606.8","1,867,337.5","228,863.3","418,743.8","7,267.0","105,755.9",-,484,"140,260.9",-,-,"23,924.0",119,"132,380.0","100,347.9",-,-,-,-,-
1995,마포구,"23,874,037.6","1,027,878.3","595,322.0",-,-,"1,013,239.5","8,229,736.6",-,"570,313.6","2,684,185.7","587,019.3","5,802,424.2","132,954.4","208,467.6","88,223.3","13,476.0","40,978.4",-,-,"34,801.0","1,365.0","18,818.8","2,824,833.9",-,-,-,-,-
1995,양천구,"17,403,978.8","267,473.9","589,825.0",-,-,"2,728,869.0","8,192,722.7","45,626.0","682,399.1","2,810,619.2","12,048.9","335,217.0","213,940.9","432,746.9","143,779.3","130,458.0","351,465.3","151,533.3",-,"44,405.3",-,"1,722.0","269,127.0",-,-,-,-,-
1995,강서구,"41,406,270.8","1,941,186.2","8,445,671.1",-,-,"4,280,504.6","8,578,210.3","219,483.0","447,319.7","3,101,077.8",-,"4,361,681.0","710,635.7","1,008,548.6","52,522.1","10,502.9","88,077.8","27,118.1",-,"10,112.8","3,719.0","30,112.0","8,089,788.1",-,-,-,-,-
