"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,관악구,"29,632,636.0","182,295.0","108,750.0",-,-,"17,792,416.0","7,316,985.0",-,"767,343.0","2,440,178.0",-,"675,788.0",-,"102,959.0",-,-,"109,939.0","9,498.0",-,"25,564.0",-,"1,495.0","99,426.0",-,-,-,-,-
1991,관악구,"29,646,625.0","179,453.0","108,743.0",-,-,"17,776,955.0","7,319,322.0",-,"769,518.0","2,450,003.0",-,"689,690.0",-,"102,648.0",-,-,"113,241.0","9,498.0",-,"27,069.0",-,"1,495.0","98,990.0",-,-,-,-,-
1992,관악구,"29,646,722.1","178,814.5","108,269.0",-,-,"17,770,146.9","7,321,916.9",-,"769,517.5","2,451,523.6",-,"689,123.4",-,"102,647.9",-,-,"113,850.2","9,498.4",-,"31,254.5",-,"1,495.0","98,664.3",-,-,-,-,-
1993,관악구,"29,648,915.3","176,089.5","108,041.0",-,-,"17,642,940.9","7,363,332.4",-,"844,292.3","2,463,056.9",-,"689,123.4",-,"103,228.9",-,-,"113,850.2","9,498.4",-,"36,311.9",-,262,"98,887.5",-,-,-,-,-
1994,관악구,"29,567,724.5","205,841.0","106,346.0",-,-,"17,515,877.3","7,546,998.2",-,"860,593.3","2,329,302.9",-,"559,412.6","15,639.7","115,936.9",-,-,"134,425.8","9,498.4",982.8,"38,634.9",-,"2,513.0","125,721.7",-,-,-,-,-
1995,관악구,"29,570,411.4","205,788.0","104,858.0",-,-,"17,509,082.8","7,551,883.3",-,"860,593.3","2,333,904.2",-,"559,369.6","15,639.7","117,776.9",-,-,"134,425.8","9,498.4",982.8,"38,634.9",-,"2,513.0","125,460.7",-,-,-,-,-
1996,관악구,"29,568,960.4","196,193.0","104,552.0",-,-,"17,480,831.8","7,569,398.0",-,"860,013.3","2,349,919.1",-,"558,232.6","15,639.7","116,554.9",-,291.8,"146,902.4","9,498.4",-,"39,640.3",-,"2,513.0","118,780.1",-,-,-,-,-
1997,관악구,"29,558,747.8","182,619.0","85,594.0",-,-,"17,436,323.9","7,617,697.2",-,"860,587.3","2,374,918.5",-,"550,033.6","15,639.7","116,054.9",-,291.8,"149,004.4","9,498.4",-,"40,783.3",-,"2,377.0","117,324.8",-,-,-,-,-
1998,관악구,"29,557,544.8","175,147.0","73,160.0",-,-,"17,350,291.9","7,608,710.0",-,"886,068.3","2,405,839.9",-,"548,256.6","15,639.7","115,855.9",-,291.8,"206,374.3","9,498.4",-,"42,332.3",-,"1,547.0","118,531.7",-,-,-,-,-
1999,관악구,"29,558,422.2","173,821.0","72,711.0",-,-,"17,347,481.6","7,612,055.6",-,"886,068.3","2,408,295.0",-,"548,032.6","15,639.7","114,783.9",-,291.8,"207,688.3","9,498.4",-,"42,444.3",-,"1,547.0","118,063.7",-,-,-,-,-
