"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,동작구,"16,375,946.0","86,053.0","68,597.0",-,-,"3,520,636.0","7,766,341.0",-,"771,079.0","2,065,295.0","125,745.0","707,176.0","11,804.0","113,231.0","3,549.0","174,200.0","411,528.0",-,188,"46,569.0",109,"416,643.0","87,203.0",-,-,-,-,-
1991,동작구,"16,376,749.0","84,135.0","67,801.0",-,-,"3,532,531.0","7,774,210.0",-,"771,079.0","2,090,819.0","125,745.0","706,587.0","11,804.0","112,257.0","3,549.0","174,200.0","414,594.0",-,188,"51,053.0",109,"369,189.0","86,899.0",-,-,-,-,-
1992,동작구,"16,374,949.4","83,787.0","66,156.0",-,-,"3,520,875.9","7,778,416.0",-,"770,473.4","2,092,280.1","125,745.0","706,586.9","11,803.6","111,198.0","3,549.0","173,586.0","424,421.5",-,188,"55,513.3",109,"369,189.0","81,071.7",-,-,-,-,-
1993,동작구,"16,374,017.6","81,849.0","63,180.0",-,-,"3,514,745.9","7,757,601.3",-,"777,434.1","2,115,402.3","125,745.0","706,480.9","11,803.6","110,124.0","3,549.0","169,564.0","442,889.3",-,188,"57,426.9",109,"356,441.0","79,484.3",-,-,-,-,-
1994,동작구,"16,346,970.5","64,312.0","55,748.0",-,-,"3,216,583.4","8,076,596.2",-,"779,947.8","2,105,502.5","132,530.0","659,814.2","11,803.6","111,281.8","3,549.0","169,293.0","466,079.6",-,188,"57,594.2",-,"356,442.0","79,705.2",-,-,-,-,-
1995,동작구,"16,347,557.9","61,133.0","54,235.0",-,-,"3,113,471.4","8,060,247.0",-,"779,947.8","2,072,296.1","133,640.0","655,644.2","11,803.6","107,501.8",713,"169,230.0","477,142.6",-,188,"57,594.2",-,"513,989.0","78,781.2",-,-,-,-,-
1996,동작구,"16,350,181.9","60,974.0","53,112.0",-,-,"3,044,650.4","7,996,697.0",-,"904,328.6","2,083,152.3","139,021.0","655,256.2","11,803.6","107,318.8",713,"164,812.0","477,142.6",-,188,"58,329.2",-,"513,989.0","78,694.2",-,-,-,-,-
1997,동작구,"16,352,145.6","57,563.0","51,972.0",-,-,"3,035,016.4","7,967,494.4",-,"913,199.3","2,118,924.4","139,021.0","654,943.2","11,657.9","106,293.8",713,"164,551.2","477,142.6",-,188,"61,229.2",-,"513,989.0","78,247.2",-,-,-,-,-
1998,동작구,"16,353,538.1","56,906.0","51,192.0",-,-,"3,021,034.4","7,965,029.1",-,"913,165.3","2,137,901.8","138,960.0","654,315.2","11,657.9","105,132.8",713,"164,622.9","477,142.6",-,188,"64,133.2",-,"513,989.0","77,454.9",-,-,-,-,-
1999,동작구,"16,353,593.1","53,878.0","48,535.0",-,-,"3,005,786.4","7,974,643.3",-,"913,165.3","2,145,178.1","138,960.0","654,315.2","11,657.9","105,024.8",713,"164,406.9","477,654.8","1,714.0",188,"66,328.5",-,"513,989.0","77,454.9",-,-,-,-,-
