"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,송파구,"33,795,898.0","1,625,412.0","2,087,969.0",-,-,"2,308,814.0","12,774,705.0",-,"933,539.0","5,085,903.0","77,190.0","5,284,405.0","534,304.0","143,127.0","284,556.0","14,465.0","1,514,713.0","402,816.0",-,"1,653.0","20,166.0","26,512.0","675,649.0",-,-,-,-,-
1991,송파구,"33,780,012.0","1,616,998.0","2,084,001.0",-,-,"2,296,904.0","12,779,915.0",-,"933,539.0","5,089,386.0","77,190.0","5,284,285.0","534,304.0","141,574.0","284,054.0","14,465.0","1,517,744.0","402,816.0",-,"1,653.0","20,166.0","26,512.0","674,506.0",-,-,-,-,-
1992,송파구,"33,776,657.5","1,596,479.3","1,944,719.0",-,-,"2,180,974.0","12,809,616.6",-,"948,658.4","5,326,064.8","77,190.4","5,282,600.3","534,303.8","138,520.0","284,054.1","14,465.0","1,517,744.3","402,815.9",-,"1,653.0","20,166.0","26,380.0","670,252.6",-,-,-,-,-
1993,송파구,"33,735,151.5","1,584,840.3","1,940,531.0",-,-,"2,134,751.0","12,811,295.9",-,"956,318.4","5,328,298.0","77,707.0","5,282,016.3","534,303.8","138,626.0","284,054.1","14,465.0","1,517,227.7","409,853.9",-,"5,688.5","20,083.0","26,380.0","668,711.6",-,-,-,-,-
1994,송파구,"33,888,105.0","1,231,080.0","1,945,267.0",-,-,"2,027,400.0","13,375,504.7",-,"1,180,182.3","5,255,109.2","90,401.9","5,365,864.4","413,777.7","97,272.0","273,228.0","14,293.0","1,571,745.0","409,853.9",-,"9,623.6","20,083.0","19,805.0","587,614.3",-,-,-,-,-
1995,송파구,"33,887,420.0","1,217,566.0","1,943,100.0",-,-,"2,027,583.0","13,365,761.3",-,"1,180,143.5","5,283,204.4","90,401.9","5,363,652.4","413,777.7","97,207.0","273,228.0","14,293.0","1,571,745.0","409,853.9",-,"9,623.6","20,083.0","19,805.0","586,391.3",-,-,-,-,-
1996,송파구,"33,887,346.0","1,216,703.0","1,929,803.0",-,-,"2,026,774.0","13,368,712.3",-,"1,180,143.5","5,288,459.6","90,401.9","5,363,409.4","413,777.7","97,207.0","273,228.0","14,293.0","1,571,809.8","409,853.9",-,"9,623.6","20,083.0","19,805.0","593,258.3",-,-,-,-,-
1997,송파구,"33,890,961.3","1,193,768.0","1,910,843.0",-,-,"2,023,695.0","13,367,918.6",-,"1,186,640.3","5,304,086.9","90,719.9","5,392,561.4","421,813.7","95,920.0","273,153.0","14,293.0","1,571,809.8","409,853.9",-,"9,623.6","20,083.0","19,805.0","584,373.2",-,-,-,-,-
1998,송파구,"33,886,636.9","1,152,948.0","1,843,225.0",-,-,"2,009,672.0","13,484,814.8",-,"1,209,662.1","5,335,374.9","90,224.3","5,392,825.0","421,813.7","89,602.8","271,584.0","14,293.0","1,585,651.9","414,280.4",-,"10,333.1","20,083.0","19,805.0","520,443.9",-,-,-,-,-
1999,송파구,"33,886,691.7","1,150,286.0","1,833,724.0",-,-,"2,009,154.0","13,494,643.7",-,"1,209,662.1","5,335,354.8","90,224.3","5,395,314.0","421,813.7","89,489.8","271,584.0","14,293.0","1,585,651.9","414,280.4",-,"10,817.1","20,083.0","19,805.0","520,510.9",-,-,-,-,-
