"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,은평구,"29,693,967.0","926,157.0","751,750.0","2,899.0",-,"14,020,949.0","9,285,767.0",-,"379,187.0","2,436,957.0","193,012.0","538,287.0","1,347.0","370,525.0",324,816,"32,054.0","5,104.0",-,"15,976.0","13,642.0","283,107.0","436,107.0",-,-,-,-,-
1991,은평구,"29,673,739.0","920,312.0","751,373.0","2,899.0",-,"14,013,588.0","9,284,935.0",-,"381,987.0","2,447,964.0","176,810.0","538,046.0","1,347.0","369,106.0",324,816,"32,054.0","5,104.0",-,"15,976.0","13,642.0","282,654.0","434,802.0",-,-,-,-,-
1992,은평구,"29,674,357.6","911,778.0","749,545.0","2,899.0",-,"13,992,514.6","9,308,961.8",-,"381,987.3","2,454,085.9","176,711.0","537,718.9","1,347.0","369,350.9",324,816,"32,054.4","5,104.0",-,"18,062.2","13,642.0","282,654.0","434,801.6",-,-,-,-,-
1993,은평구,"29,679,865.7","899,164.0","747,989.0","2,899.0",-,"13,918,239.6","9,296,243.6",-,"399,355.2","2,480,557.5","176,722.0","563,833.4","1,306.0","354,710.3",324,"27,907.0","37,212.2","5,104.0",-,"39,468.3","13,642.0","282,581.0","432,607.6",-,-,-,-,-
1994,은평구,"29,654,974.9","860,964.1","740,102.5","2,899.0",-,"13,896,721.0","9,269,721.1",-,"482,850.8","2,500,538.4","171,409.0","512,292.8","1,307.0","334,843.6","3,115.5","28,164.0","36,660.2","5,104.0",-,"68,955.2","1,081.0","279,810.0","458,435.7",-,-,-,-,-
1995,은평구,"29,705,706.4","866,493.1","735,022.5","2,899.0",-,"13,896,736.0","9,277,478.7",-,"482,850.8","2,516,500.0","172,538.0","521,669.8","1,307.0","333,360.6","3,115.5","28,164.0","36,660.2","5,104.0",-,"73,945.1","1,081.0","269,671.0","481,110.1",-,-,-,-,-
1996,은평구,"29,705,305.8","871,510.1","726,031.5","2,899.0",-,"13,889,077.9","9,250,492.7",-,"482,850.8","2,521,412.5","171,864.0","521,669.8","1,307.0","333,253.6","3,115.5","28,164.0","36,660.2","5,104.0",-,"73,945.1","1,081.0","269,671.0","515,196.1",-,-,-,-,-
1997,은평구,"29,705,740.5","849,833.1","716,549.5","2,899.0",-,"13,870,564.9","9,260,408.1",-,"485,391.8","2,568,225.8","171,835.0","521,669.8","1,307.0","332,884.6","3,115.5","28,164.0","36,660.2","5,104.0",-,"78,887.1","1,081.0","269,023.0","502,137.1",-,-,-,-,-
1998,은평구,"29,717,224.9","846,457.1","715,142.5","2,899.0",-,"13,861,932.9","9,271,005.8",-,"485,376.8","2,565,979.1","171,706.0","528,414.5","1,307.0","336,208.6","3,115.5","34,685.1","36,660.2","5,104.0",-,"80,823.7","1,081.0","267,893.0","501,433.1",-,-,-,-,-
1999,은평구,"29,718,786.1","848,163.1","700,609.5","2,899.0",-,"13,846,908.9","9,273,401.8",-,"486,471.5","2,592,838.0","171,706.0","528,357.5","1,307.0","335,824.6","3,115.5","35,959.1","36,660.2","5,104.0",-,"81,362.3","1,081.0","267,404.0","499,613.1",-,-,-,-,-
