Year,sigName,합계,합계,특 1등급,특 1등급,특 2등급,특 2등급,1등급,1등급,2등급,2등급,3등급,3등급,등급미정,등급미정,가족호텔,가족호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,수입실적,수입실적,수입실적,호스텔,호스텔,5성급,5성급,4성급,4성급,3성급,3성급,2성급,2성급,1성급,1성급,소형호텔,소형호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률
Year,sigName,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,특 1등급,특 2등급,1등급,2등급,3등급,등급미정,가족호텔,합계,객실,부대시설,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),호스텔,소형호텔
2010,합계,139,"24,076",18,"9,320",26,"6,105",34,"3,832",22,"1,356",13,666,19,"1,461",7,"1,336",80.5,75.8,83.9,62,61.6,86.7,91.8,"1,898,424","933,647","964,777",,,,,,,,,,,,,,,,,,,,,
2010,종로구,8,635,-,-,-,-,1,80,4,262,2,80,-,-,1,213,-,-,86.9,70.7,33.2,-,92.8,"18,360","17,974",386,,,,,,,,,,,,,,,,,,,,,
2010,중구,29,"7,547",6,"3,470",8,"2,213",9,"1,136",-,-,3,158,-,-,3,570,80.2,88.1,93,-,85.1,-,91.2,"654,130","369,466","284,664",,,,,,,,,,,,,,,,,,,,,
2010,용산구,6,"1,450",1,607,1,286,3,506,1,51,-,-,-,-,-,-,82,74.5,72.6,73.1,-,-,-,"146,078","63,810","82,267",,,,,,,,,,,,,,,,,,,,,
2010,성동구,2,120,-,-,-,-,-,-,1,64,1,56,-,-,-,-,-,-,-,72.9,73.3,-,-,"2,052","1,904",148,,,,,,,,,,,,,,,,,,,,,
2010,광진구,3,"1,160",1,930,-,-,2,230,-,-,-,-,-,-,-,-,72,-,77.2,-,-,-,-,"192,408","64,236","128,172",,,,,,,,,,,,,,,,,,,,,
2010,동대문구,3,220,-,-,-,-,1,90,2,130,-,-,-,-,-,-,-,-,93,58.8,-,-,-,"3,099","2,519",580,,,,,,,,,,,,,,,,,,,,,
2010,중랑구,1,49,-,-,-,-,-,-,-,-,1,49,-,-,-,-,-,-,-,-,102.4,-,-,"1,100","1,100",-,,,,,,,,,,,,,,,,,,,,,
2010,성북구,2,178,-,-,1,128,-,-,1,50,-,-,-,-,-,-,-,84.4,-,63.5,-,-,-,"7,658","4,152","3,506",,,,,,,,,,,,,,,,,,,,,
2010,강북구,2,140,-,-,-,-,2,140,-,-,-,-,-,-,-,-,-,-,87.4,-,-,-,-,"7,061","2,577","4,484",,,,,,,,,,,,,,,,,,,,,
2010,도봉구,1,51,-,-,-,-,-,-,-,-,1,51,-,-,-,-,-,-,-,-,32.9,-,-,337,294,43,,,,,,,,,,,,,,,,,,,,,
2010,노원구,1,85,-,-,-,-,1,85,-,-,-,-,-,-,-,-,-,-,78.3,-,-,-,-,"1,735","1,541",194,,,,,,,,,,,,,,,,,,,,,
2010,은평구,2,116,-,-,-,-,-,-,2,116,-,-,-,-,-,-,-,-,-,67.6,58.4,-,-,"1,624","1,118",507,,,,,,,,,,,,,,,,,,,,,
2010,서대문구,1,503,1,503,-,-,-,-,-,-,-,-,-,-,-,-,66.4,-,-,-,-,-,-,"47,736","17,271","30,465",,,,,,,,,,,,,,,,,,,,,
2010,마포구,5,865,-,-,2,646,1,135,-,-,-,-,2,84,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
2010,강서구,14,882,1,182,1,98,3,172,2,80,-,-,7,350,-,-,71.4,85.7,78.2,38.4,-,73.3,-,"28,387","15,520","12,866",,,,,,,,,,,,,,,,,,,,,
2010,구로구,1,201,-,-,1,201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
2010,금천구,3,342,-,-,1,219,-,-,-,-,-,-,2,123,-,-,-,85.4,-,-,-,72.2,-,"18,554","10,868","7,686",,,,,,,,,,,,,,,,,,,,,
2010,영등포구,6,869,-,-,1,235,1,107,2,141,-,-,1,283,1,103,-,15,84.9,72.9,-,83.3,-,"32,785","25,051","7,733",,,,,,,,,,,,,,,,,,,,,
2010,서초구,8,"1,530",1,497,3,629,1,94,2,140,-,-,-,-,1,170,87.2,78.5,70.6,63.1,-,-,-,"142,473","49,414","93,059",,,,,,,,,,,,,,,,,,,,,
2010,강남구,32,"6,070",6,"2,649",7,"1,450",7,832,3,203,4,222,4,434,1,280,83.7,80.5,86.1,36.6,34,76.1,91.9,"522,198","252,092","270,106",,,,,,,,,,,,,,,,,,,,,
2010,송파구,5,826,1,482,-,-,2,225,2,119,-,-,-,-,-,-,87.9,-,66.1,69.2,-,-,-,"67,565","30,057","37,508",,,,,,,,,,,,,,,,,,,,,
2010,강동구,4,237,-,-,-,-,-,-,-,-,1,50,3,187,-,-,-,-,-,-,64.2,161.7,-,"3,084","2,682",402,,,,,,,,,,,,,,,,,,,,,
