Year,sigName,합계,합계,특 1등급,특 1등급,특 2등급,특 2등급,1등급,1등급,2등급,2등급,3등급,3등급,등급미정,등급미정,가족호텔,가족호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,수입실적,수입실적,수입실적,호스텔,호스텔,5성급,5성급,4성급,4성급,3성급,3성급,2성급,2성급,1성급,1성급,소형호텔,소형호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률
Year,sigName,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,특 1등급,특 2등급,1등급,2등급,3등급,등급미정,가족호텔,합계,객실,부대시설,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),호스텔,소형호텔
2008,합계,131,"22,699",18,"9,399",23,"5,532",33,"3,456",21,"1,245",13,666,17,"1,206",6,"1,195",69.3,79.9,75.6,50.4,40.8,77.4,89.7,"1,695,834","721,937","973,896",,,,,,,,,,,,,,,,,,,,,
2008,종로구,8,635,-,-,-,-,1,80,4,262,2,80,-,-,1,213,-,-,74.9,48,32,-,89.4,"16,109","15,476",633,,,,,,,,,,,,,,,,,,,,,
2008,중구,27,"7,306",6,"3,549",8,"2,213",8,928,-,-,3,158,-,-,2,458,71.6,82,84.2,-,67.8,-,87.2,"564,854","276,637","288,217",,,,,,,,,,,,,,,,,,,,,
2008,용산구,6,"1,409",1,607,1,286,3,465,1,51,-,-,-,-,-,-,72,32.4,72.4,70.6,-,-,-,"127,370","48,680","78,690",,,,,,,,,,,,,,,,,,,,,
2008,성동구,3,176,-,-,-,-,-,-,2,120,1,56,-,-,-,-,-,-,-,-,-,-,-,…,…,…,,,,,,,,,,,,,,,,,,,,,
2008,광진구,3,"1,147",1,930,-,-,2,217,-,-,-,-,-,-,-,-,55.4,-,70,-,-,-,-,"152,512","43,740","108,771",,,,,,,,,,,,,,,,,,,,,
2008,동대문구,3,220,-,-,-,-,1,90,2,130,-,-,-,-,-,-,-,-,59.1,63.3,-,-,-,"2,447","2,225",222,,,,,,,,,,,,,,,,,,,,,
2008,중랑구,1,49,-,-,-,-,-,-,-,-,1,49,-,-,-,-,-,-,-,-,5.3,-,-,57,57,-,,,,,,,,,,,,,,,,,,,,,
2008,성북구,2,178,-,-,1,128,-,-,1,50,-,-,-,-,-,-,-,71.7,-,66.9,-,-,-,"5,029","3,010","2,019",,,,,,,,,,,,,,,,,,,,,
2008,강북구,2,140,-,-,-,-,2,140,-,-,-,-,-,-,-,-,-,-,50.7,-,-,-,-,"5,342","2,346","2,995",,,,,,,,,,,,,,,,,,,,,
2008,도봉구,1,51,-,-,-,-,-,-,-,-,1,51,-,-,-,-,-,-,-,-,19.5,-,-,150,126,24,,,,,,,,,,,,,,,,,,,,,
2008,노원구,1,85,-,-,-,-,1,85,-,-,-,-,-,-,-,-,-,-,58.4,-,-,-,-,"1,500","1,149",351,,,,,,,,,,,,,,,,,,,,,
2008,은평구,2,116,-,-,-,-,-,-,2,116,-,-,-,-,-,-,-,-,-,34.4,25.6,-,-,"1,233","1,211",22,,,,,,,,,,,,,,,,,,,,,
2008,서대문구,1,503,1,503,-,-,-,-,-,-,-,-,-,-,-,-,63.7,-,-,-,-,-,-,"47,161","15,971","31,190",,,,,,,,,,,,,,,,,,,,,
2008,마포구,4,581,-,-,1,362,1,135,-,-,-,-,2,84,-,-,-,-,-,-,-,-,-,…,…,…,,,,,,,,,,,,,,,,,,,,,
2008,강서구,13,785,1,182,1,98,3,172,2,80,-,-,6,253,-,-,62.2,79.3,60.3,50,-,58.4,-,"31,774","14,508","17,266",,,,,,,,,,,,,,,,,,,,,
2008,금천구,3,353,-,-,1,230,-,-,-,-,-,-,2,123,-,-,-,80.3,-,-,-,64.9,-,"17,588","10,255","7,332",,,,,,,,,,,,,,,,,,,,,
2008,영등포구,5,783,-,-,1,235,1,107,1,55,-,-,1,283,1,103,-,75.2,92.2,-,-,56.6,-,"11,356","7,693","3,663",,,,,,,,,,,,,,,,,,,,,
