Year,sigName,합계,합계,특 1등급,특 1등급,특 2등급,특 2등급,1등급,1등급,2등급,2등급,3등급,3등급,등급미정,등급미정,가족호텔,가족호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,수입실적,수입실적,수입실적,호스텔,호스텔,5성급,5성급,4성급,4성급,3성급,3성급,2성급,2성급,1성급,1성급,소형호텔,소형호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률
Year,sigName,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,특 1등급,특 2등급,1등급,2등급,3등급,등급미정,가족호텔,합계,객실,부대시설,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),호스텔,소형호텔
2008,마포구,4,581,-,-,1,362,1,135,-,-,-,-,2,84,-,-,-,-,-,-,-,-,-,…,…,…,,,,,,,,,,,,,,,,,,,,,
2009,마포구,5,865,-,-,2,646,1,135,-,-,-,-,2,84,-,-,-,81.2,72.6,-,-,-,-,"36,866","21,500","15,366",,,,,,,,,,,,,,,,,,,,,
2010,마포구,5,865,-,-,2,646,1,135,-,-,-,-,2,84,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
2011,마포구,6,730,-,-,2,646,-,-,-,-,1,44,3,40,-,-,-,90.8,-,-,41.3,-,-,"39,536","27,274","12,262",,,,,,,,,,,,,,,,,,,,,
2012,마포구,8,"1,199",-,-,4,"1,020",-,-,-,-,1,44,1,40,2,95,-,88.9,-,-,-,42.9,-,"29,566","24,359","5,207",-,-,,,,,,,,,,,,,,,,,,,
2013,마포구,10,"1,527",-,-,4,"1,020",1,80,-,-,-,-,3,268,2,159,-,87.2,-,-,-,-,-,"13,405","7,293","6,113",-,-,,,,,,,,,,,,,,,,,,,
2014,마포구,12,"1,574",-,-,4,"1,020",-,-,-,-,-,-,4,348,2,159,-,82.7,-,-,-,-,-,"14,542","14,542",-,2,47,,,,,,,,,,,,,,,,,,,
2015,마포구,12,"1,831",1,372,3,709,-,-,1,38,-,-,4,545,2,159,76.9,-,-,-,-,-,-,"18,903","9,478","9,424",1,8,,,,,,,,,,,,,,,,,,,
2016,마포구,17,"2,134",1,372,4,"1,092",-,-,1,38,-,-,4,312,2,239,86.6,79.7,-,90.3,-,-,97.9,"55,376","32,971","22,405",5,81,,,,,,,,,,,,,,,,,,,
2017,마포구,20,"2,711",,,,,,,,,,,4,540,2,239,,,,,,81,-,"47,820","35,567","12,253",5,92,1,372,5,"1,242",1,94,2,132,-,-,-,-,74.9,73.2,76.1,75.9,-,91.3,-
2018,마포구,23,"3,460",,,,,,,,,,,6,"1,368",1,56,,,,,,43.9,52.7,"92,608","72,072","20,536",6,116,1,372,5,"1,242",1,94,3,212,-,-,-,-,-,74.4,85.2,107.8,66.9,92,-
2019,마포구,24,"3,529",,,,,,,,,,,3,297,1,56,,,,,,…,100,"108,084","84,457","23,627",6,116,-,-,6,"1,753",4,"1,055",3,212,1,40,-,-,…,83.7,90.9,97,…,…,…
