Year,sigName,합계,합계,특 1등급,특 1등급,특 2등급,특 2등급,1등급,1등급,2등급,2등급,3등급,3등급,등급미정,등급미정,가족호텔,가족호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,수입실적,수입실적,수입실적,호스텔,호스텔,5성급,5성급,4성급,4성급,3성급,3성급,2성급,2성급,1성급,1성급,소형호텔,소형호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률
Year,sigName,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,특 1등급,특 2등급,1등급,2등급,3등급,등급미정,가족호텔,합계,객실,부대시설,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),호스텔,소형호텔
2008,성동구,3,176,-,-,-,-,-,-,2,120,1,56,-,-,-,-,-,-,-,-,-,-,-,…,…,…,,,,,,,,,,,,,,,,,,,,,
2009,성동구,2,120,-,-,-,-,-,-,1,64,1,56,-,-,-,-,-,-,-,100.7,-,-,-,951,931,20,,,,,,,,,,,,,,,,,,,,,
2010,성동구,2,120,-,-,-,-,-,-,1,64,1,56,-,-,-,-,-,-,-,72.9,73.3,-,-,"2,052","1,904",148,,,,,,,,,,,,,,,,,,,,,
2011,성동구,2,107,-,-,-,-,-,-,1,51,1,56,-,-,-,-,-,-,-,64,89.5,-,-,"2,246","2,092",154,,,,,,,,,,,,,,,,,,,,,
2012,성동구,2,120,-,-,-,-,-,-,1,64,1,56,-,-,-,-,-,-,-,79.7,93.1,-,-,"2,579","2,402",177,-,-,,,,,,,,,,,,,,,,,,,
2013,성동구,4,220,-,-,-,-,-,-,1,64,1,56,2,100,-,-,-,-,-,89.7,-,-,-,"1,257","1,215",42,-,-,,,,,,,,,,,,,,,,,,,
2014,성동구,5,300,-,-,-,-,-,-,1,64,1,56,3,180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
2015,성동구,6,327,-,-,-,-,-,-,2,144,2,86,1,70,-,-,-,-,-,73.7,90.1,-,-,"1,228","1,202",26,1,27,,,,,,,,,,,,,,,,,,,
2016,성동구,7,381,-,-,-,-,-,-,2,144,1,30,3,180,-,-,-,-,-,-,-,58.6,-,"1,314","1,254",60,1,27,,,,,,,,,,,,,,,,,,,
2017,성동구,8,403,,,,,,,,,,,-,-,-,-,,,,,,-,-,894,894,-,2,49,-,-,-,-,-,-,4,254,2,100,-,-,-,-,-,76.7,-,-,-
2018,성동구,8,419,,,,,,,,,,,-,-,-,-,,,,,,-,-,"4,347","4,347",-,2,49,-,-,-,-,-,-,4,270,2,100,-,-,-,-,-,78.8,-,159.7,-
2019,성동구,8,403,,,,,,,,,,,1,64,-,-,,,,,,…,…,288,288,…,2,49,-,-,-,-,-,-,3,190,2,100,-,-,…,…,…,…,…,63.5,…
