"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
2006,합계,160,56,104,12,59,89
2006,종로구,58,8,50,1,10,47
2006,중구,20,8,12,1,14,5
2006,용산구,1,1,-,-,1,-
2006,성동구,1,1,-,-,1,-
2006,광진구,9,3,6,3,5,1
2006,중랑구,1,1,-,-,1,-
2006,성북구,3,3,-,-,-,3
2006,강북구,1,1,-,-,1,-
2006,도봉구,4,4,-,-,2,2
2006,노원구,5,3,2,1,1,3
2006,서대문구,1,-,1,-,1,-
2006,마포구,6,1,5,-,1,5
2006,양천구,2,2,-,-,2,-
2006,강서구,1,1,-,-,1,-
2006,구로구,1,1,-,-,1,-
2006,금천구,1,1,-,-,-,1
2006,영등포구,3,1,2,1,1,1
2006,관악구,1,1,-,-,1,-
2006,서초구,14,8,6,2,8,4
2006,강남구,20,6,14,2,4,14
2006,송파구,7,1,6,1,3,3
