"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,금천구,-,…,…,-,-,-
1994,금천구,-,…,…,-,-,-
1995,금천구,-,…,…,-,-,-
1996,금천구,-,…,…,-,-,-
1997,금천구,-,…,…,-,-,-
1999,금천구,-,…,…,-,-,-
2000,금천구,-,…,…,-,-,-
2001,금천구,-,…,…,-,-,-
2002,금천구,-,…,…,-,-,-
2003,금천구,1,…,…,-,-,1
2004,금천구,1,1,-,-,-,1
2005,금천구,1,1,-,-,-,1
2006,금천구,1,1,-,-,-,1
2007,금천구,2,2,-,-,-,2
2008,금천구,2,2,-,-,1,1
2009,금천구,4,4,-,-,1,3
2010,금천구,4,4,-,-,2,2
2011,금천구,3,3,-,-,2,1
2012,금천구,4,3,1,-,2,2
2013,금천구,4,3,1,-,2,2
2014,금천구,4,…,…,-,2,2
2015,금천구,5,…,…,-,2,3
2016,금천구,5,3,2,-,2,3
2017,금천구,5,3,2,-,2,3
2018,금천구,5,3,2,-,2,3
2019,금천구,5,3,2,-,2,3
