"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,서대문구,3,…,…,-,1,2
1994,서대문구,3,…,…,-,1,2
1995,서대문구,2,…,…,-,1,1
1996,서대문구,3,…,…,-,2,1
1997,서대문구,3,…,…,-,2,1
1999,서대문구,3,…,…,-,2,1
2000,서대문구,3,…,…,-,2,1
2001,서대문구,6,…,…,-,2,4
2002,서대문구,-,…,…,-,-,-
2003,서대문구,-,…,…,-,-,-
2004,서대문구,2,1,1,-,2,-
2005,서대문구,1,-,1,-,1,-
2006,서대문구,1,-,1,-,1,-
2007,서대문구,1,-,1,-,1,-
2008,서대문구,1,-,1,-,1,-
2009,서대문구,3,-,3,-,2,1
2010,서대문구,4,-,4,-,3,1
2011,서대문구,5,1,4,-,4,1
2012,서대문구,7,1,6,-,4,3
2013,서대문구,6,1,5,-,3,3
2014,서대문구,6,…,…,-,3,3
2015,서대문구,8,…,…,-,5,3
2016,서대문구,6,1,5,-,4,2
2017,서대문구,9,1,8,-,4,5
2018,서대문구,12,2,10,-,4,8
2019,서대문구,11,2,9,-,4,7
