"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,송파구,7,…,…,1,2,4
1994,송파구,7,…,…,1,2,4
1995,송파구,12,…,…,1,-,11
1996,송파구,14,…,…,1,2,11
1997,송파구,13,…,…,1,2,10
1999,송파구,13,…,…,1,2,10
2000,송파구,11,…,…,-,1,10
2001,송파구,12,…,…,-,3,9
2002,송파구,1,…,…,-,-,1
2003,송파구,4,…,…,-,1,3
2004,송파구,5,1,4,-,2,3
2005,송파구,6,1,5,-,3,3
2006,송파구,7,1,6,1,3,3
2007,송파구,7,1,6,1,3,3
2008,송파구,8,-,8,2,3,3
2009,송파구,7,1,6,1,3,3
2010,송파구,8,1,7,2,3,3
2011,송파구,12,5,7,3,3,6
2012,송파구,13,5,8,3,4,6
2013,송파구,13,5,8,3,4,6
2014,송파구,14,…,…,3,5,6
2015,송파구,10,…,…,3,2,5
2016,송파구,13,3,10,5,3,5
2017,송파구,11,1,10,4,1,6
2018,송파구,13,1,12,5,2,6
2019,송파구,13,1,12,4,2,7
