"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,용산구,8,…,…,1,4,3
1994,용산구,8,…,…,1,4,3
1995,용산구,6,…,…,1,3,2
1996,용산구,6,…,…,1,3,2
1997,용산구,6,…,…,1,3,2
1999,용산구,6,…,…,1,3,2
2000,용산구,6,…,…,1,3,2
2001,용산구,3,…,…,-,3,-
2002,용산구,-,…,…,-,-,-
2003,용산구,-,…,…,-,-,-
2005,용산구,1,1,-,-,1,-
2006,용산구,1,1,-,-,1,-
2007,용산구,1,1,-,-,1,-
2008,용산구,1,1,-,-,1,-
2009,용산구,1,1,-,-,1,-
2010,용산구,1,1,-,-,1,-
2011,용산구,5,5,-,2,3,-
2012,용산구,7,5,2,2,3,2
2013,용산구,6,5,1,2,3,1
2014,용산구,7,…,…,2,3,2
2015,용산구,9,…,…,2,3,4
2016,용산구,9,6,3,2,3,4
2017,용산구,9,6,3,2,3,4
2018,용산구,10,6,4,2,3,5
2019,용산구,13,7,6,2,4,7
