"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,종로구,31,…,…,2,1,28
1994,종로구,31,…,…,2,1,28
1995,종로구,34,…,…,1,2,31
1996,종로구,35,…,…,1,2,32
1997,종로구,37,…,…,1,2,34
1999,종로구,35,…,…,1,2,32
2000,종로구,36,…,…,1,3,32
2001,종로구,33,…,…,1,5,27
2002,종로구,35,…,…,1,7,27
2003,종로구,39,…,…,1,8,30
2004,종로구,46,8,38,1,8,37
2005,종로구,53,8,45,1,10,42
2006,종로구,58,8,50,1,10,47
2007,종로구,68,8,60,1,12,55
2008,종로구,72,10,62,1,14,57
2009,종로구,74,11,63,1,16,57
2010,종로구,79,11,68,1,16,62
2011,종로구,97,11,86,1,18,78
2012,종로구,97,11,86,1,19,77
2013,종로구,105,11,94,1,22,82
2014,종로구,141,…,…,1,25,115
2015,종로구,169,…,…,1,25,143
2016,종로구,172,10,162,1,26,145
2017,종로구,166,9,157,1,25,140
2018,종로구,166,10,156,1,24,141
2019,종로구,162,10,152,1,27,134
