"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2014,서울시,23.9,-,-,-
2014,종로구,24.6,6.7,68.7,23.1
2014,중구,25.6,6.6,67.8,23.1
2014,용산구,25,6.9,68.1,23
2014,성동구,24.3,5.8,69.9,22.9
2014,광진구,21.6,5.6,72.8,22.9
2014,동대문구,26.7,6.5,66.8,23.2
2014,중랑구,28.4,5.7,65.9,23.3
2014,성북구,24.5,6.7,68.8,23.1
2014,강북구,24.8,4.8,70.3,23.1
2014,도봉구,23.7,6.1,70.2,22.9
2014,노원구,25.6,6,68.4,23
2014,은평구,23.2,5.7,71.1,23
2014,서대문구,24.6,4.5,71,23.1
2014,마포구,23.5,6.1,70.5,22.9
2014,양천구,21.8,7,71.2,22.8
2014,강서구,23.7,6.3,70,23
2014,구로구,26.8,4.9,68.3,23.2
2014,금천구,26.4,4.7,68.9,23.3
2014,영등포구,21.9,4.7,73.4,23
2014,동작구,20.8,6.8,72.3,22.8
2014,관악구,27.3,5.2,67.5,23.2
2014,서초구,21.9,6.8,71.2,22.7
2014,강남구,17.2,9.7,73.1,22.4
2014,송파구,22.5,5.8,71.7,22.8
2014,강동구,25.1,5.9,69,23.1
