"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,서초구,22.5,7.4,70.2,22.8
2010,서초구,19.4,7.1,73.5,22.6
2011,서초구,20.9,6.3,72.8,22.8
2012,서초구,20.9,7,72.1,22.7
2013,서초구,20,7,73,22.6
2014,서초구,21.9,6.8,71.2,22.7
2015,서초구,22.4,7.3,70.3,22.8
2016,서초구,21.5,6.6,71.9,22.7
2017,서초구,24.1,7.4,68.6,23
2018,서초구,23.9,6.9,69.2,23.1
2019,서초구,25.1,8.3,66.6,22.9
