"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,은평구,23.5,5.8,70.7,23
2010,은평구,23.8,5.7,70.5,23
2011,은평구,23.5,5.2,71.3,23
2012,은평구,21.4,6,72.6,22.8
2013,은평구,23.1,4.2,72.6,23
2014,은평구,23.2,5.7,71.1,23
2015,은평구,24.4,4.5,71.1,23.1
2016,은평구,26.8,6,67.2,23.3
2017,은평구,27.7,6.3,65.9,23.2
2018,은평구,34.9,5.9,59.2,23.9
2019,은평구,33,3,64,23.9
