Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
2014,서울시,"16,386","85,347",57,"33,469",206,"17,098","7,695","13,335",98,"15,004",69,119,"4,628",34,33,"1,852","3,530",602,,,,,50,29,8,"1,544",1,510,6,"1,737",5,14
2014,종로구,476,"3,277",4,"2,947",2,123,167,136,-,-,1,40,167,-,1,31,128,-,,,,,6,-,-,-,-,-,-,-,-,-
2014,중구,544,"1,580",3,"1,120",2,218,202,242,-,-,7,-,214,-,-,-,98,-,,,,,18,-,-,-,-,-,-,-,-,-
2014,용산구,289,992,2,816,1,82,119,89,-,-,-,-,104,-,-,-,60,-,,,,,2,-,-,-,-,-,-,-,1,5
2014,성동구,381,"1,897",1,825,6,514,172,244,2,314,1,-,116,-,-,-,83,-,,,,,-,-,-,-,-,-,-,-,-,-
2014,광진구,528,"2,579",2,"1,115",4,224,252,803,1,76,2,-,150,-,-,-,116,26,,,,,-,-,-,-,-,-,1,335,-,-
2014,동대문구,589,"5,907",5,"2,051",13,"1,501",233,624,7,960,3,26,143,-,1,240,182,-,,,,,-,-,-,-,-,-,1,500,1,5
2014,중랑구,473,"3,185",2,990,12,891,219,728,3,363,-,-,132,-,-,-,104,-,,,,,-,-,-,-,-,-,1,213,-,-
2014,성북구,541,"3,364",1,"1,051",5,414,255,649,6,976,1,-,151,-,-,-,121,41,,,,,-,-,1,233,-,-,-,-,-,-
2014,강북구,424,"2,170",1,214,9,934,211,579,2,282,1,-,110,-,-,-,88,18,,,,,-,-,2,143,-,-,-,-,-,-
2014,도봉구,345,"2,769",1,367,6,657,148,301,8,902,1,-,98,-,-,-,79,-,,,,,1,-,1,162,-,-,2,380,-,-
2014,노원구,684,"3,503",3,"1,816",6,368,327,454,5,712,2,-,185,-,1,32,153,21,,,,,1,-,1,100,-,-,-,-,-,-
2014,은평구,593,"3,635",1,211,10,778,283,631,6,"1,044",2,-,150,-,1,36,137,116,,,,,1,-,-,-,1,510,1,309,-,-
2014,서대문구,413,"3,706",2,"2,686",3,186,191,439,2,258,1,9,121,-,1,108,92,20,,,,,-,-,-,-,-,-,-,-,-,-
2014,마포구,667,619,-,-,1,148,321,313,1,80,2,-,185,-,1,33,156,45,,,,,-,-,-,-,-,-,-,-,-,-
2014,양천구,610,"2,936",2,"1,118",6,822,269,543,3,280,5,7,176,-,3,131,146,35,,,,,-,-,-,-,-,-,-,-,-,-
2014,강서구,688,"3,633",3,524,16,"1,234",320,662,7,"1,107",3,-,184,-,1,61,151,43,,,,,2,-,-,-,-,-,-,-,1,2
2014,구로구,539,"3,761",2,"1,269",8,641,248,460,6,854,1,-,161,-,1,68,108,29,,,,,2,1,1,437,-,-,-,-,1,2
2014,금천구,315,"1,874",1,189,4,383,133,404,6,837,-,-,100,-,1,47,70,14,,,,,-,-,-,-,-,-,-,-,-,-
2014,영등포구,699,"5,534",7,"2,207",10,"1,047",298,555,10,"1,582",2,-,216,-,3,143,144,-,,,,,9,-,-,-,-,-,-,-,-,-
2014,동작구,550,"2,925",2,"1,632",5,393,242,333,3,520,1,-,164,-,-,-,133,47,,,,,-,-,-,-,-,-,-,-,-,-
2014,관악구,661,"2,386",2,463,7,456,296,780,3,610,-,-,197,-,-,-,154,77,,,,,2,-,-,-,-,-,-,-,-,-
2014,서초구,"1,184","3,160",1,"1,355",8,898,569,535,2,162,7,6,323,6,5,198,268,-,,,,,1,-,-,-,-,-,-,-,-,-
2014,강남구,"2,452","7,306",4,"3,104",34,"1,900","1,435","1,347",2,420,19,21,581,28,8,462,369,24,,,,,-,-,-,-,-,-,-,-,-,-
2014,송파구,"1,006","6,511",2,"3,214",14,"1,273",451,696,6,"1,030",4,-,295,-,1,30,227,27,,,,,4,28,1,213,-,-,-,-,1,-
2014,강동구,735,"6,138",3,"2,185",14,"1,013",334,788,7,"1,635",3,10,205,-,4,232,163,19,,,,,1,-,1,256,-,-,-,-,-,-
