Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,강남구,286,…,2,…,5,…,144,…,-,…,-,…,94,…,-,…,41,-,-,…,-,-,,,,,,,,,,
1981,강남구,348,…,2,820,4,249,178,…,-,-,113,…,-,-,50,…,-,-,-,…,1,…,,,,,,,,,,
1982,강남구,415,…,2,820,5,499,210,…,-,-,143,…,-,-,54,…,-,-,-,…,1,…,,,,,,,,,,
1983,강남구,493,…,3,"1,304",6,543,246,…,-,-,167,…,-,-,63,…,-,-,8,…,-,…,,,,,,,,,,
1984,강남구,581,…,3,"1,344",9,712,292,…,-,-,200,…,-,-,77,…,-,-,-,…,-,…,,,,,,,,,,
1985,강남구,657,…,3,"1,594",9,517,331,…,-,-,220,…,-,-,94,…,-,-,-,-,-,…,,,,,,,,,,
1986,강남구,703,…,4,"1,594",9,487,354,…,-,-,240,…,-,-,96,…,-,-,-,…,-,…,,,,,,,,,,
1987,강남구,739,…,4,"1,594",8,440,372,…,-,-,254,…,-,-,101,…,-,-,-,…,-,…,,,,,,,,,,
1988,강남구,486,…,1,400,7,383,242,…,-,-,162,…,-,-,74,…,-,-,-,…,-,…,,,,,,,,,,
1989,강남구,536,…,2,824,7,418,267,…,-,-,177,…,-,-,83,…,-,-,-,…,-,…,,,,,,,,,,
1990,강남구,576,…,2,824,8,468,279,…,-,-,190,…,-,-,97,…,-,-,-,…,-,…,,,,,,,,,,
1991,강남구,637,…,3,"1,079",7,321,304,-,-,-,211,…,-,-,112,…,-,-,-,…,-,…,,,,,,,,,,
1992,강남구,674,…,3,"1,139",11,481,303,…,-,-,239,…,-,-,118,…,-,-,-,…,-,-,,,,,,,,,,
1993,강남구,761,"2,130",3,"1,193",10,428,356,418,-,-,270,-,-,-,122,91,-,-,-,-,-,-,,,,,,,,,,
1994,강남구,824,"3,879",4,"2,584",14,668,388,468,-,-,290,-,-,-,128,159,-,-,-,-,-,-,,,,,,,,,,
1995,강남구,885,"3,999",4,"2,693",14,658,423,475,-,-,301,5,-,-,143,168,-,-,-,-,-,-,,,,,,,,,,
1996,강남구,899,"3,985",4,"2,693",14,705,430,390,-,-,303,5,-,-,148,192,-,-,-,-,-,-,,,,,,,,,,
1997,강남구,923,"4,206",3,"2,999",11,503,447,510,-,-,310,2,-,-,152,192,-,-,-,-,-,-,,,,,,,,,,
1998,강남구,976,"4,249",4,"2,803",11,529,472,532,-,-,324,2,-,-,165,383,-,-,-,-,-,-,,,,,,,,,,
1999,강남구,"1,075","4,504",4,"2,925",13,659,528,485,-,-,352,2,-,-,178,433,-,-,-,-,-,-,,,,,,,,,,
2000,강남구,"1,172","4,859",4,"3,182",12,768,596,504,-,-,379,2,-,-,181,403,-,-,-,-,-,-,,,,,,,,,,
2001,강남구,"1,318","4,626",4,"2,806",11,915,703,539,-,-,395,4,-,-,205,362,-,-,-,-,-,-,,,,,,,,,,
2002,강남구,"1,550","4,629",5,"2,885",11,673,847,777,-,-,445,19,-,-,242,275,-,-,-,-,-,-,,,,,,,,,,
2003,강남구,"1,584","4,643",5,"2,882",14,822,861,616,-,-,452,11,-,-,252,312,-,-,-,-,-,-,,,,,,,,,,
2004,강남구,"1,656","4,629",5,"2,869",13,874,909,572,-,-,472,2,-,-,5,312,252,-,-,-,-,-,,,,,,,,,,
2005,강남구,"1,746","5,054",6,"3,136",14,799,935,865,-,-,499,11,-,-,4,241,288,2,-,-,-,-,,,,,,,,,,
2006,강남구,"1,917","4,390",6,"3,136",16,-,"1,032",902,-,-,12,2,523,-,4,241,323,-,-,-,1,109,,,,,,,,,,
2007,강남구,"2,053","5,994",6,"3,615",23,"1,086","1,111",827,1,69,15,2,541,10,3,240,352,36,-,-,1,109,,,,,,,,,,
2008,강남구,"2,130","6,293",6,"3,852",23,"1,027","1,186",835,1,113,17,2,543,7,3,240,349,42,-,-,2,175,,,,,,,,,,
