Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,강서구,139,…,-,…,2,…,77,…,-,…,-,…,34,…,-,…,21,-,5,…,-,-,,,,,,,,,,
1981,강서구,171,…,-,-,4,168,97,…,-,-,43,…,-,-,22,…,-,-,5,…,-,…,,,,,,,,,,
1982,강서구,189,…,-,-,5,292,104,…,-,-,49,…,-,-,27,…,-,-,4,…,-,…,,,,,,,,,,
1983,강서구,220,…,-,-,6,379,123,…,-,-,54,…,-,-,30,…,-,-,7,…,-,…,,,,,,,,,,
1984,강서구,259,…,-,-,11,519,142,…,-,-,60,…,-,-,40,…,-,-,6,…,-,…,,,,,,,,,,
1985,강서구,279,…,1,85,11,535,152,…,-,-,63,…,-,-,43,…,-,-,9,-,-,…,,,,,,,,,,
1986,강서구,305,…,1,85,11,565,166,…,-,-,74,…,-,-,45,…,-,-,8,…,-,…,,,,,,,,,,
1987,강서구,343,…,1,85,11,565,189,…,-,-,85,…,-,-,51,…,-,-,6,…,-,…,,,,,,,,,,
1988,강서구,195,…,-,-,6,275,114,…,-,-,45,…,-,-,30,…,-,-,-,…,-,…,,,,,,,,,,
1989,강서구,206,…,-,-,6,275,114,…,-,-,52,…,-,-,34,…,-,-,-,…,-,…,,,,,,,,,,
1990,강서구,210,…,-,-,6,275,116,…,-,-,55,…,-,-,33,…,-,-,-,…,-,…,,,,,,,,,,
1991,강서구,227,…,-,-,6,280,125,-,-,-,59,…,-,-,37,…,-,-,-,…,-,…,,,,,,,,,,
1992,강서구,239,…,-,-,6,280,131,…,-,-,60,…,-,-,42,…,-,-,-,…,-,-,,,,,,,,,,
1993,강서구,258,740,-,-,6,356,132,362,-,-,74,-,-,-,45,21,-,-,1,1,-,-,,,,,,,,,,
1994,강서구,281,"1,806",1,950,7,459,142,375,-,-,82,-,-,-,48,21,-,-,1,1,-,-,,,,,,,,,,
1995,강서구,308,877,-,-,7,436,160,418,-,-,85,-,-,-,55,21,-,-,1,2,-,-,,,,,,,,,,
1996,강서구,323,958,-,-,7,436,169,448,-,-,91,-,-,-,55,72,-,-,1,2,-,-,,,,,,,,,,
1997,강서구,352,"1,782",2,722,7,451,180,536,-,-,97,-,-,-,65,72,-,-,1,1,-,-,,,,,,,,,,
1998,강서구,378,"2,260",1,950,8,536,199,701,-,-,104,-,-,-,65,72,-,-,1,1,-,-,,,,,,,,,,
1999,강서구,398,"1,103",-,-,8,490,212,540,-,-,111,-,-,-,66,72,-,-,1,1,-,-,,,,,,,,,,
2000,강서구,399,"1,325",1,150,8,562,211,540,-,-,112,-,-,-,66,72,-,-,1,1,-,-,,,,,,,,,,
2001,강서구,441,"1,511",1,100,9,659,231,680,-,-,116,-,-,-,83,72,-,-,1,-,-,-,,,,,,,,,,
2002,강서구,473,"2,073",1,100,10,869,248,966,-,-,121,-,-,-,92,138,-,-,1,-,-,-,,,,,,,,,,
2003,강서구,480,"2,171",1,100,10,908,250,"1,025",-,-,125,-,-,-,93,138,-,-,1,-,-,-,,,,,,,,,,
