Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,마포구,212,…,-,…,3,…,109,…,-,…,-,…,42,…,-,…,51,-,7,…,-,-,,,,,,,,,,
1981,마포구,210,…,-,-,4,144,110,…,-,-,44,…,-,-,44,…,-,-,8,…,-,…,,,,,,,,,,
1982,마포구,209,…,-,-,4,165,103,…,-,-,46,…,-,-,49,…,-,-,7,…,-,…,,,,,,,,,,
1983,마포구,208,…,-,-,4,173,103,…,-,-,46,…,-,-,48,…,-,-,7,…,-,…,,,,,,,,,,
1984,마포구,207,…,-,-,4,183,105,…,-,-,44,…,-,-,48,…,-,-,6,…,-,…,,,,,,,,,,
1985,마포구,208,…,-,-,5,225,105,…,-,-,42,…,-,-,50,…,-,-,6,-,-,…,,,,,,,,,,
1986,마포구,223,…,-,-,5,255,115,…,-,-,49,…,-,-,48,…,-,-,6,…,-,…,,,,,,,,,,
1987,마포구,226,…,-,-,5,243,119,…,-,-,52,…,-,-,46,…,-,-,4,…,-,…,,,,,,,,,,
1988,마포구,248,…,-,-,4,182,131,…,-,-,57,…,-,-,51,…,-,-,5,…,-,…,,,,,,,,,,
1989,마포구,254,…,-,-,4,182,133,…,-,-,59,…,-,-,53,…,-,-,5,…,-,…,,,,,,,,,,
1990,마포구,258,…,-,-,4,197,136,…,-,-,65,…,-,-,51,…,-,-,2,…,-,…,,,,,,,,,,
1991,마포구,269,…,-,-,4,197,143,-,-,-,71,…,-,-,50,…,-,-,1,…,-,…,,,,,,,,,,
1992,마포구,286,…,-,-,4,195,149,…,-,-,77,…,-,-,55,…,-,-,1,…,-,-,,,,,,,,,,
1993,마포구,294,423,-,-,4,195,149,180,-,-,85,-,-,-,56,48,-,-,-,-,-,-,,,,,,,,,,
1994,마포구,305,421,-,-,4,195,154,175,-,-,89,-,-,-,58,51,-,-,-,-,-,-,,,,,,,,,,
1995,마포구,316,557,-,-,4,195,164,261,-,-,91,-,-,-,57,101,-,-,-,-,-,-,,,,,,,,,,
1996,마포구,327,548,-,-,4,195,160,263,-,-,95,9,-,-,68,81,-,-,-,-,-,-,,,,,,,,,,
1997,마포구,335,"1,567",4,"1,003",4,195,172,288,-,-,98,-,-,-,57,81,-,-,-,-,-,-,,,,,,,,,,
1998,마포구,340,650,-,-,4,217,178,352,-,-,102,-,-,-,56,81,-,-,-,-,-,-,,,,,,,,,,
1999,마포구,373,715,-,-,5,265,199,370,-,-,109,-,-,-,60,80,-,-,-,-,-,-,,,,,,,,,,
2000,마포구,384,727,-,-,6,389,198,238,-,-,112,-,-,-,68,100,-,-,-,-,-,-,,,,,,,,,,
2001,마포구,412,898,-,-,6,379,213,417,-,-,115,-,-,-,78,102,-,-,-,-,-,-,,,,,,,,,,
2002,마포구,458,888,-,-,4,345,240,441,-,-,127,-,-,-,87,102,-,-,-,-,-,-,,,,,,,,,,
2003,마포구,457,888,-,-,4,345,236,441,-,-,130,-,-,-,87,102,-,-,-,-,-,-,,,,,,,,,,
2004,마포구,474,900,-,-,4,329,243,469,-,-,130,-,-,-,2,102,95,-,-,-,-,-,,,,,,,,,,
2005,마포구,489,921,-,-,4,345,247,474,-,-,137,-,-,-,2,102,99,-,-,-,-,-,,,,,,,,,,
2006,마포구,512,"1,050",-,-,5,420,250,528,-,-,-,-,145,-,2,102,110,-,-,-,-,-,,,,,,,,,,
2007,마포구,546,980,-,-,4,385,268,523,-,-,-,-,153,-,1,72,120,-,-,-,-,-,,,,,,,,,,
2008,마포구,567,"1,023",-,-,4,418,275,533,-,-,-,-,154,-,1,72,133,-,-,-,-,-,,,,,,,,,,
