Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,성동구,295,…,2,…,7,…,157,…,-,…,-,…,61,…,-,…,57,-,11,…,-,-,,,,,,,,,,
1981,성동구,285,…,2,"1,000",7,889,153,…,-,-,55,…,-,-,55,…,-,-,12,…,1,…,,,,,,,,,,
1982,성동구,306,…,3,"1,085",8,831,162,…,-,-,63,…,-,-,57,…,-,-,12,…,1,…,,,,,,,,,,
1983,성동구,299,…,5,"1,317",6,697,155,…,-,-,66,…,-,-,54,…,-,-,12,…,1,…,,,,,,,,,,
1984,성동구,316,…,5,"1,459",5,207,169,…,-,-,68,…,-,-,60,…,-,-,8,…,1,…,,,,,,,,,,
1985,성동구,326,…,6,"1,902",5,873,172,…,-,-,69,…,-,-,64,…,-,-,9,-,1,…,,,,,,,,,,
1986,성동구,347,…,8,"2,072",3,130,185,…,-,-,80,…,-,-,62,…,-,-,8,…,1,…,,,,,,,,,,
1987,성동구,357,…,8,"2,215",3,130,192,…,-,-,86,…,-,-,60,…,-,-,7,…,1,…,,,,,,,,,,
1988,성동구,383,…,8,"2,215",3,"1,017",208,…,-,-,91,…,-,-,66,…,-,-,6,…,1,…,,,,,,,,,,
1989,성동구,406,…,8,"2,215",3,117,221,…,-,-,99,…,-,-,68,…,-,-,6,…,1,…,,,,,,,,,,
1990,성동구,440,…,8,"2,355",5,202,233,…,-,-,117,…,-,-,71,…,-,-,5,…,1,…,,,,,,,,,,
1991,성동구,463,…,7,"2,049",5,220,247,-,-,-,128,…,-,-,73,…,-,-,2,…,1,…,,,,,,,,,,
1992,성동구,490,…,6,"2,206",6,315,259,…,-,-,142,…,-,-,74,…,-,-,2,…,1,930,,,,,,,,,,
1993,성동구,521,"4,200",6,"2,206",6,318,263,720,-,-,151,-,-,-,92,54,-,-,2,2,1,900,,,,,,,,,,
1994,성동구,516,"4,464",6,"2,206",7,406,260,909,-,-,146,-,-,-,96,43,-,-,-,-,1,900,,,,,,,,,,
1995,성동구,228,"1,809",3,"1,294",3,209,111,256,-,-,62,-,-,-,49,50,-,-,-,-,-,-,,,,,,,,,,
1996,성동구,231,"1,707",2,"1,190",3,221,107,246,-,-,67,-,-,-,52,50,-,-,-,-,-,-,,,,,,,,,,
1997,성동구,250,"2,064",2,"1,300",7,455,114,309,-,-,76,-,-,-,51,-,-,-,-,-,-,-,,,,,,,,,,
1998,성동구,252,"2,004",2,"1,300",6,413,113,241,-,-,77,-,-,-,54,50,-,-,-,-,-,-,,,,,,,,,,
1999,성동구,277,"1,963",2,"1,300",6,344,130,269,-,-,84,-,-,-,55,50,-,-,-,-,-,-,,,,,,,,,,
2000,성동구,284,"1,665",2,"1,300",5,323,139,-,-,-,82,-,-,-,56,42,-,-,-,-,-,-,,,,,,,,,,
2001,성동구,297,"1,785",2,"1,170",5,337,149,248,-,-,83,-,-,-,58,30,-,-,-,-,-,-,,,,,,,,,,
2002,성동구,313,"1,805",1,970,6,492,160,313,-,-,88,-,-,-,58,30,-,-,-,-,-,-,,,,,,,,,,
2003,성동구,321,"1,814",1,970,6,501,160,313,-,-,89,-,-,-,65,30,-,-,-,-,-,-,,,,,,,,,,
2004,성동구,336,"1,933",1,933,6,536,167,419,-,-,93,-,-,-,1,45,68,-,-,-,-,-,,,,,,,,,,
2005,성동구,350,"1,895",1,928,6,536,174,386,-,-,97,-,-,-,1,45,71,-,-,-,-,-,,,,,,,,,,
2006,성동구,364,"1,975",1,928,6,536,176,394,-,-,1,-,103,-,2,117,75,-,-,-,-,-,,,,,,,,,,
