Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,용산구,232,…,2,…,2,…,113,…,-,…,-,…,57,…,-,…,51,-,7,…,-,-,,,,,,,,,,
1981,용산구,231,…,2,597,3,169,110,…,-,-,57,…,-,-,52,…,-,-,7,…,-,…,,,,,,,,,,
1982,용산구,222,…,4,845,2,44,105,…,-,-,53,…,-,-,51,…,-,-,7,…,-,…,,,,,,,,,,
1983,용산구,221,…,4,845,2,49,101,…,-,-,55,…,-,-,52,…,-,-,7,…,-,…,,,,,,,,,,
1984,용산구,217,…,4,"1,095",2,49,102,…,-,-,55,…,-,-,49,…,-,-,5,…,-,…,,,,,,,,,,
1985,용산구,218,…,4,"1,095",3,88,101,…,-,-,57,…,-,-,48,…,-,-,5,-,-,…,,,,,,,,,,
1986,용산구,223,…,4,"1,298",3,88,101,…,-,-,57,…,-,-,52,…,-,-,6,…,-,…,,,,,,,,,,
1987,용산구,234,…,4,"1,298",3,88,110,…,-,-,62,…,-,-,48,…,-,-,7,…,-,…,,,,,,,,,,
1988,용산구,227,…,4,"1,298",3,88,106,…,-,-,62,…,-,-,45,…,-,-,7,…,-,…,,,,,,,,,,
1989,용산구,227,…,4,"1,298",3,88,104,…,-,-,69,…,-,-,42,…,-,-,5,…,-,…,,,,,,,,,,
1990,용산구,230,…,4,"1,298",3,88,104,…,-,-,74,…,-,-,41,…,-,-,4,…,-,…,,,,,,,,,,
1991,용산구,230,…,4,"1,298",3,88,102,-,-,-,74,…,-,-,43,…,-,-,4,…,-,…,,,,,,,,,,
1992,용산구,228,…,4,"1,298",3,88,104,…,-,-,75,…,-,-,39,…,-,-,3,…,-,-,,,,,,,,,,
1993,용산구,229,"1,658",4,"1,428",3,103,103,124,-,-,74,-,-,-,42,-,-,-,3,3,-,-,,,,,,,,,,
1994,용산구,229,"1,648",4,"1,428",3,103,104,114,-,-,74,-,-,-,42,-,-,-,2,3,-,-,,,,,,,,,,
1995,용산구,231,"1,670",4,"1,428",3,103,101,136,-,-,76,-,-,-,45,-,-,-,2,3,-,-,,,,,,,,,,
1996,용산구,222,"1,698",4,"1,428",3,103,97,164,-,-,75,-,-,-,41,-,-,-,2,3,-,-,,,,,,,,,,
1997,용산구,220,"1,623",4,"1,462",3,110,98,50,-,-,75,-,-,-,39,-,-,-,1,1,-,-,,,,,,,,,,
1998,용산구,227,"1,756",4,"1,508",2,79,101,163,-,-,74,-,-,-,45,-,-,-,1,6,-,-,,,,,,,,,,
1999,용산구,247,"1,654",4,"1,388",2,79,111,185,-,-,82,-,-,-,47,-,-,-,1,2,-,-,,,,,,,,,,
2000,용산구,240,"1,458",4,"1,379",2,79,107,-,-,-,82,-,-,-,45,-,-,-,-,-,-,-,,,,,,,,,,
2001,용산구,247,"1,532",4,"1,283",2,79,113,170,-,-,85,-,-,-,43,-,-,-,-,-,-,-,,,,,,,,,,
2002,용산구,250,"1,567",4,"1,319",2,70,115,178,-,-,86,-,-,-,43,-,-,-,-,-,-,-,,,,,,,,,,
2003,용산구,248,"1,567",4,"1,319",2,70,115,178,-,-,84,-,-,-,43,-,-,-,-,-,-,-,,,,,,,,,,
2004,용산구,253,"1,515",4,"1,315",1,40,112,160,-,-,90,-,-,-,-,-,46,-,-,-,-,-,,,,,,,,,,
2005,용산구,272,"1,545",4,"1,311",1,40,114,194,-,-,97,-,-,-,-,-,56,-,-,-,-,-,,,,,,,,,,
2006,용산구,275,"1,528",4,"1,309",2,83,112,136,-,-,-,-,97,-,-,-,60,-,-,-,-,-,,,,,,,,,,
2007,용산구,276,"1,553",4,"1,336",2,81,109,136,-,-,-,-,100,-,-,-,61,-,-,-,-,-,,,,,,,,,,
2008,용산구,285,"1,558",4,"1,343",1,43,115,145,-,-,-,-,102,-,-,-,63,27,-,-,-,-,,,,,,,,,,
2009,용산구,288,"1,522",3,"1,243",2,143,113,109,-,-,-,-,107,-,-,-,63,27,-,-,-,-,,,,,,,,,,
2010,용산구,292,"1,454",3,"1,191",1,100,118,107,-,-,-,-,106,-,1,56,62,-,,,,,1,-,-,-,-,-,-,-,-,-
2011,용산구,288,"1,042",2,845,1,90,117,107,-,-,-,-,105,-,-,-,63,-,,,,,-,-,-,-,-,-,-,-,-,-
2012,용산구,287,"1,066",2,838,1,80,119,107,-,-,-,-,104,-,1,36,58,-,,,,,1,-,-,-,-,-,-,-,1,5
2013,용산구,280,"1,065",2,836,1,80,113,108,-,-,-,-,100,-,1,36,60,-,,,,,2,-,-,-,-,-,-,-,1,5
2014,용산구,289,992,2,816,1,82,119,89,-,-,-,-,104,-,-,-,60,-,,,,,2,-,-,-,-,-,-,-,1,5
2015,용산구,300,988,1,704,2,192,125,87,-,-,-,-,107,-,-,-,62,-,,,,,2,-,-,-,-,-,-,-,1,5
2016,용산구,298,968,1,706,2,192,123,65,-,-,-,-,106,-,-,-,63,-,,,,,2,-,-,-,-,-,-,-,1,5
2017,용산구,298,992,1,727,2,174,123,86,-,-,-,-,108,-,-,-,60,-,,,,,3,-,-,-,-,-,-,-,1,5
2018,용산구,304,992,1,725,2,172,128,95,-,-,-,-,108,-,-,-,62,-,,,,,2,-,-,-,-,-,-,-,1,-
2019,용산구,307,920,1,725,2,112,133,82,-,-,-,-,106,-,-,-,62,-,,,,,2,-,-,-,-,-,-,-,1,1
