Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,은평구,170,…,1,…,3,…,94,…,1,…,-,…,39,…,-,…,26,-,6,…,-,-,,,,,,,,,,
1981,은평구,172,…,1,108,2,131,92,…,-,-,39,…,-,-,29,…,-,-,7,…,2,…,,,,,,,,,,
1982,은평구,169,…,1,108,2,"1,046",90,…,-,-,40,…,-,-,28,…,-,-,6,…,2,…,,,,,,,,,,
1983,은평구,168,…,2,199,4,"1,171",90,…,-,-,41,…,-,-,26,…,-,-,4,…,1,…,,,,,,,,,,
1984,은평구,180,…,2,392,3,206,98,…,-,-,45,…,-,-,27,…,-,-,3,…,2,…,,,,,,,,,,
1985,은평구,189,…,2,319,4,"1,219",98,…,-,-,50,…,-,-,29,…,-,-,4,-,2,…,,,,,,,,,,
1986,은평구,201,…,2,319,3,206,105,…,-,-,50,…,-,-,36,…,-,-,3,…,2,…,,,,,,,,,,
1987,은평구,208,…,2,319,3,206,111,…,-,-,51,…,-,-,36,…,-,-,3,…,2,…,,,,,,,,,,
1988,은평구,217,…,2,319,3,206,108,…,-,-,59,…,-,-,42,…,-,-,1,…,2,…,,,,,,,,,,
1989,은평구,228,…,2,319,3,206,114,…,-,-,63,…,-,-,43,…,-,-,1,…,2,…,,,,,,,,,,
1990,은평구,250,…,2,319,3,206,123,…,-,-,70,…,-,-,49,…,-,-,1,…,2,…,,,,,,,,,,
