"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
2013,합계,"4,182,351","10,388,055","5,126,351","5,261,704","10,143,645","5,007,869","5,135,776","244,410","118,482","125,928","17,165",605.2,2.43,"1,167,177"
2013,종로구,"73,693","167,867","83,211","84,656","160,070","79,519","80,551","7,797","3,692","4,105","7,022",23.91,2.17,"23,997"
2013,중구,"60,600","137,990","69,128","68,862","130,465","65,371","65,094","7,525","3,757","3,768","13,854",9.96,2.15,"19,346"
2013,용산구,"109,361","251,925","122,974","128,951","239,740","116,491","123,249","12,185","6,483","5,702","11,520",21.87,2.19,"34,017"
2013,성동구,"126,447","306,571","152,809","153,762","299,337","149,304","150,033","7,234","3,505","3,729","18,190",16.85,2.37,"35,421"
2013,광진구,"159,173","381,439","187,584","193,855","368,927","181,864","187,063","12,512","5,720","6,792","22,356",17.06,2.32,"37,623"
2013,동대문구,"159,256","376,445","188,167","188,278","364,273","182,987","181,286","12,172","5,180","6,992","26,490",14.21,2.29,"49,097"
2013,중랑구,"174,938","421,237","210,390","210,847","416,798","208,641","208,157","4,439","1,749","2,690","22,773",18.5,2.38,"48,998"
2013,성북구,"196,693","485,347","238,228","247,119","476,589","234,573","242,016","8,758","3,655","5,103","19,747",24.58,2.42,"60,499"
2013,강북구,"141,246","341,921","168,546","173,375","338,707","167,342","171,365","3,214","1,204","2,010","14,490",23.6,2.4,"48,547"
2013,도봉구,"137,714","360,609","177,925","182,684","358,582","177,153","181,429","2,027",772,"1,255","17,418",20.7,2.6,"44,469"
2013,노원구,"222,132","594,027","289,967","304,060","590,479","288,435","302,044","3,548","1,532","2,016","16,763",35.44,2.66,"63,810"
2013,은평구,"202,487","508,111","248,722","259,389","503,660","246,858","256,802","4,451","1,864","2,587","17,107",29.7,2.49,"64,328"
2013,서대문구,"135,272","324,067","157,314","166,753","314,110","153,315","160,795","9,957","3,999","5,958","18,405",17.61,2.32,"43,850"
2013,마포구,"166,780","391,098","188,874","202,224","381,856","184,774","197,082","9,242","4,100","5,142","16,407",23.84,2.29,"45,758"
2013,양천구,"180,443","496,934","246,723","250,211","492,528","244,742","247,786","4,406","1,981","2,425","28,554",17.4,2.73,"46,026"
2013,강서구,"226,607","575,236","282,287","292,949","569,070","279,207","289,863","6,166","3,080","3,086","13,885",41.43,2.51,"59,530"
2013,구로구,"171,419","452,168","227,694","224,474","424,964","213,251","211,713","27,204","14,443","12,761","22,475",20.12,2.48,"48,027"
2013,금천구,"104,179","258,254","132,742","125,512","241,020","123,462","117,558","17,234","9,280","7,954","19,840",13.02,2.31,"28,310"
2013,영등포구,"167,761","421,577","212,417","209,160","386,471","193,880","192,591","35,106","18,537","16,569","17,187",24.53,2.3,"48,065"
2013,동작구,"172,700","421,487","207,223","214,264","410,815","202,144","208,671","10,672","5,079","5,593","25,773",16.35,2.38,"50,062"
2013,관악구,"248,006","535,128","270,512","264,616","518,028","262,248","255,780","17,100","8,264","8,836","18,097",29.57,2.09,"59,705"
2013,서초구,"170,594","446,541","215,771","230,770","441,763","213,285","228,478","4,778","2,486","2,292","9,501",47,2.59,"44,674"
2013,강남구,"230,645","569,152","273,583","295,569","563,599","270,601","292,998","5,553","2,982","2,571","14,409",39.5,2.44,"53,461"
2013,송파구,"257,441","674,955","330,030","344,925","668,415","326,919","341,496","6,540","3,111","3,429","19,925",33.87,2.6,"61,745"
2013,강동구,"186,764","487,969","243,530","244,439","483,379","241,503","241,876","4,590","2,027","2,563","19,846",24.59,2.59,"47,812"
