"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,강동구,"166,699","555,829","279,919","275,910",…,…,…,…,…,…,"22,744",24.44,3.33,…
1992,강동구,"164,961","548,740","276,829","271,911","548,060","276,497","271,563",680,332,348,"22,453",24.44,3.33,"20,995"
1993,강동구,"163,512","535,785","270,549","265,236","534,922","270,148","264,774",863,401,462,"21,905",24.46,3.28,"20,819"
1994,강동구,"161,195","520,903","263,042","257,861","520,044","262,654","257,390",859,388,471,"21,192",24.58,3.23,"20,681"
1995,강동구,"158,875","506,610","255,956","250,654","505,664","255,525","250,139",946,431,515,"20,611",24.58,3.19,"20,431"
1996,강동구,"158,017","497,659","251,443","246,216","496,613","250,959","245,654","1,046",484,562,"20,247",24.58,3.15,"20,529"
1997,강동구,"159,774","493,910","249,324","244,586","492,850","248,852","243,998","1,060",472,588,"20,094",24.58,3.09,"21,013"
1998,강동구,"157,825","489,544","246,745","242,799","488,585","246,330","242,255",959,415,544,"19,916",24.58,3.1,"21,389"
1999,강동구,"159,552","491,557","247,854","243,703","490,520","247,430","243,090","1,037",424,613,"19,998",24.58,3.07,"22,206"
2000,강동구,"163,345","497,753","251,027","246,726","496,549","250,541","246,008","1,204",486,718,"20,250",24.58,3.04,"22,997"
2001,강동구,"163,367","490,585","247,735","242,850","489,241","247,208","242,033","1,344",527,817,"19,959",24.58,2.99,"23,571"
2002,강동구,"164,155","483,004","243,967","239,037","481,470","243,391","238,079","1,534",576,958,"19,650",24.58,2.93,"24,263"
2003,강동구,"166,704","479,270","241,834","237,436","477,230","241,000","236,230","2,040",834,"1,206","19,500",24.58,2.87,"25,528"
2004,강동구,"166,876","473,411","238,325","235,086","471,145","237,408","233,737","2,266",917,"1,349","19,262",24.58,2.84,"26,668"
2005,강동구,"167,516","466,664","234,390","232,274","464,059","233,352","230,707","2,605","1,038","1,567","18,987",24.58,2.79,"27,571"
2006,강동구,"170,752","465,203","233,474","231,729","461,760","232,102","229,658","3,443","1,372","2,071","18,928",24.58,2.72,"29,246"
2007,강동구,"174,383","469,021","235,126","233,895","464,546","233,223","231,323","4,475","1,903","2,572","19,081",24.58,2.69,"31,612"
2008,강동구,"178,232","473,973","237,420","236,553","469,024","235,333","233,691","4,949","2,087","2,862","19,285",24.58,2.63,"33,739"
2009,강동구,"184,793","489,655","245,018","244,637","484,745","243,001","241,744","4,910","2,017","2,893","19,920",24.58,2.62,"36,605"
2010,강동구,"190,152","496,939","248,588","248,351","491,871","246,492","245,379","5,068","2,096","2,972","20,217",24.58,2.59,"39,500"
2011,강동구,"190,392","500,516","250,260","250,256","495,138","247,973","247,165","5,378","2,287","3,091","20,359",24.59,2.6,"42,256"
2012,강동구,"187,490","492,728","246,237","246,491","487,905","244,172","243,733","4,823","2,065","2,758","20,042",24.59,2.6,"44,941"
2013,강동구,"186,764","487,969","243,530","244,439","483,379","241,503","241,876","4,590","2,027","2,563","19,846",24.59,2.59,"47,812"
2014,강동구,"185,905","481,332","239,990","241,342","476,597","237,816","238,781","4,735","2,174","2,561","19,574",24.59,2.56,"50,253"
2015,강동구,"180,508","463,321","230,851","232,470","458,658","228,709","229,949","4,663","2,142","2,521",-,-,2.54,"51,935"
2016,강동구,"177,460","448,471","223,081","225,390","444,168","221,118","223,050","4,303","1,963","2,340",-,-,2.5,"53,195"
2017,강동구,"177,407","440,359","218,699","221,660","436,223","216,777","219,446","4,136","1,922","2,214",-,-,2.46,"56,161"
2018,강동구,"177,247","431,920","213,853","218,067","427,573","211,816","215,757","4,347","2,037","2,310",-,-,2.41,"58,770"
2019,강동구,"183,390","440,390","217,338","223,052","436,067","215,335","220,732","4,323","2,003","2,320",-,-,2.38,"63,452"
