"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,송파구,"207,969","688,121","342,060","346,061",…,…,…,…,…,…,"20,371",33.78,3.31,…
1992,송파구,"208,638","689,419","343,176","346,243","687,788","342,352","345,436","1,631",824,807,"20,409",33.78,3.3,"26,144"
1993,송파구,"210,844","685,260","341,403","343,857","683,439","340,497","342,942","1,821",906,915,"20,310",33.74,3.25,"26,266"
1994,송파구,"212,950","680,067","338,608","341,459","678,019","337,556","340,463","2,048","1,052",996,"20,067",33.89,3.19,"26,471"
1995,송파구,"212,400","669,042","333,328","335,714","666,806","332,168","334,638","2,236","1,160","1,076","19,742",33.89,3.15,"26,466"
1996,송파구,"216,205","671,560","334,513","337,047","668,987","333,209","335,778","2,573","1,304","1,269","19,816",33.89,3.11,"27,007"
1997,송파구,"222,544","677,214","337,369","339,845","674,577","336,001","338,576","2,637","1,368","1,269","19,983",33.89,3.04,"28,128"
1998,송파구,"220,138","671,406","334,022","337,384","668,879","332,700","336,179","2,527","1,322","1,205","19,811",33.89,3.05,"28,905"
1999,송파구,"221,483","668,421","332,246","336,175","665,918","330,971","334,947","2,503","1,275","1,228","19,723",33.89,3.01,"29,611"
2000,송파구,"222,053","665,644","330,881","334,763","663,177","329,686","333,491","2,467","1,195","1,272","19,653",33.87,2.99,"30,709"
2001,송파구,"222,337","658,242","327,198","331,044","655,483","325,867","329,616","2,759","1,331","1,428","19,423",33.89,2.95,"31,777"
2002,송파구,"223,754","649,888","322,769","327,119","647,037","321,426","325,611","2,851","1,343","1,508","19,176",33.89,2.89,"32,395"
2003,송파구,"219,648","623,267","309,170","314,097","619,514","307,516","311,998","3,753","1,654","2,099","18,393",33.89,2.84,"32,650"
2004,송파구,"216,434","608,439","301,439","307,000","604,293","299,576","304,717","4,146","1,863","2,283","17,961",33.88,2.81,"33,563"
2005,송파구,"222,169","610,023","301,510","308,513","605,840","299,659","306,181","4,183","1,851","2,332","18,007",33.88,2.75,"35,302"
2006,송파구,"228,770","612,527","302,612","309,915","607,005","300,173","306,832","5,522","2,439","3,083","18,080",33.88,2.68,"37,603"
2007,송파구,"237,517","630,691","310,809","319,882","623,876","307,693","316,183","6,815","3,116","3,699","18,615",33.88,2.66,"41,787"
2008,송파구,"256,104","676,580","332,704","343,876","668,962","329,262","339,700","7,618","3,442","4,176","19,971",33.88,2.61,"46,934"
2009,송파구,"260,681","689,296","337,950","351,346","681,476","334,477","346,999","7,820","3,473","4,347","20,347",33.88,2.61,"50,067"
2010,송파구,"264,364","693,144","339,868","353,276","685,279","336,359","348,920","7,865","3,509","4,356","20,460",33.88,2.59,"53,156"
2011,송파구,"261,963","690,466","338,344","352,122","682,209","334,494","347,715","8,257","3,850","4,407","20,382",33.88,2.6,"55,456"
2012,송파구,"257,852","680,150","333,060","347,090","673,115","329,747","343,368","7,035","3,313","3,722","20,078",33.88,2.61,"58,490"
2013,송파구,"257,441","674,955","330,030","344,925","668,415","326,919","341,496","6,540","3,111","3,429","19,925",33.87,2.6,"61,745"
2014,송파구,"257,207","671,794","328,308","343,486","664,738","324,902","339,836","7,056","3,406","3,650","19,834",33.87,2.58,"65,025"
2015,송파구,"256,611","667,480","325,950","341,530","660,302","322,441","337,861","7,178","3,509","3,669",-,-,2.57,"68,292"
2016,송파구,"258,382","664,946","324,087","340,859","657,831","320,557","337,274","7,115","3,530","3,585",-,-,2.55,"71,064"
2017,송파구,"264,628","671,173","326,407","344,766","664,496","323,147","341,349","6,677","3,260","3,417",-,-,2.51,"76,582"
2018,송파구,"270,866","673,507","326,849","346,658","666,635","323,526","343,109","6,872","3,323","3,549",-,-,2.46,"81,364"
2019,송파구,"278,711","682,741","330,412","352,329","675,961","327,164","348,797","6,780","3,248","3,532",-,-,2.43,"87,334"
