"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,종로구,"78,169","236,806","119,127","117,679",…,…,…,…,…,…,"9,865",24.01,3.03,…
1992,종로구,"75,752","227,988","114,648","113,340","226,240","113,677","112,563","1,748",971,777,"9,496",24.01,3.01,"12,096"
1993,종로구,"74,952","222,423","111,786","110,637","221,049","111,055","109,994","1,374",731,643,"9,264",24.01,2.97,"12,441"
1994,종로구,"73,798","214,930","107,877","107,053","213,187","106,942","106,245","1,743",935,808,"8,989",23.92,2.91,"12,712"
1995,종로구,"72,488","204,733","102,852","101,881","203,086","101,960","101,126","1,647",892,755,"8,559",23.92,2.82,"12,624"
1996,종로구,"72,027","199,475","100,075","99,400","197,563","99,067","98,496","1,912","1,008",904,"8,339",23.92,2.77,"12,876"
1997,종로구,"72,919","196,611","98,650","97,961","194,696","97,646","97,050","1,915","1,004",911,"8,220",23.92,2.7,"13,285"
1998,종로구,"69,668","190,619","95,645","94,974","188,732","94,646","94,086","1,887",999,888,"7,972",23.91,2.74,"13,464"
1999,종로구,"69,581","188,865","94,763","94,102","186,590","93,539","93,051","2,275","1,224","1,051","7,899",23.91,2.68,"13,988"
2000,종로구,"69,935","188,946","94,923","94,023","186,378","93,549","92,829","2,568","1,374","1,194","7,902",23.91,2.67,"14,489"
2001,종로구,"70,085","187,038","94,120","92,918","184,225","92,657","91,568","2,813","1,463","1,350","7,823",23.91,2.63,"15,087"
2002,종로구,"70,113","184,224","92,681","91,543","181,231","91,151","90,080","2,993","1,530","1,463","7,705",23.91,2.58,"15,359"
2003,종로구,"70,288","181,441","90,978","90,463","177,519","89,234","88,285","3,922","1,744","2,178","7,588",23.91,2.58,"15,981"
2004,종로구,"70,408","178,574","89,574","89,000","174,372","87,731","86,641","4,202","1,843","2,359","7,468",23.91,2.54,"16,728"
2005,종로구,"69,982","173,861","87,091","86,770","169,315","84,981","84,334","4,546","2,110","2,436","7,272",23.91,2.48,"17,217"
2006,종로구,"70,925","172,690","86,375","86,315","166,793","83,634","83,159","5,897","2,741","3,156","7,223",23.91,2.43,"17,938"
2007,종로구,"71,968","173,843","87,001","86,842","165,846","83,104","82,742","7,997","3,897","4,100","7,271",23.91,2.42,"19,127"
2008,종로구,"74,660","179,754","89,725","90,029","170,705","85,398","85,307","9,049","4,327","4,722","7,519",23.91,2.29,"20,162"
2009,종로구,"74,315","177,543","88,432","89,111","168,603","84,257","84,346","8,940","4,175","4,765","7,426",23.91,2.27,"20,753"
2010,종로구,"77,621","179,362","89,252","90,110","170,578","85,182","85,396","8,784","4,070","4,714","7,502",23.91,2.2,"22,458"
2011,종로구,"76,688","177,419","88,107","89,312","168,382","83,931","84,451","9,037","4,176","4,861","7,421",23.91,2.2,"22,939"
2012,종로구,"75,659","173,148","85,997","87,151","165,207","82,274","82,933","7,941","3,723","4,218","7,243",23.91,2.18,"23,868"
2013,종로구,"73,693","167,867","83,211","84,656","160,070","79,519","80,551","7,797","3,692","4,105","7,022",23.91,2.17,"23,997"
2014,종로구,"73,101","165,344","81,439","83,905","156,993","77,621","79,372","8,351","3,818","4,533","6,915",23.91,2.15,"24,537"
2015,종로구,"72,645","163,822","80,531","83,291","154,986","76,548","78,438","8,836","3,983","4,853",-,-,2.13,"24,892"
2016,종로구,"72,118","161,922","79,322","82,600","152,737","75,201","77,536","9,185","4,121","5,064",-,-,2.12,"25,091"
2017,종로구,"73,594","164,257","80,094","84,163","154,770","75,967","78,803","9,487","4,127","5,360",-,-,2.1,"26,182"
2018,종로구,"73,735","163,026","79,156","83,870","153,065","74,825","78,240","9,961","4,331","5,630",-,-,2.08,"26,742"
2019,종로구,"73,947","161,869","78,215","83,654","151,290","73,746","77,544","10,579","4,469","6,110",-,-,2.05,"27,519"
