"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
2016,합계,"44,534,362","34,433,531","10,100,831","47,131,165","36,672,332","10,458,834","40,578,570","32,185,981","8,392,589"
2016,본청,"30,604,139","21,299,027","9,305,112","32,589,978","23,019,246","9,570,732","28,751,388","20,683,817","8,067,572"
2016,자치구,"13,930,224","13,134,504","795,719","14,541,187","13,653,086","888,101","11,827,182","11,502,164","325,018"
2016,종로구,"438,089","381,558","56,530","446,086","388,209","57,878","337,968","322,391","15,577"
2016,중구,"463,216","391,111","72,105","469,450","398,346","71,105","334,666","320,499","14,167"
2016,용산구,"379,700","344,351","35,349","393,954","358,405","35,549","319,537","306,843","12,694"
2016,성동구,"459,826","439,720","20,107","467,876","445,922","21,954","392,458","379,634","12,824"
2016,광진구,"467,389","450,266","17,123","482,289","464,647","17,642","401,304","391,349","9,955"
2016,동대문구,"521,693","500,959","20,735","516,799","496,189","20,611","451,076","439,808","11,268"
2016,중랑구,"539,659","522,330","17,329","559,875","541,664","18,211","479,510","468,773","10,737"
2016,성북구,"620,443","597,996","22,447","643,555","620,613","22,941","542,635","532,950","9,685"
2016,강북구,"531,612","517,459","14,154","554,563","540,083","14,480","469,137","460,513","8,624"
2016,도봉구,"495,906","482,066","13,840","515,289","500,712","14,577","426,297","419,877","6,419"
2016,노원구,"812,329","794,668","17,661","824,873","806,086","18,787","686,339","676,837","9,501"
2016,은평구,"617,737","601,348","16,389","646,880","629,739","17,141","543,468","536,082","7,386"
2016,서대문구,"493,444","469,693","23,751","516,616","491,044","25,572","399,184","388,644","10,539"
2016,마포구,"572,364","490,710","81,654","593,941","510,397","83,544","466,066","441,532","24,534"
2016,양천구,"622,748","563,049","59,699","632,049","570,933","61,116","506,315","486,505","19,809"
2016,강서구,"702,742","683,935","18,807","725,428","705,985","19,444","637,512","625,471","12,042"
2016,구로구,"557,357","542,158","15,199","569,002","553,842","15,160","498,419","487,962","10,457"
2016,금천구,"403,687","389,691","13,996","411,908","397,168","14,740","348,664","343,196","5,469"
2016,영등포구,"542,982","507,281","35,701","552,928","517,026","35,902","457,320","437,068","20,252"
2016,동작구,"521,333","509,177","12,156","541,915","527,877","14,038","446,230","437,091","9,139"
2016,관악구,"591,498","568,014","23,484","618,343","593,662","24,681","525,377","513,877","11,500"
2016,서초구,"592,759","522,423","70,336","611,435","540,746","70,690","454,075","438,477","15,598"
2016,강남구,"734,546","687,359","47,187","959,765","847,372","112,393","634,394","612,350","22,044"
2016,송파구,"645,075","617,535","27,539","669,700","638,129","31,571","568,532","556,097","12,436"
2016,강동구,"602,088","559,647","42,441","616,666","568,291","48,376","500,700","478,339","22,361"
