"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,강남구,"266,556","245,035","21,521","273,233","250,226","23,007","175,656","170,219","5,437"
1997,강남구,"302,075","269,942","32,133","287,858","257,626","30,232","231,367","210,275","21,092"
1998,강남구,"248,755","224,000","24,755","234,576","210,388","24,188","194,223","177,129","17,094"
1999,강남구,"230,370","199,142","31,228","248,991","215,566","33,425","177,012","154,331","22,681"
2000,강남구,"282,729","242,350","40,379","305,026","264,212","40,814","220,133","197,040","23,093"
2001,강남구,"334,944","278,802","56,142","348,974","290,428","58,546","265,740","227,830","37,910"
2002,강남구,"330,444","292,323","38,121","331,732","291,694","40,038","250,935","234,377","16,558"
2003,강남구,"363,093","315,634","47,459","369,617","324,612","45,005","301,974","276,300","25,674"
2004,강남구,"416,781","370,264","46,517","415,602","367,676","47,926","336,680","315,510","21,170"
2005,강남구,"456,785","405,303","51,482","468,759","416,443","52,316","364,034","323,165","40,869"
2006,강남구,"474,921","438,547","36,374","496,514","458,026","38,488","376,880","347,995","28,885"
2007,강남구,"531,554","495,622","35,932","603,654","561,482","42,172","416,043","388,703","27,340"
2008,강남구,"658,313","604,517","53,796","745,615","683,055","62,560","513,111","483,224","29,887"
2009,강남구,"759,642","695,330","64,312","784,855","714,578","70,277","625,413","589,087","36,326"
2010,강남구,"671,072","610,300","60,772","673,657","606,580","67,077","556,636","517,458","39,179"
2011,강남구,"604,345","547,483","56,862","617,567","555,580","61,987","495,923","468,669","27,254"
2012,강남구,"623,054","564,195","58,859","659,973","590,036","69,937","543,158","502,125","41,034"
2013,강남구,"611,357","571,174","40,182","682,552","618,382","64,170","533,640","504,264","29,376"
2014,강남구,"651,388","611,357","40,030","749,155","674,856","74,299","573,534","550,221","23,313"
2015,강남구,"677,284","640,571","36,713","845,739","756,311","89,427","589,049","569,456","19,593"
2016,강남구,"734,546","687,359","47,187","959,765","847,372","112,393","634,394","612,350","22,044"
2017,강남구,"802,858","749,949","52,909","1,055,144","924,709","130,436","684,851","656,930","27,921"
2018,강남구,"882,802","839,872","42,930","1,154,965","1,013,994","140,970","713,916","693,034","20,882"
2019,강남구,"1,038,152","980,940","57,212","1,351,659","1,189,604","162,055","886,439","861,159","25,280"
