"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,노원구,"127,048","112,182","14,866","139,431","123,635","15,796","101,949","92,673","9,276"
1997,노원구,"165,077","143,585","21,492","172,405","151,426","20,979","128,749","114,540","14,209"
1998,노원구,"174,471","152,379","22,092","171,182","150,128","21,054","140,814","126,781","14,033"
1999,노원구,"177,817","148,899","28,918","179,921","152,787","27,134","142,282","123,791","18,491"
2000,노원구,"216,645","183,435","33,210","223,108","189,558","33,550","163,753","140,871","22,882"
2001,노원구,"255,686","212,464","43,222","256,648","213,486","43,162","206,642","174,154","32,488"
2002,노원구,"224,518","207,666","16,852","223,484","208,182","15,302","176,174","172,194","3,980"
2003,노원구,"279,171","256,346","22,825","284,876","262,932","21,944","201,891","197,101","4,790"
2004,노원구,"331,087","306,060","25,027","333,732","308,342","25,390","248,856","237,554","11,302"
2005,노원구,"325,108","305,262","19,846","326,556","307,098","19,458","264,017","258,657","5,360"
2006,노원구,"340,374","320,435","19,939","345,318","325,666","19,652","279,327","271,256","8,071"
2007,노원구,"390,223","369,798","20,425","398,352","377,916","20,436","317,797","307,498","10,299"
2008,노원구,"473,915","452,936","20,979","464,298","443,878","20,420","387,148","374,129","13,019"
2009,노원구,"538,948","523,417","15,531","530,818","513,941","16,877","471,217","459,829","11,388"
2010,노원구,"495,006","481,114","13,892","473,595","459,217","14,378","453,274","444,065","9,210"
2011,노원구,"475,809","464,526","11,283","448,966","435,039","13,927","432,394","425,562","6,832"
2012,노원구,"505,294","493,036","12,258","498,477","482,740","15,737","470,926","463,672","7,254"
2013,노원구,"582,125","567,085","15,040","573,524","556,745","16,779","516,746","509,260","7,486"
2014,노원구,"644,504","628,847","15,658","639,038","622,115","16,923","570,014","563,039","6,975"
2015,노원구,"739,907","723,254","16,653","734,386","715,663","18,723","632,998","623,848","9,150"
2016,노원구,"812,329","794,668","17,661","824,873","806,086","18,787","686,339","676,837","9,501"
2017,노원구,"895,125","878,470","16,655","935,523","916,955","18,568","771,603","759,466","12,137"
2018,노원구,"974,126","955,955","18,171","1,010,865","993,147","17,718","810,983","800,809","10,174"
2019,노원구,"1,113,067","1,095,362","17,705","1,149,410","1,129,864","19,546","938,077","927,348","10,729"
