"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,송파구,"140,843","132,922","7,921","155,057","146,403","8,654","108,194","105,935","2,259"
1997,송파구,"176,209","163,688","12,521","181,086","168,036","13,050","135,556","131,256","4,300"
1998,송파구,"153,194","136,334","16,860","152,921","136,001","16,920","122,277","115,561","6,716"
1999,송파구,"161,455","139,449","22,006","167,008","145,430","21,578","127,873","115,222","12,651"
2000,송파구,"198,569","173,911","24,658","199,586","175,947","23,639","161,035","143,858","17,177"
2001,송파구,"189,574","164,808","24,766","195,596","169,389","26,207","168,336","148,804","19,532"
2002,송파구,"197,622","175,288","22,334","204,894","182,549","22,345","167,118","154,019","13,099"
2003,송파구,"250,217","225,191","25,026","260,392","236,799","23,593","185,440","172,417","13,023"
2004,송파구,"306,164","277,618","28,546","321,137","292,621","28,516","232,002","217,601","14,401"
2005,송파구,"299,328","269,056","30,272","312,297","281,965","30,332","237,437","223,139","14,298"
2006,송파구,"296,558","263,703","32,855","305,975","274,114","31,861","250,735","227,224","23,511"
2007,송파구,"339,394","312,950","26,444","356,416","329,477","26,939","285,812","274,190","11,622"
2008,송파구,"394,630","353,561","41,069","415,748","376,342","39,406","319,025","305,815","13,210"
2009,송파구,"470,753","426,641","44,112","480,208","416,068","64,140","417,592","386,518","31,074"
2010,송파구,"435,458","392,655","42,803","418,165","367,998","50,167","382,108","353,861","28,247"
2011,송파구,"409,222","377,866","31,356","427,403","389,172","38,231","357,602","345,685","11,917"
2012,송파구,"483,976","443,099","40,877","479,280","437,656","41,624","436,469","404,956","31,513"
2013,송파구,"496,923","471,623","25,300","496,704","471,029","25,675","452,767","432,261","20,506"
2014,송파구,"533,328","514,051","19,277","549,475","527,899","21,576","495,670","483,806","11,864"
2015,송파구,"596,025","571,988","24,036","609,524","582,768","26,755","532,791","520,779","12,011"
2016,송파구,"645,075","617,535","27,539","669,700","638,129","31,571","568,532","556,097","12,436"
2017,송파구,"699,794","667,017","32,776","744,951","708,060","36,890","616,065","603,900","12,166"
2018,송파구,"826,457","784,256","42,201","851,191","808,496","42,696","704,723","692,074","12,648"
2019,송파구,"948,911","901,916","46,994","993,907","945,081","48,827","828,085","815,610","12,474"
