"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,영등포구,"147,917","123,159","24,758","143,423","119,175","24,248","106,310","101,152","5,158"
1997,영등포구,"157,101","125,054","32,047","154,113","123,214","30,899","115,944","107,162","8,782"
1998,영등포구,"147,928","112,902","35,026","147,294","113,840","33,454","107,552","99,661","7,891"
1999,영등포구,"164,478","124,536","39,942","175,100","133,240","41,860","124,591","105,574","19,017"
2000,영등포구,"198,397","157,581","40,816","211,446","169,542","41,904","136,443","122,674","13,769"
2001,영등포구,"227,088","172,929","54,159","230,707","175,980","54,727","176,280","139,562","36,718"
2002,영등포구,"206,558","168,972","37,586","209,089","170,144","38,945","160,307","140,577","19,730"
2003,영등포구,"244,414","204,032","40,382","252,329","211,879","40,450","164,615","152,784","11,831"
2004,영등포구,"267,292","219,793","47,499","296,876","250,823","46,053","197,885","179,498","18,387"
2005,영등포구,"282,330","236,574","45,756","303,713","257,233","46,480","219,067","201,436","17,631"
2006,영등포구,"291,046","246,616","44,430","308,679","262,410","46,269","232,660","213,141","19,519"
2007,영등포구,"339,868","290,744","49,124","344,574","296,657","47,917","276,311","255,224","21,087"
2008,영등포구,"359,927","308,302","51,625","371,925","317,979","53,946","289,133","264,887","24,246"
2009,영등포구,"410,780","360,608","50,172","403,469","353,599","49,870","341,347","321,255","20,092"
2010,영등포구,"410,159","359,885","50,274","397,562","348,035","49,527","340,531","326,193","14,338"
2011,영등포구,"378,028","324,155","53,873","401,614","343,159","58,455","321,809","294,648","27,161"
2012,영등포구,"420,591","370,700","49,891","412,435","364,762","47,673","353,964","334,613","19,351"
2013,영등포구,"457,706","411,599","46,107","439,230","393,759","45,472","385,161","357,076","28,085"
2014,영등포구,"482,095","444,379","37,716","475,770","440,298","35,472","416,000","399,173","16,827"
2015,영등포구,"516,500","479,145","37,356","513,659","477,878","35,781","445,202","427,802","17,401"
2016,영등포구,"542,982","507,281","35,701","552,928","517,026","35,902","457,320","437,068","20,252"
2017,영등포구,"592,480","558,700","33,780","622,582","587,904","34,679","503,199","484,033","19,166"
2018,영등포구,"656,992","623,558","33,435","681,914","648,368","33,546","564,757","545,501","19,256"
2019,영등포구,"727,757","694,763","32,994","769,404","736,363","33,041","612,213","594,685","17,529"
