"('Year',)","('sigName',)","('재정자립도',)"
2015,서울시 평균,84.3(80.3)
2015,본청,82.7(80.4)
2015,자치구 평균,35.3(31.5)
2015,종로구,56.2(50.0)
2015,중구,65.7(58.6)
2015,용산구,47.9(40.1)
2015,성동구,39.4(34.5)
2015,광진구,30.9(27.4)
2015,동대문구,29.4(27.0)
2015,중랑구,23.9(23.2)
2015,성북구,24.4(22.4)
2015,강북구,21.8(18.6)
2015,도봉구,22.8(19.5)
2015,노원구,17.5(15.9)
2015,은평구,22.0(19.8)
2015,서대문구,30.4(25.7)
2015,마포구,40.9(33.3)
2015,양천구,28.7(27.3)
2015,강서구,26.0(22.4)
2015,구로구,27.1(25.1)
2015,금천구,31.6(27.4)
2015,영등포구,46.3(44.2)
2015,동작구,28.7(28.7)
2015,관악구,25.3(21.6)
2015,서초구,64.0(57.4)
2015,강남구,66.2(60.0)
2015,송파구,49.3(42.1)
2015,강동구,32.2(29.2)
