Year,sigName,용도별,분류별,합계,합계,합계,합계,합계,합계,합계,신축,신축,신축,신축,신축,신축,신축,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경
Year,sigName,용도별,분류별,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골
2019,서울시,계,동수,"9,974",916,459,220,2,"7,824",553,"4,725",6,51,37,,"4,461",170,"1,820",258,120,53,2,"1,102",285,"3,429",652,288,130,-,"2,261",98
2019,서울시,계,연면적,"39,102,250","126,256","15,555,268","12,215",864,"22,276,742","1,130,905","8,117,978",906,"1,476,678","4,217",,"6,463,534","172,643","9,405,235","23,421","4,204,115","2,380",864,"4,764,066","410,389","21,579,037","101,929","9,874,475","5,618",-,"11,049,142","547,873"
2019,서울시,주거용,동수,"4,182",263,21,59,-,"3,780",59,"3,283",3,10,27,,"3,230",13,398,116,4,22,-,217,39,501,144,7,10,-,333,7
2019,서울시,주거용,연면적,"2,832,687","31,556","229,426","4,242",-,"2,541,499","25,964","2,345,807",560,"37,684","3,111",,"2,281,883","22,569","238,920","7,365","160,541",613,-,"68,629","1,772","247,960","23,631","31,201",518,-,"190,987","1,623"
2019,서울시,상업용,동수,"4,779",625,323,146,-,"3,292",393,"1,211",-,23,7,,"1,059",122,"1,095",130,82,26,-,661,196,"2,473",495,218,113,-,"1,572",75
2019,서울시,상업용,연면적,"26,809,698","91,123","12,749,270","6,518",-,"13,168,358","794,429","3,510,614",-,"1,007,695",643,,"2,398,674","103,602","6,459,071","15,455","3,433,854",989,-,"2,783,758","225,015","16,840,013","75,668","8,307,721","4,886",-,"7,985,926","465,812"
2019,서울시,농림수산업용,동수,4,-,-,-,-,1,3,2,-,-,-,,-,2,2,-,-,-,-,1,1,-,-,-,-,-,-,-
2019,서울시,농림수산업용,연면적,378,-,-,-,-,56,322,298,-,-,-,,-,298,80,-,-,-,-,56,24,-,-,-,-,-,-,-
2019,서울시,공업용,동수,67,1,5,1,-,55,5,33,-,1,-,,30,2,7,-,-,-,-,5,2,27,1,4,1,-,20,1
2019,서울시,공업용,연면적,"1,654,741",662,"151,577",40,-,"1,494,492","7,970","1,371,719",-,"99,998",-,,"1,268,913","2,808","32,173",-,-,-,-,"31,476",697,"250,849",662,"51,579",40,-,"194,103","4,465"
2019,서울시,공공용,동수,70,4,5,2,-,42,17,40,3,2,2,,23,10,25,1,2,-,-,15,7,5,-,1,-,-,4,-
2019,서울시,공공용,연면적,"249,250",746,"67,983",264,-,"176,033","4,224","63,629",346,"3,404",264,,"56,770","2,845","70,556",400,103,-,-,"68,674","1,379","115,065",-,"64,476",-,-,"50,589",-
2019,서울시,문교용/사회용,동수,754,14,97,7,2,578,56,131,-,15,1,,106,9,237,7,26,5,2,164,33,386,7,56,1,-,308,14
2019,서울시,문교용/사회용,연면적,"6,714,839","1,599","2,145,765",977,864,"4,275,945","289,689","793,114",-,"327,897",199,,"429,444","35,574","2,052,072",196,"427,344",778,864,"1,443,946","178,944","3,869,653","1,403","1,390,524",-,-,"2,402,555","75,171"
2019,서울시,기타,동수,118,9,8,5,-,76,20,25,-,-,-,,13,12,56,4,6,-,-,39,7,37,5,2,5,-,24,1
2019,서울시,기타,연면적,"840,657",570,"211,247",174,-,"620,359","8,307","32,797",-,-,-,,"27,850","4,947","552,363",5,"182,273",-,-,"367,527","2,558","255,497",565,"28,974",174,-,"224,982",802
2019,본청,계,동수,15,-,5,-,-,10,-,15,-,5,-,,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,본청,계,연면적,"1,074,537",-,"907,931",-,-,"166,606",-,"1,074,537",-,"907,931",-,,"166,606",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,본청,주거용,동수,8,-,-,-,-,8,-,8,-,-,-,,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,본청,주거용,연면적,"158,445",-,-,-,-,"158,445",-,"158,445",-,-,-,,"158,445",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,본청,상업용,동수,4,-,2,-,-,2,-,4,-,2,-,,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,본청,상업용,연면적,"696,042",-,"687,881",-,-,"8,161",-,"696,042",-,"687,881",-,,"8,161",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,본청,문교용/사회용,동수,3,-,3,-,-,-,-,3,-,3,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,본청,문교용/사회용,연면적,"220,050",-,"220,050",-,-,-,-,"220,050",-,"220,050",-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,종로구,계,동수,535,70,34,83,-,319,29,170,3,4,18,,137,8,139,23,9,21,-,70,16,226,44,21,44,-,112,5
2019,종로구,계,연면적,"1,955,132","9,393","1,200,180","3,791",-,"577,602","164,166","238,651",346,"10,835","1,492",,"224,467","1,511","463,922","1,761","358,510",667,-,"66,414","36,570","1,252,559","7,286","830,835","1,632",-,"286,721","126,085"
2019,종로구,주거용,동수,161,19,1,24,-,113,4,105,-,1,13,,89,2,34,12,-,8,-,12,2,22,7,-,3,-,12,-
2019,종로구,주거용,연면적,"128,789","1,528","1,251","1,331",-,"124,478",201,"112,818",-,"1,251","1,011",,"110,399",157,"2,730",359,-,270,-,"2,057",44,"13,241","1,169",-,50,-,"12,022",-
2019,종로구,상업용,동수,310,45,25,58,-,163,19,48,-,3,5,,36,4,83,10,8,12,-,42,11,179,35,14,41,-,85,4
2019,종로구,상업용,연면적,"1,548,358","7,351","1,002,218","2,456",-,"373,909","162,424","104,298",-,"9,584",481,,"93,865",368,"408,928","1,390","352,651",393,-,"18,523","35,971","1,035,132","5,961","639,983","1,582",-,"261,521","126,085"
2019,종로구,공공용,동수,9,3,-,-,-,4,2,9,3,-,-,,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,종로구,공공용,연면적,"7,073",346,-,-,-,"5,741",986,"7,073",346,-,-,,"5,741",986,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,종로구,문교용/사회용,동수,42,2,8,1,-,27,4,2,-,-,-,,2,-,20,1,1,1,-,14,3,20,1,7,-,-,11,1
2019,종로구,문교용/사회용,연면적,"236,992",12,"196,711",4,-,"39,710",555,"1,384",-,-,-,,"1,384",-,"33,540",12,"5,859",4,-,"27,110",555,"202,068",-,"190,852",-,-,"11,216",-
2019,종로구,기타,동수,13,1,-,-,-,12,-,6,-,-,-,,6,-,2,-,-,-,-,2,-,5,1,-,-,-,4,-
2019,종로구,기타,연면적,"33,920",156,-,-,-,"33,764",-,"13,078",-,-,-,,"13,078",-,"18,724",-,-,-,-,"18,724",-,"2,118",156,-,-,-,"1,962",-
2019,중구,계,동수,328,23,51,21,-,207,26,76,-,2,1,,66,7,82,4,16,2,-,44,16,170,19,33,18,-,97,3
2019,중구,계,연면적,"3,248,078","4,215","2,065,610",964,-,"1,045,549","131,740","295,471",-,"16,140",130,,"236,774","42,427","1,124,658",444,"862,887",157,-,"190,509","70,661","1,827,949","3,771","1,186,583",677,-,"618,266","18,652"
2019,중구,주거용,동수,48,1,1,2,-,42,2,32,-,-,-,,31,1,5,1,-,-,-,3,1,11,-,1,2,-,8,-
2019,중구,주거용,연면적,"22,874",-,"1,305",105,-,"21,374",90,"19,790",-,-,-,,"19,740",50,795,-,-,-,-,755,40,"2,289",-,"1,305",105,-,879,-
2019,중구,상업용,동수,257,21,45,17,-,152,22,39,-,1,1,,32,5,68,3,15,2,-,34,14,150,18,29,14,-,86,3
2019,중구,상업용,연면적,"3,102,863","4,215","1,976,665",801,-,"998,076","123,106","245,751",-,210,130,,"203,407","42,004","1,105,683",444,"862,887",157,-,"179,745","62,450","1,751,429","3,771","1,113,568",514,-,"614,924","18,652"
2019,중구,공업용,동수,2,-,-,-,-,2,-,-,-,-,-,,-,-,1,-,-,-,-,1,-,1,-,-,-,-,1,-
2019,중구,공업용,연면적,"4,405",-,-,-,-,"4,405",-,-,-,-,-,,-,-,"3,254",-,-,-,-,"3,254",-,"1,151",-,-,-,-,"1,151",-
2019,중구,문교용/사회용,동수,15,-,4,-,-,10,1,4,-,1,-,,3,-,6,-,-,-,-,5,1,5,-,3,-,-,2,-
2019,중구,문교용/사회용,연면적,"117,505",-,"87,640",-,-,"21,694","8,171","29,557",-,"15,930",-,,"13,627",-,"14,926",-,-,-,-,"6,755","8,171","73,022",-,"71,710",-,-,"1,312",-
2019,중구,기타,동수,6,1,1,2,-,1,1,1,-,-,-,,-,1,2,-,1,-,-,1,-,3,1,-,2,-,-,-
2019,중구,기타,연면적,431,-,-,58,-,-,373,373,-,-,-,,-,373,-,-,-,-,-,-,-,58,-,-,58,-,-,-
2019,용산구,계,동수,336,80,6,19,-,208,23,133,-,1,1,,125,6,62,20,2,2,-,24,14,141,60,3,16,-,59,3
2019,용산구,계,연면적,"1,337,667","13,224","849,998","1,391",-,"348,970","124,084","145,919",-,"9,251",508,,"134,872","1,288","105,909","1,995",671,100,-,"60,787","42,356","1,085,839","11,229","840,076",783,-,"153,311","80,440"
2019,용산구,주거용,동수,117,18,-,3,-,93,3,83,-,-,1,,81,1,13,6,-,1,-,5,1,21,12,-,1,-,7,1
