Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
2004,합계,"1,738",33,"159,255.0","1,434",25,"108,197.0",20,13,"66,703.0",277,12,"36,731.0","1,130","1,643.0",5,"3,070.0",1,"39,448.0",303,"11,610.0",-,2,50,-,-,-,-,5,3,,,,,,,,,,,,,,
2004,종로구,76,2,"10,585.0",50,1,"6,175.0",2,1,"3,734.0",21,-,"2,380.0",27,61,-,-,-,"4,328.0",26,82,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2004,중구,38,2,"1,841.0",32,2,"1,836.0",1,-,"1,525.0",5,2,244,25,37,-,-,-,-,6,5,-,1,30,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,용산구,42,2,"2,482.0",30,2,"1,860.0",-,1,"1,373.0",4,1,444,26,43,-,-,-,-,12,622,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,성동구,61,-,"2,230.0",38,-,780,-,-,-,7,-,748,31,32,-,-,-,-,23,"1,450.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,광진구,51,2,"3,334.0",38,1,"2,907.0",-,1,"2,307.0",2,-,562,36,38,-,-,-,-,13,427,-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,
2004,동대문구,49,1,891,35,1,876,-,-,-,10,1,836,25,40,-,-,-,-,14,15,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,중랑구,60,-,"4,738.0",45,-,"4,700.0",1,-,"2,801.0",1,-,"1,019.0",42,47,1,833,-,-,15,38,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,성북구,30,5,"7,545.0",21,4,"3,897.0",1,1,"2,427.0",4,3,"1,439.0",16,31,-,-,-,"3,643.0",9,5,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2004,강북구,54,1,"14,263.0",40,1,"1,550.0",-,1,128,2,-,"1,373.0",38,49,-,-,1,"12,559.0",13,154,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,도봉구,53,2,"10,256.0",40,1,"1,051.0",-,-,-,2,1,"1,004.0",38,47,-,-,-,"9,191.0",13,14,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2004,노원구,130,-,"13,948.0",118,-,"13,782.0",2,-,"12,025.0",25,-,"1,600.0",91,157,-,-,-,-,12,166,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,은평구,67,3,"14,660.0",47,2,"5,198.0",2,1,"3,315.0",8,1,"1,839.0",37,44,-,-,-,"9,453.0",20,9,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2004,서대문구,56,3,"5,021.0",38,2,"4,740.0",1,2,"3,450.0",5,-,"1,233.0",32,57,-,-,-,274,18,7,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2004,마포구,68,-,"4,791.0",55,-,"2,027.0",-,-,-,8,-,"1,958.0",46,56,1,13,-,-,13,"2,764.0",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,양천구,99,1,"2,225.0",90,1,"2,222.0",-,1,"1,004.0",18,-,"1,097.0",72,121,-,-,-,-,9,3,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,강서구,130,-,"3,260.0",119,-,"2,534.0",-,-,-,17,-,"2,378.0",101,136,-,-,-,-,11,726,-,1,20,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,구로구,39,1,"2,513.0",30,1,"2,483.0",2,-,"1,685.0",6,1,764,22,34,-,-,-,-,9,30,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,금천구,46,1,"2,027.0",41,1,"2,021.0",-,1,"1,955.0",2,-,29,39,37,-,-,-,-,5,6,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,영등포구,48,-,"1,574.0",29,-,614,-,-,-,11,-,560,18,54,-,-,-,-,19,960,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
