Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1993,중랑구,39,-,"4,647.0",39,-,"4,647.0",1,-,"2,799.0",1,-,978,36,37,1,833,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1994,중랑구,46,-,"4,691.0",46,-,"4,690.0",1,-,"2,799.0",2,-,"1,011.0",42,47,1,833,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1995,중랑구,46,…,"4,690.0",46,-,"4,690.0",1,…,"2,799.0",2,…,"1,011.0",42,47,1,833,-,-,-,-,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1996,중랑구,46,-,"4,690.0",46,-,"4,690.0",1,-,"2,799.0",2,-,"1,011.0",42,47,1,833,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1997,중랑구,45,-,"4,698.0",45,-,"4,698.0",1,-,"2,799.0",1,-,"1,019.0",42,47,1,833,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1998,중랑구,45,-,"4,700.0",45,-,"4,700.0",1,-,"2,801.0",1,-,"1,019.0",42,47,1,833,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1999,중랑구,45,-,"4,700.0",45,-,"4,700.0",1,-,"2,801.0",1,-,"1,019.0",42,47,1,833,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2000,중랑구,45,-,"4,699.0",45,-,"4,699.0",1,-,"2,801.0",1,-,"1,019.0",42,46,1,833,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2001,중랑구,51,-,"4,730.8",45,-,"4,699.8",1,-,"2,800.6",1,-,"1,019.0",42,47.1,1,833,-,-,6,31,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2002,중랑구,58,-,"4,736.0",45,-,"4,699.0",1,-,"2,800.0",1,-,"1,019.0",42,47,1,833,-,-,13,37,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2003,중랑구,59,-,"4,737.0",45,-,"4,700.0",1,-,"2,801.0",1,-,"1,019.0",42,47,1,833,-,-,14,37,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,중랑구,60,-,"4,738.0",45,-,"4,700.0",1,-,"2,801.0",1,-,"1,019.0",42,47,1,833,-,-,15,38,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2005,중랑구,63,-,"4,909.0",46,-,"4,745.0",1,-,"2,801.0",2,-,"1,064.0",42,47,1,833,-,-,17,164,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2006,중랑구,71,-,"4,919.0",46,-,"4,745.0",1,-,"2,801.0",2,-,"1,064.0",42,47,1,833,-,-,25,174,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2007,중랑구,74,-,"5,043.9",48,-,"4,867.7",1,-,"2,800.6",4,-,"1,187.1",42,47.1,1,832.8,-,-,26,176.2,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
2008,중랑구,82,-,"5,113.0",54,-,"4,935.0",1,-,"2,801.0",5,-,"1,243.0",42,54,1,833,-,-,28,178,,-,-,5,4,-,-,-,-,-,-,-,-,,,,,,,,,,
2009,중랑구,85,-,"5,205.6",55,-,"5,026.6",1,-,"2,800.6",4,-,"1,335.1",44,54.2,1,832.8,-,-,30,179.1,,-,-,5,3.8,-,-,-,-,-,-,-,-,,,,,,,,,,
2010,중랑구,87,-,"5,206.9",56,-,"5,026.4",1,-,"2,800.6",5,-,"1,335.0",44,54.2,1,832.8,-,-,31,180.4,,-,-,5,3.8,-,-,-,-,-,-,-,-,,,,,,,,,,
2011,중랑구,,,,,,,1,-,"2,800.6",6,-,"1,347.4",47,62.8,1,832.8,-,-,31,180.4,,-,-,9,18.8,-,-,-,-,-,-,-,-,95,-,"5,242.9",64,-,"5,062.4",-,-,,
