"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
2014,합계,"8,214",83.96,22.42
2014,종로구,274,2.67,21.19
2014,중구,114,1.88,18.84
2014,용산구,280,3.14,22.09
2014,성동구,408,3.02,23.06
2014,광진구,324,3.39,28.44
2014,동대문구,327,3.14,22.07
2014,중랑구,331,2.84,25.78
2014,성북구,627,4.01,22.4
2014,강북구,227,1.97,20.79
2014,도봉구,257,2.34,18.91
2014,노원구,291,3.69,23.6
2014,은평구,352,3.33,20.88
2014,서대문구,309,2.67,16.79
2014,마포구,420,4.04,28.13
2014,양천구,403,3.59,27.06
2014,강서구,378,4.42,24.01
2014,구로구,293,3.15,21.54
2014,금천구,180,1.94,18.32
2014,영등포구,389,4.42,23.4
2014,동작구,247,2.73,17.11
2014,관악구,316,2.76,23.14
2014,서초구,385,5.23,24.76
2014,강남구,433,5.63,23.36
2014,송파구,363,4.7,20.31
2014,강동구,286,3.26,23.5
