"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,강서구,-,-,-
2000,강서구,-,-,-
2001,강서구,-,-,-
2002,강서구,-,-,-
2003,강서구,-,-,-
2004,강서구,369,4.26,23.13
2005,강서구,370,4.27,23.2
2006,강서구,370,4.28,23.23
2007,강서구,371,4.28,23.2
2008,강서구,377,4.42,23.99
2009,강서구,378,4.42,24.01
2010,강서구,378,4.42,24.01
2011,강서구,378,4.42,24.01
2012,강서구,378,4.42,24.01
2013,강서구,378,4.42,24.01
2014,강서구,378,4.42,24.01
2015,강서구,378,4.42,24.01
2016,강서구,382,4.51,24.46
2017,강서구,385,4.6,24.46
2018,강서구,385,4.6,24.46
2019,강서구,411,5.03,26.83
