"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,동대문구,-,-,-
2000,동대문구,-,-,-
2001,동대문구,-,-,-
2002,동대문구,-,-,-
2003,동대문구,-,-,-
2004,동대문구,322,3.01,21.2
2005,동대문구,323,3.03,21.3
2006,동대문구,323,3.03,21.32
2007,동대문구,324,3.04,21.4
2008,동대문구,324,3.05,21.41
2009,동대문구,324,3.05,21.45
2010,동대문구,324,3.06,21.49
2011,동대문구,326,3.09,21.76
2012,동대문구,326,3.1,21.77
2013,동대문구,326,3.11,21.86
2014,동대문구,327,3.14,22.07
2015,동대문구,327,3.14,22.07
2016,동대문구,327,3.14,22.07
2017,동대문구,327,3.14,22.07
2018,동대문구,327,3.14,22.11
2019,동대문구,328,3.15,22.16
