"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,종로구,-,-,-
2000,종로구,-,-,-
2001,종로구,-,-,-
2002,종로구,-,-,-
2003,종로구,-,-,-
2004,종로구,272,2.64,20.99
2005,종로구,273,2.65,21.02
2006,종로구,273,2.65,21.05
2007,종로구,274,2.66,21.1
2008,종로구,274,2.67,21.16
2009,종로구,274,2.67,21.16
2010,종로구,274,2.67,21.16
2011,종로구,274,2.67,21.17
2012,종로구,274,2.67,21.18
2013,종로구,274,2.67,21.19
2014,종로구,274,2.67,21.19
2015,종로구,274,2.67,21.19
2016,종로구,275,2.67,21.2
2017,종로구,275,2.68,21.31
2018,종로구,275,2.69,21.34
2019,종로구,275,2.69,21.34
