"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1997,서울시,"7,737,101",0,"6,766,784",0,"970,317",0,"23,080",0,"168,880",0,"168,880",0,0,0,"7,545,141",0,"6,574,824",0,"970,317",0
1997,종로구,"256,243",0,"250,286",0,"5,957",0,0,0,"7,450",0,"7,450",0,0,0,"248,793",0,"242,836",0,"5,957",0
1997,중구,"101,243",0,"101,243",0,0,0,0,0,"8,060",0,"8,060",0,0,0,"93,183",0,"93,183",0,0,0
1997,용산구,"272,934",0,"272,934",0,0,0,0,0,"4,700",0,"4,700",0,0,0,"268,234",0,"268,234",0,0,0
1997,성동구,"390,736",0,"344,106",0,"46,630",0,0,0,"5,980",0,"5,980",0,0,0,"384,756",0,"338,126",0,"46,630",0
1997,광진구,"316,041",0,"292,969",0,"23,072",0,0,0,"10,320",0,"10,320",0,0,0,"305,721",0,"282,649",0,"23,072",0
1997,동대문구,"306,185",0,"274,687",0,"31,498",0,0,0,"11,100",0,"11,100",0,0,0,"295,085",0,"263,587",0,"31,498",0
1997,중랑구,"297,609",0,"230,657",0,"66,952",0,0,0,"11,200",0,"11,200",0,0,0,"286,409",0,"219,457",0,"66,952",0
1997,성북구,"597,989",0,"467,830",0,"130,159",0,0,0,"2,350",0,"2,350",0,0,0,"595,639",0,"465,480",0,"130,159",0
1997,강북구,"212,236",0,"210,401",0,"1,835",0,0,0,"3,300",0,"3,300",0,0,0,"208,936",0,"207,101",0,"1,835",0
1997,도봉구,"246,153",0,"243,864",0,"2,289",0,0,0,"5,900",0,"5,900",0,0,0,"240,253",0,"237,964",0,"2,289",0
1997,노원구,"262,707",0,"187,346",0,"75,361",0,0,0,0,0,0,0,0,0,"262,707",0,"187,346",0,"75,361",0
1997,은평구,"324,630",0,"248,751",0,"75,879",0,0,0,"6,300",0,"6,300",0,0,0,"318,330",0,"242,451",0,"75,879",0
1997,서대문구,"292,075",0,"257,561",0,"34,514",0,0,0,"10,450",0,"10,450",0,0,0,"281,625",0,"247,111",0,"34,514",0
1997,마포구,"389,100",0,"385,163",0,"3,937",0,0,0,"11,750",0,"11,750",0,0,0,"377,350",0,"373,413",0,"3,937",0
1997,양천구,"390,173",0,"299,269",0,"90,904",0,500,0,0,0,0,0,0,0,"389,673",0,"298,769",0,"90,904",0
1997,강서구,"355,805",0,"294,396",0,"61,409",0,0,0,"15,050",0,"15,050",0,0,0,"340,755",0,"279,346",0,"61,409",0
1997,구로구,"264,172",0,"178,480",0,"85,692",0,0,0,"6,290",0,"6,290",0,0,0,"257,882",0,"172,190",0,"85,692",0
1997,금천구,"168,801",0,"139,425",0,"29,376",0,0,0,"6,130",0,"6,130",0,0,0,"162,671",0,"133,295",0,"29,376",0
1997,영등포구,"376,644",0,"339,106",0,"37,538",0,0,0,"12,150",0,"12,150",0,0,0,"364,494",0,"326,956",0,"37,538",0
1997,동작구,"220,625",0,"167,395",0,"53,230",0,0,0,"2,900",0,"2,900",0,0,0,"217,725",0,"164,495",0,"53,230",0
1997,관악구,"307,162",0,"267,996",0,"39,166",0,0,0,"2,100",0,"2,100",0,0,0,"305,062",0,"265,896",0,"39,166",0
1997,서초구,"341,941",0,"336,801",0,"5,140",0,"16,360",0,"4,200",0,"4,200",0,0,0,"321,381",0,"316,241",0,"5,140",0
1997,강남구,"419,585",0,"353,496",0,"66,089",0,800,0,"7,900",0,"7,900",0,0,0,"410,885",0,"344,796",0,"66,089",0
1997,송파구,"351,405",0,"349,575",0,"1,830",0,"1,680",0,"6,150",0,"6,150",0,0,0,"343,575",0,"341,745",0,"1,830",0
1997,강동구,"274,907",0,"273,047",0,"1,860",0,"3,740",0,"7,150",0,"7,150",0,0,0,"264,017",0,"262,157",0,"1,860",0
